pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
foregone	 adj. 过去的；先前的；预知的；预先决定的 v. 发生在…之前（forego的过去分词）
president	 n. 总统；董事长；校长；主席
plastic	 adj. 塑料的；（外科）造型的；可塑的 n. 塑料制品；整形；可塑体
provisionally	 adv. 临时地，暂时地
incentive	 n. 动机；刺激 adj. 激励的；刺激的
calculate	 v. 计算；以为；作打算
attendee	 n. 出席者；在场者
designation	 n. 指定；名称；指示；选派
compete	 v. 竞争；比赛；对抗
furnish	 v. 提供；供应；装备
bribery	 n. [法] 贿赂；受贿；行贿
detrimental	 adj. 不利的；有害的 n. 有害的人（或物）；不受欢迎的求婚者
knock	 v. 敲；打；敲击 n. 敲；敲打；爆震声
roll	 v. 卷；滚动，转动；辗 n. 卷，卷形物；名单；摇晃
autonomy	 n. 自治，自治权
deputy	 n. 代理人，代表 adj. 副的；代理的
movement	 n. 运动；活动；运转；乐章
oversubscribe	 vt. 订购过多；超额认购
advanced	 adj. 先进的；高级的；晚期的；年老的 v. 前进；增加；上涨（advance的过去式和过去分词形式）
factoring	 n. [数] 因子分解，[数] 因式分解；保付代理 v. 把…因素包括进去（factor的ing形式）
joke	 n. 玩笑，笑话；笑柄 v. 开…的玩笑
role	 n. 角色；任务
cage	 n. 笼，兽笼；牢房，监狱 v. 把…关进笼子；把…囚禁起来
upbeat	 n. 兴旺；上升；弱拍 adj. 乐观的；上升的
jet	 n. 喷射，喷嘴；喷气式飞机；黑玉 adj. 墨黑的 v. 射出
inquire	 v. 询问；查究；问明
alternate	 v. 交替；轮流 adj. 交替的；轮流的 n. 替换物
essential	 adj. 基本的；必要的；本质的；精华的 n. 本质；要素；要点；必需品
asset	 n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
gasoline	 n. 汽油
differentiate	 v. 区分，区别
rigid	 adj. 严格的；僵硬的，死板的；坚硬的；精确的
sequel	 n. 续集；结局；继续；后果
meet	 v. 满足；遇见；对付 n. 集会 adj. 合适的；适宜的
partial	 adj. 局部的；偏爱的；不公平的
evolution	 n. 演变；进化论；进展
creditworthiness	 n. 好信誉；有资格接受信用贷款
fee	 n. 费用；酬金；小费 v. 付费给……
paradox	 n. 悖论，反论；似非而是的论点；自相矛盾的人或事
native	 adj. 本国的；土著的；天然的；与生俱来的；天赋的 n. 本地人；土产；当地居民
dilution	 n. 稀释，冲淡；稀释法；冲淡物
monopolize	 v. 垄断；独占；拥有…的专卖权
subcommittee	 n. 小组委员会；委员会的附属委员会
bondholder	 n. 公债证书所有者，公司债所有者
quality	 n. 质量，[统计] 品质；特性；才能 adj. 优质的；高品质的；<英俚>棒极了
cheque	 n. 支票
forbid	 v. 禁止；不准；不允许；〈正式〉严禁
array	 n. 数组，阵列；排列，列阵；大批，一系列；衣服 v. 排列，部署；打扮
symptom	 n. [临床] 症状；征兆
steady	 adj. 稳定的；不变的；沉着的 v. 稳固 adv. 稳定地；稳固地 n. 关系固定的情侣；固定支架
dynamic	 adj. 动态的；动力的；动力学的；有活力的 n. 动态；动力
typist	 n. 打字员，打字者
judgment	 n. 判断；裁判；判决书；辨别力
vastly	 adv. 极大地；广大地；深远地
behavior	 n. 行为，举止；态度；反应
dissipate	 v. 浪费；使…消散
justify	 v. 证明合法；整理版面
secondary	 adj. 第二的；中等的；次要的；中级的 n. 副手；代理人
undercut	 v. 廉价出售；较便宜的工资工作；从下边削球 n. 底切；牛腰部下侧嫩肉；砍口；切球
net	 n. 网；网络；净利；实价 v. 编网 adj. 纯粹的；净余的
mathematics	 n. 数学；数学运算
relief	 n. 救济；减轻，解除；安慰；浮雕
transform	 v. 改变，使…变形；转换
token	 n. 表征；代币；记号 adj. 象征的；表意的；作为对某事的保证的 vt. 象征；代表
guard	 n. 守卫；警戒；护卫队；防护装置 v. 警惕
decipher	 n. 密电译文 v. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解
conversation	 n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
lucrative	 adj. 有利可图的，赚钱的；合算的
trial	 n. 试验；审讯；努力；磨炼 adj. 试验的；审讯的
illegal	 adj. [法] 非法的；违法的；违反规则的 n. 非法移民，非法劳工
disequilibrium	 n. 不均衡；不安定；失调
consultant	 n. 顾问；咨询者；会诊医生
hazard	 v. 赌运气；冒…的危险，使遭受危险 n. 危险，冒险；冒险的事
suffer	 v. 遭受；忍受；经历 n. (Suffer)人名；(意)苏费尔
amalgamate	 v. 合并；汞齐化；调制汞合金
abbreviation	 n. 缩写；缩写词
ATM	 abbr. 异步传输模式（Asynchronous Transfer Mode）；自动出纳机（Automatic Teller Machine）；空中交通管理（Air Traffic Management）
beginner	 n. 初学者；新手；创始人
broke	 adj. 一文不名的，破产的 v. 打破，断掉（break的过去式） n. (Broke)人名；(英)布罗克
labor	 n. 劳动；工作；劳工；分娩 v. 劳动；努力；苦干
analyze	 v. 对…进行分析，分解（等于analyse）
expertise	 n. 专门知识；专门技术；专家的意见
including	 prep. 包含，包括
red	 n. 红色，红颜料；赤字 adj. 红色的；红肿的，充血的
