questionnaire	 n. 问卷；调查表
matter	 vi. 要紧，有重大关系 n. 事情
partner	 n. 合作者，搭档
lifestyle	 n. 生活方式
shepherd	 n. 牧羊人
peaceful	 adj. 平静的；和平的
relaxing	 adj. 轻松的，放松的
stressful	 adj. 充满压力的，紧张的
suppose	 vt. 认为，猜想
series	 n. 系列节目；系列
cartoon	 n. 卡通片，动画片
talk show	 谈话节目，现场访谈
complain	 vi. 抱怨；投诉
couch	 n. 长沙发，睡椅
switch	 vt. 转换，转变
BBC	 英国广播公司
portable	 adj. 轻便的，手提(式)的
remote	 adj. 遥远的
workaholic	 n. 工作狂
paperwork	 n. 日常文书工作
alarm	 n. 警报，警告器
go off	 (铃、爆竹等)响
take	 占据
be filled with	 充满着
urgent	 adj. 急迫的，紧急的
document	 n. 公文，文件
midnight	 n. 午夜，半夜
bored	 adj. 厌烦的，不感兴趣的
stress	 n. 压力
studio	 n. 演播室；工作室
expert	 n. 专家
suffer	 v. 遭受(痛苦)，感到疼痛
pressure	 n. 压力
social	 adj. 社交的；社会的
reduce	 vt. 减少；降低
organise	 vt. 组织
diet	 n. 饮食；节食
prefer	 vt. 更喜欢；宁愿
stand	 vt. (stood，stood)忍耐，忍受
volunteer	 n. 志愿者
graduate	 vi. 毕业
minus	 adj. 零下，负
basin	 n. 水盆，脸盆
challenge	 n. 挑战
support	 vt&n. 支持；支撑
dial	 vt. 拨(电话号码)
design	 n&vt. 设计
advertisement	 n. 广告
presentation	 n. 表演；展示
solve	 vt. 解决；解答
accountant	 n. 会计，会计师
tube	 n. 地铁
crowded	 adj. 拥挤的
nearby	 adj. 附近的 adv. 在附近
otherwise	 adv. 否则；另外
forecast	 n. 预报；预测
crowd	 n. 人群，一伙人
lung	 n. 肺
sickness	 n. 疾病
distance	 n. 距离
cigar	 n. 雪茄烟
at the moment	 此刻，目前
over the years	 数年间
survey	 n. 调查
classical	 adj. 古典的
mini-skirt	 n. 迷你裙，超短裙
formal	 adj. 正式的，合礼仪的
cycle	 vi. 骑自行车
kung fu	 n. (中国)功夫
style	 n. 风格，作风
calm	 adj. 镇静的，沉着的
generous	 adj. 慷慨的，大方的
violent	 adj. 暴力的
character	 n. 人物；性格
spaceship	 n. 太空船
province	 n. 省
astronaut	 n. 宇航员
flight	 n. 飞行；航班
launch	 n. 发射
gravity	 n. 地心引力
rocket	 n. 火箭
soar	 vi. 升空，升腾
the United Nations	 联合国
explore	 vt. 探测；勘探
peacefully	 adv. 和平地，平静地
reporter	 n. 记者，通讯员
glow	 vi. 发光
atmosphere	 n. 大气；气氛
parachute	 n. 降落伞
helicopter	 n. 直升机
million	 num. 百万
wave	 vi. 挥手示意，致意
revolution	 n. 革命
found	 vt. 建立，创立
republic	 n. 共和国
light bulb	 n. 电灯泡
opinion	 n. 意见，看法，主张
personally	 adv. 就自己而言
racism	 n. 种族主义
equal	 adj. 平等的；相等的
struggle	 n. 斗争，拼搏
protest	 n. 抗议
march	 vi&n. 游行示威；行军
brilliant	 adj. 卓越的
skilful	 adj. 灵巧的，熟练的
awful	 adj. 糟糕的；极度的
useless	 adj. 差劲的；无用的
unusual	 adj. 不平常的
champion	 n. 冠军
violence	 n. 暴力，暴行
bullet	 n. 子弹
compete	 vi. 比赛，竞争
keen	 adj. 热心的，渴望的
career	 n. 职业，一生的事业
amazing	 adj. 令人惊异的
event	 n. 竞赛；事件
fortunately	 adv. 幸运地
athlete	 n. 运动员
superhero	 n. 超级英雄
afterwards	 adv. 然后，后来
superman	 n. 超人
disaster	 n. 灾难
on one's own	 独立地，独自地
promote	 vt. 促进，提升
injury	 n. 伤害，损害
give up	 放弃
come to do something	 开始(认识、理解)
pull through	 使从(受伤)中活下来；渡过难关
commit	 vt. 犯(错误)，干(坏事)
