spacious	 adj. 宽敞的
airy	 adj. 通风的
outfit	 n. （尤指供特殊场合用的）一套衣服
manly	 adj. 有男子汉气概的，适合男人的
fabric	 n. 编织品，织物
individuality	 n. 个性
reflective	 adj. （表面）反光的
underneath	 prep. 在下面
obscene	 adj. 淫秽的，猥亵的
cuddly	 adj. 不由得想搂抱的，可爱的
biographical	 adj. 传记的
tactical	 adj. 战术上的，策略性的
plateau	 n. 高地，高原
heroic	 adj. 英雄的，英勇的
culminate	 v. 终于获得某种结局或结果
rotten	 adj. 腐朽的；腐烂的
superhuman	 n. 超人
labour	 n. 工作；劳动
distill	 vt. 蒸馏；提炼
inaccurate	 adj. 错误的，不准确的
distinguished	 adj. 卓越的，杰出的；高贵的
plain	 adj. 易懂的；清楚的，明白的
Prussian	 adj. 普鲁士的 n. 普鲁士人
advisor	 n. 顾问
sincerity	 n. 诚挚，真挚
virtue	 n. 德行；美德
morality	 n. 道德；道德观
proverb	 n. 谚语
leap	 n&vi. 跳，跳越，飞跃
disapproving	 adj. 不以为然的，不赞成的
clip	 n. 电影片断
soundtrack	 n. 电影配乐
assorted	 adj. 混杂的，各种各样的
diverge	 vi. （道路）分叉；（意见）分歧
undergrowth	 n. 下层丛林
grassy	 adj. 长满草的
wear	 n. 使用；用损，用坏
tread	 vi&vt. (trod,trodden)踩，踏，践踏
hence	 adv. 因此，从此
inquisitive	 adj. 好奇的
rant	 v. 咆哮，激昂地说
automated	 adj. 自动的
invoice	 n. 发票，发货清单 vt. 开发票
specifically	 adv. 具体地；确切地
offender	 n. 犯规者；冒犯者
behold	 v. 看
sly	 adj. 狡猾的
repetitive	 adj. 重复的，反复的
beep	 n. 哔哔声
vegetarian	 n. 素食者
morally	 adv. 精神上
outlandish	 adj. 另类的，奇异的
rip	 vt. 撕裂，拉破
gaudy	 adj. （衣服、颜色等）俗丽的
unnoticed	 adj. 不引人注意的，被忽视的
weird	 adj. 古怪的，离奇的
flamboyant	 adj. 艳丽的
outrageous	 adj. 骇人的；令人惊讶的
flair	 n. 才能，本领
unsuitable	 adj. 不适合的，不相称的
impressionable	 adj. 易受影响的
employee	 n. 职工，雇员
risqué	 adj. 不雅的
conceal	 vt. 隐藏，隐瞒
inseparably	 adv. 不能分离地，不可分地
modernity	 n. 现代性
catwalk	 n. 时装表演；（模特表演时走的）伸展台
symposium	 n. 讨论会，座谈会
heritage	 n. 遗产；继承权
garment	 n. 衣服，外衣
synthetic	 adj. 合成的；人造的
fibre	 n. 纤维
hand-crafted	 adj. 手工制作的
embroidery	 n. 刺绣
embed	 vt. 使插入，使嵌入
incorporate	 vt&vi. 合并，并入
illustrate	 vt. 举例说明；图解
glittering	 adj. 闪光的，闪耀的
