likely	 adj. 有可能的 adv. 可能
concept	 n. 概念
chart	 n. 表格，图表
focus	 vi. 集中注意
skip	 vt. 跳过
fist	 n. 拳头
waist	 n. 腰
nail	 n. 指甲；趾甲
gallery	 n. 画廊
cyberspace	 n. 网络空间
come ture	 (愿望、梦想等)实现
artificial	 adj. 人造的
climate	 n. 气候
global	 adj. 全球的，全世界的
flood	 n. 洪水，水灾 vt&vi. 淹没
virtual	 adj. 虚拟的
reality	 n. 真实，现实
virus	 n. 病毒
affect	 vt. 影响
rapidly	 adv. 快，迅速地
growth	 n. 增长；生长
pessimistic	 adj. 悲观的，厌世的
crime	 n. 犯罪；罪行
hacker	 n. 电脑黑客
terrorist	 n. 恐怖分子
attack	 n&vt. 攻击，进攻；袭击
chaos	 n. 混乱，无秩序
crash	 vt&n. (汽车、飞机等)撞毁；坠毁
optimistic	 adj. 乐观的
entertainment	 n. 娱乐；款待
disappear	 vi. 消失
as if	 好像，仿佛
harm	 vt&n. 伤害，损害
obvious	 adj. 明显的，显而易见的
destruction	 n. 破坏，毁灭
military	 adj. 军事的，军用的
scientific	 adj. 科学的
the Pentagon	 (美国)五角大楼
nuclear	 adj. 原子能的
network	 n. 网络
project	 n. 课题；方案；工程
get in touch	 取得联系
hang on	 (电话用语)别挂断
be up to	 做，从事于
fashion	 n. 时髦，时尚
fancy	 vt. 想要做；幻想
suggestion	 n. 建议，提议
reject	 vt. 拒绝，不接受
arrangement	 n. 安排
title	 n. 标题，题目
destination	 n. 目的地
flesh	 n. 肉，肉体
exit	 vt. 出，离开
historical	 adj. 历史的，有关历史的
site	 n. （事物或事件发生的）场所，位置
pack	 vt. 收拾（行李），打包
dip	 vt. 浸
toe	 n. 脚趾
millionaire	 n. 百万富翁
smoker	 n. 吸烟者
tourism	 n. 观光，游览
guide	 n. 指南；导游，向导
locate	 vt. 坐落于；位于
seaside	 n. 海滨，海边
Maori	 n. （新西兰）毛利人
settle	 vi. 定居
settlement	 n. （新）定居地
central	 adj. 中央的，中心的
suburb	 n. 市郊，郊区
zone	 n. 地域，地区
volcano	 n. 火山
as well as	 也，又
harbour	 n. 海港
view	 n. 景色，风景，视野
sunshine	 n. 阳光
average	 adj. 平均的 n. 平均数
surfing	 n. 冲浪
regular	 adj. 定期的；规则的
location	 n. 位置，场所
steel	 n. 钢，钢铁
material	 n. 材料，原料
be known as	 被认为是，以……知名
Chinatown	 n. 唐人街
officially	 adv. 正式地
scenery	 n. 风景，景色
cuisine	 n. 烹饪
attractive	 adj. 吸引人的，有魅力的
spider	 n. 蜘蛛
web	 n. 蜘蛛网；网状物
folk	 adj. 民间的
jazz	 n. 爵士乐
rock ’n’ roll	 摇滚乐
disco	 n. 迪斯科舞
ballet	 n. 芭蕾舞
effect	 n. 效果，作用
disappoint	 vt. 使失望
extraordinary	 adj. 非凡的，特别的
unclear	 adj. 不清楚的
be used to	 习惯于
