participate	 vi. 参加
fill out	 填写
evaluate	 vt. 评估，评价
arrange	 vt. 安排，准备
chimpanzee	 n. 黑猩猩
dolphin	 n. 海豚
sign	 n. 手势，符号
hunt	 v. 打猎，猎杀
actor	 n. 演员
actress	 n. 女演员
writer	 n. 作者，作家
collection	 n. 收集，收取
boxing	 n. 拳击运动
ski	 vi. 滑雪
water skiing	 n. 滑水
windsurfing	 n. 风帆滑浪
frightening	 adj. 令人惊恐的，骇人的
underwater	 adj. 在水下，供水下用的
spirit	 n. 精神
explorer	 n. 探险家
sailor	 n. 水手，海员
Viking	 n. 维京人，北欧海盗
voyage	 n. 航海；航空
ancestor	 n. 祖先，祖宗
set sail	 启航
AD	 n. 公元
further	 adv. 更远，较远
according to	 根据，依照
get into trouble	 陷入麻烦，陷入困境
persuade	 vt. 说服，劝服
make it to	 到达
in search of	 寻找，寻求
unknown	 adj. 不知道的，未知的
eventually	 adv. 最终，终于
present-day	 adj. 当今的，现代的
deed	 n. 行为，行动
journey	 n. 旅行，旅程
lecture	 n. 讲授，演讲
brake	 n. 制动器，刹车
apologise	 vi. 道歉
the Antarctic	 南极洲
pollute	 vt. 使污染
pollution	 n. 污染
over-fishing	 n. 过度捕捞
industrial	 adj. 工业的
agricultural	 adj. 农业的
chemical	 n. 化学物
ban	 vt. 禁止
altogether	 adv. 完全
handle	 vt. 对付；处理
department	 n. 部，系，局，部门
make a living	 谋生
solution	 n. 解决办法；答案
port	 n. 港口，海港
present	 vt. 演示；讲演
intelligence	 n. 智力，理解力
intelligent	 adj. 有灵性的；聪明的
Iceberg	 n. 冰山，浮冰
seal	 n. 海豹
energetic	 adj. 有活力的
penguin	 n. 企鹅
coral	 n. 珊瑚
discovery	 n. 发现
crab	 n. 蟹
educate	 vt. 教育
up-to-date	 adj. 最新的；现代的
attraction	 n. 吸引人的地方
attract	 vt. 吸引
watch out	 注意
shark	 n. 鲨鱼
discount	 n. 折扣，减价
trick	 n. 戏法，把戏
melt	 vi. 融化，熔化
measure	 vi&vt. (长度、数量)为；测量
length	 n. 长度，长
schoolboy	 n. 男生
centimetre	 n. 厘米
barrel	 n. 圆桶
whirlpool	 n. 漩涡
horrible	 adj. 可怕的；令人厌恶的
float	 vi. 漂，浮
terrify	 vt. 令人感到恐惧
escape	 vi. 逃脱，逃跑
terror	 n. 恐怖，恐惧
soul	 n. 灵魂
survive	 vi. 幸存，生存下来
all at once	 突然，忽然
recover	 vi. 恢复正常；康复
scream	 vi. (因恐惧、疼痛、兴奋等)尖声大叫
