motivate	 vt. 使有动机，促使，激发
technique	 n. 技术，技巧
native	 adj. 出生地的，本土的 n. 本地人
fluently	 adv. 流利地
achievement	 n. 成就，完成
put off	 推迟
percentage	 n. 百分比，百分率
exist	 vi. 存在，生存
billion	 n. 十亿
at present	 目前，现在
variety	 n. 多样化，多样性
alien	 n. 外星人 adj. 外国的，异族的
bow	 vi. 鞠躬；点头
passer-by	 n. 经过的人，过路人
applause	 n. 鼓掌，喝彩
Latin	 n. 拉丁语；拉丁系语言
Roman	 n. 古罗马人
defeat	 vt. 战胜，击败
earn	 vt. 挣得，赚得
wallet	 n. 皮夹子，钱包
out of work	 失业
obsess	 vt. 使着迷
determine	 vt. 确定，决定
enjoyable	 adj. 使人快乐的
second-hand	 adj. 旧的，用过的，二手的
concern	 vt. 使忧虑；与⋯⋯相关
hardworking	 adj. 勤奋的
dormitory	 n. 寝室，宿舍
pleased	 adj. 高兴的，满意的
give away	 赠送；泄露（秘密）
aware	 adj. 知道的，意识到的
drop out	 退出，退学
businessman	 n. 商人，实业家
stove	 n. 炉子
drunk	 adj. （酒）醉的
journalist	 n. 新闻工作者，记者
greedy	 adj. 贪婪的，贪心的
popcorn	 n. 爆玉米花
cigarette	 n. 香烟
resolution	 n. 决心要做的事
rude	 adj. 粗鲁的，无礼的
armchair	 n. 扶手椅
carpet	 n. 地毯
vase	 n. 花瓶
bargain	 vi. 讨价还价 n. 便宜货
cash	 n. 现金，现款
product	 n. 产品;出品
fax	 n. 传真
scarf	 n. 围巾，头巾，披巾
necklace	 n. 项链，项圈
enthusiastic	 adj. 很感兴趣的，热情的
ashamed	 adj. 羞耻的，惭愧的
firm	 adj. 坚定的；稳固的
aggressive	 adj. 好斗的；有进取心的
groceries	 n. 食品杂货
clothing	 n. 衣服
annoy	 vt. 使烦恼，打搅
salesgirl	 n. 女售货员
salesman	 n. 男售货员，男推销员
blouse	 n. 女衬衫
boot	 n. 长筒靴
leather	 n. 皮革
vest	 n. 内衣，汗背心
comment	 vi&vt. 评论
amusement	 n. 乐趣，娱乐活动
cookie	 n. 饼干，小点心
appeal	 vi. 吸引，引起兴趣；呼吁，恳求
approximately	 adv. 近似地，大约地
soil	 n. 泥土，土壤
contain	 vt. 包含，含有
balance	 n. 平衡
remove	 vt. 移开，挪走；除去，消除
erosion	 n. 侵蚀；（土壤）流失
importance	 n. 重要（性）
crop	 n. 农作物，庄稼
economy	 n. 经济
puzzle	 vt. 使困惑
valley	 n. 谷，山谷
homeland	 n. 家乡；祖国
motherland	 n. 祖国；家乡
behave	 vi. 举止，表现
advance	 vi. 前进；取得进展
software	 n. 电脑软件
gadget	 n. 小巧的装置；小玩意儿
practical	 adj. 实用的；实践的
laptop	 n. 笔记本电脑
mobile phone	 移动电话
headphone	 n. 头戴式受话机，耳机
wire	 n. 金属丝，金属线
bath	 n. 浴缸；洗澡
signal	 n. 信号，暗号
freedom	 n. 自由
photography	 n. 摄影术，摄影
credit card	 信用卡
automatic	 adj. 自动的
focus	 n. 调焦；焦点 vi&vt. (把⋯⋯)集中（于）
flash	 n. 闪光灯；闪光，闪烁
noisy	 adj. 嘈杂的，喧闹的
customer	 n. 顾客
cleaner	 n. 清洁器；清洁工人
refrigerator	 n. （电）冰箱
translation	 n. 翻译
electric	 adj. 与电有关的，用电的，带电的
kettle	 n. 水壶
contact	 vt&n. 联系,接触
incredibly	 adv. 难以置信地
truly	 adv. 真正地；准确地
textbook	 n. 课本，教科书
disk	 n. 磁盘
replace	 vt. 代替，取代
media	 n. 大众传播媒介，传媒
chat	 n. 闲谈，聊天
quiz	 n. 问答比赛（游戏）
opera	 n. 歌剧
current	 adj. 当前的，现在的
affair	 n. 事情，事件；(pl)事务
photographer	 n. 摄影师
paparazzi	 n. 对名人作猎奇报道的新闻记者
bomb	 n. 炸弹
agenda	 n. 议程
nation	 n. 国家;民族
political	 adj. 政治的
widespread	 adj. 广泛的
poverty	 n. 贫穷，穷困
electricity	 n. 电
AIDS	 n. 艾滋病
sex	 n. 性，性别
administration	 n. 管理，行政
reform	 n. 改革，改良
demand	 vt. 要求，请求
