assessment	 n. 评估
self-assessment	 n. 自我评估
strength	 n. 长处，优势；力量，力气；强度
weakness	 n. 弱点，缺陷
gain	 vt. 获得；增加
appropriately	 adv. 适当地
passive	 adj. 被动的，消极的；（动词或句子）被动的
phrase	 n. 短语，词组
concentrate	 vi. 集中（思想、注意力等）
previous	 adj. 以前的，过去的
positive	 adj. 积极的
associate	 vt. 联想，联系
mental	 adj. 内心的；精神病的
lawyer	 n. 律师
senior	 adj. 高级的
physicist	 n. 物理学家
beard	 n. 胡须
blond	 adj. 淡黄色的；毛发及皮肤浅色的
sunglasses	 n. 墨镜
uniform	 n. 制服
moustache	 n. 长在上嘴唇上的小胡子
heel	 n. 鞋跟
sleeve	 n. 衣服袖子
facial	 adj. 面部的
expression	 n. 表情；词语
connection	 n. 联系；连接
chain	 n. 链条；一连串的事物
aircraft	 n. 飞机，航空器
emergency	 n. 紧急情况
pray	 vt&vi. 祈祷，祷告
gifted	 adj. 有天赋的
accurately	 adv. 精确地，准确地
draw up	 起草
description	 n. 描述，形容
academic	 adj. 学术的
predict	 vt. 预言，预测
deserve	 vt. 应得，值得
failure	 n. 失败
mistaken	 adj. 错误的
association	 n. 联想；协会
thus	 adv. 如此，因此
possibility	 n. 可能性
disability	 n. 残疾；无能力
entirely	 adv. 完全地
Easter	 n. 复活节
embassy	 n. 大使馆
accuse	 vt. 控告，谴责
lightning	 n. 闪电
personality	 n. 个性，性格
clerk	 n. 职员
conductor	 n. 售票员；指挥
butcher	 n. 屠夫；肉商
athletic	 adj. 喜爱运动的
independent	 adj. 独立的
neat	 adj. 整洁的，整齐的
selfish	 adj. 自私的
sharp	 adj. 敏锐的；锋利的，尖的
characteristic	 n. 特点，特性
desire	 n. 渴望，欲望
satisfaction	 n. 满意,满足
harvest	 n. 收获
biology	 n. 生物学
pineapple	 n. 菠萝
peach	 n. 桃子
kindness	 n. 和善，亲切
requirement	 n. 要求
airline	 n. 航空公司
aboard	 prep. 在（到）船（飞机、火车、公共汽车）上
assistant	 n. 助手，助理
independence	 n. 独立
poet	 n. 诗人
translator	 n. 翻译员
tutor	 n. 家庭教师；导师
tear	 n. 眼泪
cheek	 n. 脸颊
hug	 n. 拥抱
upset	 adj. 不安的，不快的
fault	 n. 错误；缺点
thunder	 n. 雷声
wool	 n. 羊毛
pine	 n. 松树
seed	 n. 种子
squirrel	 n. 松鼠
sparrow	 n. 麻雀
bleed	 vi. (bled,bled)流血
broken	 adj. 断的，破的
relief	 n. 减轻，宽慰
shelter	 vi. 躲避
scholar	 n. 学者
bench	 n. 长凳
housewife	 n. 家庭主妇
postcode	 n. 邮政编码
astronomy	 n. 天文学
allergic	 adj. 过敏的
anxiety	 n. 忧虑，担心
revision	 n. 复习
oral	 adj. 口头的，口述的
straw	 n. 稻草，麦秆
glare	 vi. 怒视，瞪
section	 n. 部分
literary	 adj. 喜爱文学的
glance	 vi. 瞥一眼，瞥见
steam	 n. 蒸汽
confirm	 v. 证实
librarian	 n. 图书馆管理员
file	 n. 档案，文件
sigh	 vi. 叹息，叹气
grateful	 adj. 感激的，感谢的
guilty	 adj. 不安的；有罪的
can't help doing sth.	 禁不住要做某事
alike	 adj. 相像的
shortcoming	 n. 缺点，短处
account	 n. （银行）账户
button	 n. 纽扣
parrot	 n. 鹦鹉
cage	 n. 笼子
judge	 vt. 评判
part-time	 adv. 部分时间地
claw	 n. （动物或鸟的）爪子
yoghurt	 n. 酸乳酪，酸奶
honey	 n. 蜂蜜
chew	 vt. 咀嚼
satellite	 n. 卫星；人造卫星
wrinkle	 n. 皱纹
forehead	 n. 额，前额
block	 n. 大厦；街区
lap	 n. (人坐着时的)大腿部
devote	 vt. 专心致志于，献身于
salty	 adj. 含盐的，咸的
carrot	 n. 胡萝卜
pea	 n. 豌豆
companion	 n. 同伴，伴侣
devotion	 n. 奉献
forever	 adv. 永远
carpenter	 n. 木匠
chemist	 n. 化学家
receptionist	 n. 接待员
shop assistant	 营业员
typist	 n. 打字员
insurance	 n. 保险（金）
bonus	 n. 额外津贴，奖金
fee	 n. 服务费，学费
income	 n. 收入
reward	 n. 奖赏，奖励
wage	 n. 薪金，工资
charge	 vt. 收费，要价 n. 负责
summary	 n. 摘要，总结
guidance	 n. 指导
paragraph	 n. 段落
institute	 n. 机构；学院
aid	 n. 援助，帮助，资助
pump	 n. 泵，抽水机
data	 n. 资料，数据
deer	 n. 鹿
take charge of	 接管，控制
topic	 n. 题目，话题
receipt	 n. 收据，收条
error	 n. 错误,谬误
liquid	 n. 液体
comprehension	 n. 理解
consult	 vt. 请教；商讨；查阅
chart	 n. 表格，图表
casual	 adj. 随意的，非正式的
quarrel	 vi. 争吵，吵架
make up	 编造
make out	 假称；听出，看出
go into detail(s)	 讨论，细谈
speak up	 大声地说，自由而大胆地说出
sit up	 坐直
nursery	 n. 托儿所，保育室
collar	 n. 衣领
appointment	 n. 约见，约会
childhood	 n. 童年，儿童时代
typewriter	 n. 打字机
instant	 n. 片刻，瞬息
battle	 n. 战斗，战役
civil	 adj. 民间的；国民的；国内的
moral	 n. 品德；品行
basis	 n. 基础，根据
corn	 n. 玉米
cattle	 n. 牛
frost	 n. 霜
surrounding	 adj. 附近的，周围的
steep	 adj. 陡峭的，险峻的
grain	 n. 谷物，谷粒
lip	 n. 嘴唇
mud	 n. 烂泥，泥浆
wisdom	 n. 智慧
idiom	 n. 习语，成语
junior	 adj. 低级的
universe	 n. 宇宙
believe in	 信任，信仰
mankind	 n. 人类
nest	 n. 鸟窝，巢
feather	 n. 羽毛
turn over	 反转
overcome	 vt. （overcame,overcome）战胜，克服
grasp	 vt. 理解，领会；抓牢，抓紧
inspect	 v. 审查，检查
illegal	 adj. 不合法的，违法的
pay off	 得到好结果；取得成功
commit	 vt. 投入
committed	 adj. 尽责的
existence	 n. 生活；存在
glory	 n. 光荣的事，值得骄傲的事
constantly	 adv. 不断地
beneath	 adv. 在底下，在……下
bend	 v. （bent,bent）弯腰，倾身
stage	 n. 舞台；阶段，时期
hesitate	 v. 犹豫，踌躇
wrist	 n. 腕，腕关节
twist	 vt&vi. 旋转，转动
judgement	 n. 判断，判断力
keep up with	 跟上，赶上
decrease	 v. 减少，降低
multiply	 v. 大量增加；乘
division	 n. 部门；分割
branch	 n. 分支，部门
operate	 vi. 运转,运作 vt. 操作；经营，管理
dynamic	 adj. 精力充沛的
respond	 vi. 反应；回复，回答
flexible	 adj. 灵活的，柔韧的
envy	 vt. 羡慕，妒忌
bother	 vt. 烦扰；打扰
continent	 n. 大陆，洲
in case	 以防万一；万一
comfort	 n. 舒适，安逸
slave	 n. 奴隶
boom	 vi. 激增，猛涨
panic	 v. (panicked,panicking)恐慌，惊惶
arithmetic	 n. 算术
enclose	 vt. 随信附上
curriculum vitae	 简历；个人履历（=CV）
due to	 由于
in addition	 此外
arrow	 n. 箭
oxygen	 n. 氧，氧气
tick	 vt. 打钩做记号
ox	 n. 牛，公牛
spelling	 n. 拼写
backwards	 adv. 由后向前地
correction	 n. 改正，改进
simplify	 vt. 简化
jar	 n. 罐子，坛子
secure	 adj. 稳定的；无忧无虑的
frankly	 adv. 坦率地，真诚地
lay off	 裁员；解雇
blank	 adj. 空白的；茫然的
swell	 v. （swelled,swollen,swelled）被充满；膨胀，肿胀
suspect	 v. 怀疑
lump	 n. 团，块
throat	 n. 咽喉，喉咙
status	 n. 现状；社会地位
chief	 adj. 最高级别的
saying	 n. 格言，谚语
postage	 n. 邮费
airmail	 n. 航空邮政
user	 n. 使用者
instruct	 v. 指导，教导
aside	 adv. 在一边，向一边
bury	 vt. 埋葬
alphabet	 n. 字母表
distinguish	 vt. 区别，辨别
drill	 n. 练习，训练
motto	 n. 格言，座右铭
conservative	 adj. 保守的，旧式的
assignment	 n. 作业；任务，工作
alternative	 adj. 非传统的；另类的
punishment	 n. 惩罚，处罚
reputation	 n. 名誉，名声
slight	 adj. 少量的，微小的
loose	 adj. （指言行等）不严谨的，放荡的
obey	 vt. 服从，听从
mild	 adj. 温和的
receiver	 n. 接收者
pace	 n. 速度，步速
outstanding	 adj. 杰出的，优秀的
reflect	 vt. 反映；反射；仔细考虑
select	 vt. 挑选
to a certain extent	 在某种程度上
misunderstand	 v. 误解
angle	 n. 角
triangle	 n. 三角形
atom	 n. 原子
pour	 vt. 倒，灌
powder	 n. 火药
flame	 n. 火焰，火舌
set off	 使爆炸；引发
lack	 vt. 缺乏，没有
spit	 vi. （spat,spit,spat)吐口水，吐痰
drag	 vt. 拖，拉
acid	 n. 酸
onion	 n. 洋葱
access	 n. （使用或见到的）机会，权利
worthwhile	 adj. 值得努力的
spy	 n. 间谍，特务
glue	 n. 胶，胶水
fellow	 n. 同伴
acquire	 vt. 获得，得到
be accustomed to	 习惯于
thinking	 n. 思考，考虑
rank	 n. 职衔
bureaucratic	 adj. 官僚的
worthy	 adj. 值得的
religion	 n. 宗教
defence	 n. 保卫，保护
tend to	 往往会，倾向于
ignore	 vt. 忽视，不顾
unwilling	 adj. 不情愿的
assumption	 n. 假定，假设
approve	 v. 赞成；认可；满意
urge	 vt. 力劝，强烈要求
inspire	 v. 启发；鼓舞
shadow	 n. 阴影，影子
conventional	 adj. 传统的，保守的
kingdom	 n. 王国
civilisation	 n. 文明
vital	 adj. 极其重要的
beneficial	 adj. 有用的，有益的
image	 n. 比喻；景象，形象
assume	 vt. 假定，假设
adapt	 vt. （使）适应
as a whole	 总的来说
facility	 n. （供特定用途的）场所；设备
appreciation	 n. 欣赏
biochemistry	 n. 生物化学
choir	 n. 合唱队，合唱团
