biography	 n. 传记
fantasy	 n. 想象(幻想)物
horror	 n. 惊恐，恐惧
abandon	 vt. 放弃，遗弃
come into view	 出现
knock sb. over	 撞倒某人
victim	 n. 受害者
once upon a time	 从前
princess	 n. 公主，王妃
criteria	 n(pl. )(评判的)标准
novelist	 n. (长篇)小说家
volcanic eruption	 火山爆发
preserve	 vt. 保护，保存
capsule	 n. 胶囊；太空舱
witness	 v. 目击
occur	 vi. 发生
tremble	 vi. 颤抖，发抖
block out	 堵住
particularly	 adv. 特别地；特定地
loss	 n. 遗失，丢失
awesome	 adj. 令人敬畏的
in a way	 从某种程度上说
rewind	 vi&vt. (rewound,rewound)倒回
architecture	 n. 建筑
authentic	 adj. 原作的；真正的
characteristic	 adj. 典型的
monument	 n. 纪念碑，纪念堂
gather	 vi&vt. 聚集
on one's side	 侧身
sorrow	 n. 悲伤，难过
sympathy	 n. 同情
burst	 vi. 爆炸；冲，闯
split up	 （使）解散；决裂
on the way to	 在去……的路上
pay rise	 增加工资
specific	 adj. 详细的；特定的
significance	 n. 重要性；意义
abnormal	 adj. 反常的，不正常的
vivid	 adj. 生动的，逼真的；丰富的
hardship	 n. 艰苦，困苦
pillar	 n. 支柱
violinist	 n. 小提琴家
name... after	 以……的名字给某人某物命名
come across	 偶然遇见
hold up	 支撑起
count on	 依靠
origin	 n. 起源，开端；出身
figure out	 理解
heather	 n. 石楠属植物
discourage	 vt. 使泄气，使灰心
end up	 以……结束，以……告终
put up with	 容忍，忍受
suffering	 n. 痛苦，困难
musical	 adj. 音乐的 n. 音乐剧，音乐片
admirable	 adj. 令人钦佩的
tease	 vt. 嘲笑，取笑
suspension bridge	 吊桥
videophone	 n. 可视电话
in particular	 特别，尤其
superb	 adj. 出色的，卓越的
severe	 adj. 严重的；严厉的
restriction	 n. 限制，约束
unbearable	 adj. 不能忍受的
stubborn	 adj. 倔强的，固执的
former	 adj. 以前的
troublesome	 adj. 引起麻烦的
straightforward	 adj. 直接的；坦率的
precise	 adj. 准确的，精确的
imitation	 n. 模仿
precious	 adj. 宝贵的，珍贵的
now that	 既然，由于
eager	 adj. 渴望的，热衷的
gradual	 adj. 逐渐的
expand	 v. 扩大，扩充
complex	 adj. 复杂的
apparent	 adj. 明显的，显而易见的
