mother tongue	 母语
input	 n. (信息)输入
output	 n. (信息)输出
fluency	 n. 流利度，流畅度
accuracy	 n. 精确度，准确度
punctuation	 n. 标点符号
royal	 adj. 王室的，皇家的
nationwide	 adv. 全国性地
thankful	 adj. 为……感到高兴的；感谢的
constitution	 n. 宪法
liberty	 n. 自由
jungle	 n. 热带丛林
cafeteria	 n. 小餐馆，咖啡馆
fold	 v. 折叠；交叉
global	 adj. 全世界的，全球的
decade	 n. 十年
trend	 n. 趋势，倾向
absence	 n. 缺乏；缺席
theory	 n. 理论；学说
acquisition	 n. (语言)习得
attain	 vt. 达到；获得
surround	 vt. 环绕，围绕
curriculum	 n. (学校的)课程
adequate	 adj. 足够的，充分的
medium	 n. 媒介物；渠道
ensure	 vt. 确保，保证
accelerate	 vi&vt. 加速
target	 n. 目标
enlarge	 vt. 扩大
guarantee	 vt. 保证
adjust	 vt. 调节；调整
inform	 vt. 告知,通知
dedication	 n. 专心致志
dedicated	 adj. 专心致志的
manual	 n. 手册；指南
theft	 n. 偷窃
announcement	 n. 通告；宣告
mate	 n. 老兄，老弟，伙计
cream	 n. 奶油；油
razor	 n. 剃刀
catch on	 学会
for ages	 很久，很长时间
brochure	 n. 小册子
cab	 n. 出租汽车
relative	 n. 亲戚，亲属
pat	 vt&n. 轻拍；拍
congratulate	 vt. 祝贺
explicit	 adj. 明确的；清楚的
eyebrow	 n. 眉毛
on purpose	 故意地
upwards	 adv. 向上地
upper	 adj. 上面的
unconscious	 adj. 无意的；不知不觉的
rigid	 adj. 僵硬的
tight	 adj. 绷紧的
resemble	 vt. 像；与……相似
transparent	 adj. 清晰易辨的；透明的
unrest	 n. 不安
merely	 adv. 只；仅仅
purchase	 vt. 购买
on the other hand	 另一方面
negotiate	 vt. 协商;谈判
outline	 vt. 勾出轮廓
ambiguous	 adj. 模棱两可的
offence	 n. 冒犯；得罪
approval	 n. 赞成；赞许；批准
bent	 adj. 弯曲的
applicant	 n. 申请人
certificate	 n. 证书；证明
registration	 n. 登记；注册
competence	 n. 能力
diploma	 n. 毕业证书
marketing	 n. 市场营销
overview	 n. 概要；综述
provided that	 如果；条件是
register	 vt. 登记
candidate	 n. 候选人
cheers	 inter. 谢谢
