greenhouse effect	 温室效应
endanger	 vt. 危害
trap	 vt. 使困住
ecology	 n. 生态
botanical	 adj. 植物的
a number of	 一些
consultant	 n. 顾问
brewery	 n. 啤酒厂
reserve	 n. 保护区
principle	 n. 原则，道德准则
boycott	 n. （联合）抵制
corrupt	 adj. 贪污受贿的，腐败的
conservation	 n. 保护
consensus	 n. 一致的意见
beyond	 prep. 超出
claim	 vt. 声称
look ahead	 展望未来
relevant	 adj. 有关的
refer to	 指，意即
in turn	 依次
lead to	 引起，导致
ray	 n. 光线
bounce	 vi. 反弹
pin	 vt. 把责任加在（某人）身上
agriculture	 n. 农业
coincidence	 n. 巧合
condemn	 vt. 迫使（某人）陷于不幸的境地
drought	 n. 旱灾
federal	 adj. 联邦的
reservation	 n. 存疑；保留（意见）
sacrifice	 vt&vi. 牺牲；献出
take action	 采取行动
advocate	 vt. 主张，提倡
recycle	 vt. 回收利用
substitute	 n. 代替品，代用品
threaten	 vt. 威胁
ahead of	 在……前面
pancake	 n. 薄煎饼
hurricane	 n. 飓风
species	 n. （动植物的）物种
leopard	 n. 豹
crested ibis	 n. 朱鹮
alligator	 n. 短吻鳄
extinct	 adj. 灭绝的,绝种的
habitat	 n. 栖息地
tortoise	 n. (陆)龟
apart from	 除……以外
mainland	 n. 大陆
hook	 n. 钩子，钩
answer for	 (对已产生的不良后果)负责任
seize	 vt. 依法没收；（用武力）夺取
call for an end to sth.	 要求结束……
or else	 否则，不然
wrap up	 结束
behalf	 n. 代表
for good	 永远
carry off	 掠去，夺走
Tibetan antelope	 藏羚羊
Tibet	 n. 西藏
fashionable	 adj. 流行的，时髦的
enforce	 vt. 实施，执行
all in all	 总的来说
orangutan	 n. 猩猩
landslide	 n. 滑坡，山崩
tsunami	 n. 海啸
typhoon	 n. 台风
grand	 adj. 巨大的
scale	 n. 规模，范围
changeable	 adj. 多变的
thunderstorm	 n. 雷暴，雷雨
rainfall	 n. 降雨量
irrigation	 n. 灌溉
arm	 vt. 武装
result in	 导致
rough	 adj. 艰难的
quake	 n. 地震
offshore	 adj. 在近海岸的
catastrophe	 n. 巨大的灾难
separation	 n. 分离，分开
means	 n. 方法，手段
earn one's living	 谋生
construct	 vt. 建造
clay	 n. 黏土
brick	 n. 砖，砖块
slip	 vi. 滑落
slide	 vi. （slid,slid）滑行
mountainous	 adj. 多山的
howl	 vi. 咆哮，怒吼
flee	 vt&vi. (fled,fled)逃走
potential	 n. 可能性，潜在性
dust	 n. 尘土，灰尘
roll	 vi. （平稳地）移动，滚动
plug	 vt. 塞住
quilt	 n. 被褥，被子
cushion	 n. 坐垫，靠垫
industrialisation	 n. 工业化
negative	 adj. 消极的，负面的
adopt	 vt. 采用；收养
soundproof	 adj. 隔音的
rail	 n. 铁路
warehouse	 n. 仓库
considerate	 adj. 想得周到的，体贴的
all the best	 祝一切顺利
decibel	 n. 分贝（音量单位）
sum up	 总结，概括
as a matter of fact	 实际上,事实上
finance	 n. 资金
allocate	 vt. 分配，配给
politics	 n. 政治（活动）
fragile	 adj. 易毁的；脆弱的
pest	 n. 有害的动物
break away from	 摆脱，脱离(某种思想体系、团体、组织)
sharpener	 n. 卷笔刀
sharpen	 vt. 削尖
valid	 adj. 有充分理由的
evolution	 n. （生物）进化
trunk	 n. 象鼻
tusk	 n. （象等动物的）长牙
carve	 vt&vi. 雕刻
calculate	 vt. 计算，算出
cube	 n. 立方体
cubic	 adj. 立方的
betray	 vt. 出卖，背叛
friction	 n. 不和，冲突
hand over	 把……交给
recipe	 n. 配方；食谱
Muslim	 n. 穆斯林，伊斯兰教信徒
Catholic	 adj. 天主教的
holy	 adj. 圣洁的
memorial	 n. 纪念碑
justice	 n. 公正，正义
widow	 n. 寡妇，遗孀
minister	 n. 部长，大臣
compromise	 n. 妥协，让步
immigration	 n. 移民入境
civilian	 n. 平民
prejudice	 n. 偏见
racial	 adj. 种族之间的
community	 n. 社区
drummer	 n. 鼓手
bid goodbye	 告别
furnished	 adj. 配有家具的
bachelor	 n. 未婚男子，单身汉
expose	 vt. 使置身于危险中；暴露
alcoholic	 n. 酗酒者，酒鬼
adolescent	 adj. 青春期的 n. 青少年
council	 n. 委员会
departure	 n. 离开，离去
lounge	 n. 休息室
suite	 n. 套房
