globalisation	 n. 全球化，全球性
race	 n. 种族
brand	 n. 商标，牌子
import	 vt. 进口；输入；引进
ethnic	 adj. 异国风情的；人种的，种族的
non-native	 adj. 非本国的，非本地的
multinational	 adj. 跨国的，多国的
investor	 n. 投资者
multi-ethnic	 adj. 多种族的
emigration	 n. 移民，移居
immigration	 n. 外来的移民，移居入境
clash	 n. 冲突
Americanisation	 n. 美国化
deprive	 vt. 剥夺，使丧失
come to the fore	 变得重要，有影响力
subcontinent	 n. 次大陆
uniqueness	 n. 唯一性，独特性
opposing	 adj. 相反的，对立的
pursue	 vt. 追求，继续进行
likewise	 adv. 同样地，也
infectious	 adj. 有感染力的；传染病的
billboard	 n. 告示板，广告牌
youngster	 n. 年轻人，少年
headset	 n. 耳机
sip	 vi. 小口喝；抿
multi-storey	 adj. 多层的
lane	 n. 巷；（乡间）小路
stroke	 vt. 抚摸
episode	 n. (电视连续剧的)一集，一节
high-rise	 adj. 高层建筑的
unimaginable	 adj. 想不到的，不可思议的
commonplace	 adj. 普通的，平凡的
spare	 adj. 多余的 vt. 宽恕；腾出
out of date	 过时的，废弃的
simplify	 vt. 使简易，简明，简化
controller	 n. 管理者，控制者，指挥者
command	 n. 掌握
Applied Linguistics	 应用语言学
subsequent	 adj. 随后的，后来的
implication	 n. 可能的影响；暗示
intelligible	 adj. 明白易懂的
conform	 vi. 符合，顺应；遵守
Arabic	 adj. 阿拉伯的，阿拉伯人的
legitimate	 adj. 合理的；合法的；正统的
patronise	 vt. 以高人一等的态度对待；资助
drawback	 n. 缺点，障碍，困难
consideration	 n. 考虑；体谅
devise	 vt. 想出，设计，发明
syllabus	 n. 教学大纲
monolingual	 adj. 只用一种语言的
mathematical	 adj. 数学的
spatial	 adj. 空间的
geometry	 n. 几何学
score	 n&vi. (游戏、比赛的)得分，评分
fund	 n. 资金，基金
monetary	 adj. 货币的，金钱的
annual	 adj. 每年的，一年一次的
disperse	 vt. （使）散开，疏散
marcher	 n. 游行者，行进者
cut off	 切断，断绝
Hindu	 adj. 印度人的，印度教的
Maha Kumbh Mela	 (印度每12年一次的)瓦罐庙会
commemorate	 vt. 纪念
mythological	 adj. 神话的；虚构的
confer	 vt. 授予（称号、学位等） vi. 商谈，讨论
immortality	 n. 不朽，不朽的声名
sadhu	 n. 印度教圣人
