abruptly	 adv. 突然地
absorb	 v. 吸收（液体、气体等）
abuse	 v. 滥用，虐待
academic	 adj. 学校(院)的，学术的
access	 v. 获取 n. 接近，入口
accessible	 adj. 易接近的
accommodate	 v. 适合， 提供住宿
accomplish	 v. 完成
accumulate	 v. 积累，增加
accurate	 adj. 精确的，准确的
achieve	 v. 完成，实现
acknowledge	 v. 承认(…的权威)
acquire	 v. 获得
acute	 adj. 敏锐的
adapt	 v. 适应于
addiction	 n. 上瘾
additional	 adj. 额外的
address	 v. 解决
adequate	 adj. 足够的
administration	 n. 管理，政府
administrative	 adj. 管理的
admire	 v. 钦佩，称赞
admiration	 n. 钦佩，称赞
admission	 n. 准许进(加)入；入场费；承认
admit	 v. 承认，容许
advance	 v & n. 前进，提前
advanced	 adj. 高级的
advancement	 n. 进步，提升
advice	 n. 建议
advisory	 n. 报告
advocate	 n & v. 倡导
advocator	 n. 主张者，倡导者
affectionate	 adj. 深情的，柔情的
affirmation	 n. 断言，肯定
affirm	 v. 断言，声明
afford	 v. 负担得起
agency	 n. 机构
aggressive	 adj. 挑衅的，好斗的；有上进心的
album	 n. 粘贴簿，集邮簿，像册
alcohol	 n. 酒精
alert	 v. 提醒； adj. 机警的
alter	 v. 改变
altitude	 n. 海拔, 高度
ambitious	 adj. 有雄心的，野心勃勃的
analyze	 v. 分析
ancient	 adj. 古代的
announce	 v. 宣布，声称
annual	 adj. 每年的
annually	 adv. 每年，一年一次
anticipate	 v. 预感
antique	 n. 古玩，古董
apartment	 n. 公寓
appeal	 n &v. 吸引，呼吁
appearance	 n. 外表, 出现
appetite	 n. 欲望, 胃口
applicant	 n. 申请人
application	 n. 申请，应用
apply	 v. 应用, 申请
appoint	 v. 任命，委派；约定，确定，指定
appointment	 n. 约会
appreciate	 v. 感激，欣赏
appreciation	 n. 评价，感激
approach	 v. 靠近 n. 接近，方法
approve	 v. 赞成，同意
approval	 n. 批准，认可，赞成
approximately	 adv. 大约
architect	 n. 建筑师
archive	 n. 档案文件
arrange	 v. 把…（系统地）分类
arrest	 v. 逮捕
ashamed	 adj. 害羞的
assemble	 v. 组装；集合
assembly	 n. 装配
asset	 n. 有价值的人(或物)资产
assign	 v. 分配，布置
assignment	 n. 作业
associate	 v. 交往；把……联系起来
assume	 v. 假定，认为
assumption	 n. 假定，假设
astonish	 v. 使惊讶，使大为吃惊
atmosphere	 n. 气氛；大气；空气
attempt	 n & v. 尝试，试图
automatic	 adj. 自动的
available	 adj. 可利用的，现有的；可获得的
avail	 v. 有益, 有帮助
average	 adj. 平常的
aviation	 n. 航空
aviate	 v. 驾驶飞机
avoid	 v. 避免
award	 v. 授予；判给 n. 奖(金)
awareness	 n. 意识
background	 n. 背景
backward	 adv. 向后的
ban	 v. 禁止
bankrupt	 adj. 破产的，倒闭的
bargain	 n. 讨价还价
battle	 n. 战争，战役
behave	 v. 表现
beneficial	 adj. 有利的，有益的
benefit	 v. 有益于，有助于
bid	 n & v. 出价，投标
blame	 v. 指责，责怪
bless	 v. 祝福
block	 v. 阻碍；街区
bogus	 adj. 假冒的
boost	 n. 推动,宣扬 v. 促使，促进
bother	 v. 打扰；麻烦
broad	 adj. 宽的
budget	 n. 预算 v. 编预算
burden	 n. 负担，包袱
bureau	 n. 局
calculate	 v. 计算
campaign	 n. 活动
cancel	 v. 取消
candidate	 n. 申请求职者；投考者；候选人
canteen	 n. 食堂
capable	 adj. 能干的，有能力的
caregiver	 n. 照料者
careless	 adj. 粗心的
casual	 adj. 偶然的，随便的
catalogue	 v. 把……编入目录
caution	 v & n. 小心，谨慎
cautious	 adj. 谨慎的
ceremony	 n. 典礼，仪式
