a	 art. 一(个)；每一(个)
abandon	 v. 丢弃；放弃，抛弃
ability	 n. 能力；能耐，本领
able	 adj. 有能力的；出色的
abnormal	 adj. 不正常的；变态的
aboard	 adv. 在船(车)上；上船
about	 prep. 关于；在…周围
above	 prep. 在…上面；高于
abroad	 adv. (在)国外；到处
absence	 n. 缺席，不在场；缺乏
absent	 adj. 不在场的；缺乏的
absolute	 adj. 绝对的；纯粹的
absolutely	 adv. 完全地；绝对地
absorb	 v. 吸收；使专心
abstract	 adj. 抽象的 n. 摘要
abundant	 adj. 丰富的；大量的
abuse	 v. 滥用；虐待 n. 滥用
academic	 adj. 学院的；学术的
academy	 n. 私立中学；专科院校
accelerate	 v. (使)加快；促进
acceleration	 n. 加速；加速度
accent	 n. 口音，腔调；重音
accept	 v. 接受；同意
acceptable	 adj. 可接受的，合意的
acceptance	 n. 接受，验收；承认
access	 n. 接近；通道，入口
accessary	 n. 同谋，从犯
accident	 n. 意外的；事故
accidental	 adj. 偶然的；非本质的
accommodate	 v. 容纳；供应，供给
accommodation	 n. 招待设备；预定铺位
accompany	 v. 陪伴，陪同；伴随
accomplish	 v. 达到(目的)；完成
accord	 v. 使一致；给予
accordance	 n. 一致；和谐；授予
accordingly	 adv. 因此，所以；照着
account	 n. 记述；解释；帐目
accumulate	 v. 积累 v. 堆积
accuracy	 n. 准确(性)；准确度
accurate	 adj. 准确的，正确无误的
accuse	 v. 指责；归咎于
accustom	 v. 使习惯
accustomed	 adj. 惯常的；习惯的
ache	 v. 痛；想念 n. 疼痛
achieve	 v. 完成，实现；达到
achievement	 n. 完成；成就，成绩
acid	 n. 酸；酸的，酸性的
acquaintance	 n. 认识；了解；熟人
acquire	 v. 取得；获得；学到
acre	 n. 英亩(=607亩)
across	 prep. 横过；在…对面
act	 v. 行动；见效 n. 行为
action	 n. 行动；作用；功能
active	 adj. 活跃的；积极的
activity	 n. 活动；活力；行动
actor	 n. 男演员；演剧的人
actress	 n. 女演员
actual	 adj. 实际的；现行的
actually	 adv. 实际上；竟然
acute	 adj. 尖的，锐的；敏锐的
ad	 n. 广告
adapt	 v. 使适应；改编
add	 v. 添加，附加，掺加
addition	 n. 加，加法；附加物
additional	 adj. 附加的，追加的
address	 n. 地址；演说；谈吐
adequate	 adj. 足够的；可以胜任的
