access	 v. 获取 n. 接近，入口
project	 n. 工程；课题、作业
intention	 n. 打算，意图
equivalence	 n. 等值，相等
negotiate	 v. 谈判，协商，交涉
disappointing	 adj. 令人失望的
alternative	 n. 代替品
generous	 adj. 慷慨的
biological	 adj. 生物的
strategy	 n. 策略，战略
paradox	 n. 悖论；自相矛盾
primary	 adj. 主要的，基本的
standpoint	 n. 立场
grab	 v. 抢先，抢占，抢夺
crucial	 adj. 至关重要的
flaw	 n. 缺点；错误
depressed	 adj. 萧条的；沮丧的
obstacle	 n. 阻碍
automatic	 adj. 自动的
passionate	 adj. 热情的
gambling	 n. 赌博
logic	 n. 逻辑
theory	 n. 理论
download	 v. 下载
signal	 n. 信号 v. 发信号，打信号；示意
authoritative	 adj. 权威的
smooth	 adj. 光滑的
institution	 n. 社会公共机构；制度；设立，制定
vehicle	 n. 车辆
plague	 v. 使困扰
psychological	 adj. 心理上的
shade	 n. 阴凉处
persistent	 adj. 持续的；坚持的
voluntary	 adj. 自愿的，主动的
tolerance	 n. 宽容，容忍
senior	 n. 老年人
individual	 n. 个人
contemporary	 adj. 当代的，现代的
opposite	 adj. 相反的
specialize	 v. 专业从事
content	 n. 内容
philosopher	 n. 哲学家
unrest	 n. 不安定，动荡
startle	 v. 吃惊
emission	 n. 排放，辐射
overweight	 adj. 超重的
occupation	 n. 职业，工作
mainstream	 n. 主流
scholarship	 n. 奖学金
contract	 n. 合同
cheek	 n. 脸颊
interdependence	 n. 相互依靠
import	 n. 进口 v. 进口
fiction	 n. 小说，虚构的文学作品
upbringing	 n. 养育，培养，教养
preserve	 v. 保护
vitally	 adv. 极其重要地
masculine	 adj. 男性的
advocate	 v. 倡导 n. 提倡者，拥护者，鼓吹者
dust	 n. 灰尘
track	 n. 足迹 v. 追踪，〔循着踪迹、气味等〕找寻
confidence	 n. 信心
riotous	 adj. 狂暴的
sophisticated	 adj. 复杂的；世故的
similar	 adj. 相似的
transform	 v. 改变
approve	 v. 赞成，同意
session	 n. 开会，会议
awareness	 n. 意识
exhaust	 v. 使筋疲力尽
subsidize	 v. 提供补贴
grocery	 n. 杂货店
ignorance	 n. 无知，愚昧
intelligence	 n. 智力，智慧，理解力
tiny	 adj. 微小的
praise	 v. 赞扬，赞美
memorize	 v. 熟记，牢记
relative	 adj. 相对的 n. 亲戚
breakthrough	 n. 突破
incidence	 n. 几率，发生率
scratch	 n. 抓，划痕
harmful	 adj. 有害的
undergo	 v. 承受
recession	 n. 衰退
extraordinary	 adj. 非凡的
improper	 adj. 不合适的，不适当的
marginalize	 v. 边缘化，排斥
vital	 adj. 重要的
fortunately	 adv. 幸运地
commencement	 n. 毕业典礼
fetch	 v. 取回
clumsy	 adj. 笨拙的，不圆滑的
establishment	 n. 确立
emit	 v. 发出，排出
entertaining	 adj. 有趣的，使人愉快的
irregular	 adj. 不规律的
psychologist	 n. 心理学家
era	 n. 纪元，年代
triumph	 n. 胜利
detection	 n. 侦查；察觉
cozy	 adj. 舒适的
gallery	 n. 美术馆
enormous	 adj. 巨大的
obtain	 v. 获得
desert	 v. 抛弃
aviate	 v. 驾驶飞机
determine	 v. 决定；下决心
disappear	 v. 不见，消失
entitle	 v. 使具有权利，使具有资格
relieve	 v. 解除，减轻，缓解
generosity	 n. 慷慨，大方
colleague	 n. 同事
undertake	 v. 承担
convenient	 adj. 方便的
preferentially	 adv. 优先地
column	 n. 专栏
affectionate	 adj. 深情的，柔情的
issue	 v. 发表〔声明〕 n. 问题
inquire	 v. 询问
groundlessly	 adv. 无缘无故地，无根据地
independently	 adv. 独立地
approach	 v. 靠近 n. 方法
administration	 n. 管理；〔某一时期的〕政府
adversity	 n. 逆境，不幸
technician	 n. 技术员，技师
regular	 adj. 有规律的，经常的
miscalculation	 n. 算错，误算
hinder	 v. 阻碍
selection	 n. 选择，挑选
tide	 n. 潮水
superior	 adj. 上级的，较高的 n. 上级，长官
matter	 v. 要紧，重要
passively	 adv. 消极地
grant	 v. 授予；允许
liberation	 n. 解放
observe	 v. 遵守
institute	 v. 建立 n. 〔从事科研或教育等的〕机构；学院；研究院
dormitory	 n. 宿舍
awful	 adj. 可怕的，骇人的
emergency	 n. 紧急情况
stress	 n. 压力；重音
launch	 v. 发动
suppose	 v. 料想，以为；假定；期望
remove	 v. 消除，移除
exposure	 n. 暴露；揭露
promote	 v. 促进，提升；推销
engage	 v. 从事；吸引
uncertain	 adj. 不确定的
accommodate	 v. 为…提供住宿
slave	 n. 奴隶
mature	 adj. 成熟的
contrast	 n. 对照物 v. 对比
clinic	 n. 诊所
award	 v. 授予；判给 n. 奖(金)
worthwhile	 adj. 有价值的
cruelty	 n. 残暴，残酷
threaten	 v. 威胁
chemical	 adj. 化学的 n. 化学制品
consistent	 adj. 一致的
renew	 v. 〔中止后〕重新开始，继续
takeoff	 n. 起飞
innocent	 adj. 无辜的；天真的
currently	 adv. 当前；一般地
dropout	 n. 辍学者
replace	 v. 代替
sightseeing	 n. 观光
honor	 n. 荣誉；崇敬，敬重，敬意
imitate	 v. 模仿
installment	 n. 分期付款
personality	 n. 个性，性格
headquarter	 v. 设立总部，在…设立总部
ingredient	 n. 成分，原料
revenue	 n. 收入
sensitive	 adj. 敏感的
particular	 adj. 特别的，特指的；讲究的；挑剔的，吹毛求疵的
tumor	 n. 瘤
consequence	 n. 结果，成果
explicitly	 adv. 直接地，明确地
sway	 v. 影响
technical	 adj. 技术的
expert	 adj. 熟练的，内行的
harm	 n. 损害；危害；伤害 v. 伤害，损害〔某事物〕
imaginary	 adj. 虚构的，想象的
contaminate	 v. 污染，弄脏
soar	 v. 猛增
solely	 adv. 单独地，唯一地
tremendous	 adj. 巨大的
civilization	 n. 文明
tough	 adj. 困难的
gift	 n. 礼物；天赋
scale	 n. 规模；比例
injure	 v. 使受伤
embrace	 v. 拥抱；欣然接受，乐意采纳 (新思想、意见、宗教等)
seldom	 adv. 很少，罕见
performance	 n. 演出；履行；表现
violate	 v. 违反
associate	 v. 把……联系起来；交往；
privacy	 n. 隐私
choke	 v. 使窒息
capable	 adj. 能干的，有能力的
appeal	 n. 呼吁 v. 吸引；呼吁；恳请，恳求
careless	 adj. 粗心的
hit	 n. (唱片、电影或戏剧的) 成功；命中，击中
swallow	 v. 咽下，吞下
consult	 v. 咨询
preservation	 n. 保存，保留
distance	 n. 距离
plastic	 adj. 塑料的
predict	 v. 预言，预测，预告
submit	 v. 提交
entertainment	 n. 娱乐
critical	 adj. 批评的，爱挑剔的
transaction	 n. 交易，业务，事务
via	 prep. 通过
insist	 v. 主张，坚持
distract	 v. 分心
subdivision	 n. 分支; 分部
yield	 v. 产生，得出〔结果、答案或资料 n. 产量
misunderstand	 v. 误解
detail	 n. 细节
immeasurable	 adj. 无法估量的
convincing	 adj. 令人信服的
donate	 v. 捐赠
compare	 v. 比较，对照
item	 n. 〔尤指清单上、一群或一组事物中的〕一项，一件，一条
concrete	 adj. 具体的
govern	 v. 管理，支配
classify	 v. 把…分类，把…分级
restrict	 v. 限制，限定
establish	 v. 建立，创办，设立
counseling	 n. 咨询服务
majority	 n. 多数
contact	 n. 联系，接触 v. 〔写信、打电话〕联系〔某人〕
