refuse	 v. 拒绝
soluble	 adj. 可溶的；可以解决的
brave	 adj. 勇敢的；极好的
hat	 n. 帽子（一般指有边的）
beach	 n. 海滩，湖滩，河滩
authority	 n. 当局，官方；权力
roast	 v. 烤，炙；烘
amplify	 v. 放大，扩大；增强
bulk	 n. 大部分；体积，块头
put	 v. 放，摆；使处于
stable	 adj. 稳定的，不变的
certificate	 n. 证书，证件，执照；（毕业）文凭，合格证书
dragon	 n. 龙
capable	 adj. 有能力的；有才能的
criticism	 n. 批评；批判；评论
accommodation	 n. 住处；工作场所
imply	 v. 暗示，意指
December	 n. 十二月
president	 n. 总统；（某组织的）最高权力人
lately	 adv. 最近，不久前
down	 adv. 向下；在下面
matter	 n. 事情；物质 v. 要紧
lake	 n. 湖
nor	 conj. 既不…也不…；也不
bench	 n. 长凳，条凳
rug	 n. 小地毯；毛毯
mirror	 n. 镜子 v. 与〔另一事物〕相似；反映
draw	 v. 画，划
net	 n. 网，网状物；互联网
scale	 n. 天平，磅秤，秤
outline	 n. 轮廓；略图；大纲
quiet	 adj. 安静的；寂静的
water	 n. 水 v. 使湿，灌溉
nervous	 adj. 神经的；易激动的
nevertheless	 conj. 然而 adv. 仍然
assembly	 n. 集合；集会；装配
fight	 v. 打（仗）；斗争
missing	 adj. 失去的；缺掉的
lift	 v. 提起，提高 n. 电梯
refrigerator	 n. 冰箱，冷藏库
dirty	 adj. 脏的；下流的
rent	 n. 租金 v. 出租
convince	 v. 使确信，使信服
abroad	 adv. （在）国外
offend	 v. 冒犯 v. 犯罪，违法
belong	 v. 属于
arouse	 v. 引起，唤起；唤醒
admission	 n. 承认；允许进入
modify	 v. 更改，修改
express	 v. 表示 n. 快车；快递
imagine	 v. 想象，设想
infinite	 adj. 无限的；无数的
barrier	 n. 障碍；栅栏；屏障
lane	 n. （乡间）小路；跑道
notebook	 n. 笔记本，期票簿
realm	 n. 领域；王国，国土
lever	 n. 控制杆；杆，杠杆
midst	 n. 中部，中间，当中
pilot	 n. 飞行员；领航员
direct	 adj. 直接的；直率的
prejudice	 n. 偏见，成见
tour	 n. 旅行，旅游 v. 旅游，游历
tolerance	 n. 忍受，容忍
discourage	 v. 使泄气，使灰心
get	 v. 获得，得到；到达；变成，成为
advertisement	 n. 广告
ribbon	 n. 缎带，丝带；带
partner	 n. 配偶；伙伴；搭挡
hamburger	 n. 汉堡包，牛肉饼
climb	 v. 攀登，爬
differ	 v. 不同，相异
exhibition	 n. 展览会；展览，陈列
mineral	 n. 矿物 adj. 矿物的
public	 adj. 公众的 n. 公众
palace	 n. 宫，宫殿
pulse	 n. 脉搏；脉动；脉冲
immediately	 adv. 立即；（immediately involved）直接地
cow	 n. 母牛，奶牛；母兽
private	 adj. 私人的；私下的
toast	 n. 烤面包 v. 烘，烤
scenery	 n. 风景；舞台布景
fun	 n. 乐趣，娱乐；玩笑
living	 adj. 活的 n. 生活，生计
Mediterranean	 n. 地中海 adj. 地中海的
worth	 adj. 值…的 n. 价值
conquer	 v. 征服；战胜
absorb	 v. 吸收；中文释义；使专心
enthusiasm	 n. 热情，热心，热忱
brood	 n. 同窝幼鸟 v. 孵（蛋）
tip	 v. 轻击；给小费
accompany	 v. 陪伴，陪同；伴随
execute	 v. 将…处死；实施
conceal	 v. 把…隐藏起来
certain	 adj. 肯定的；确实的
apparent	 adj. 明显的；表面上的
messenger	 n. 送信者，信使
merit	 n. 长处，优点
youth	 n. 青春；青年们；青年
naval	 adj. 海军的，军舰的
downward	 adj. 向下的 adv. 向下地
fact	 n. 事实；实际，实情
hut	 n. 小屋，棚屋
namely	 adv. 即，也就是
monument	 n. 纪念碑；纪念馆
cool	 adj. 凉的；冷静的
governor	 n. 州长；主管人员
program	 n. 程序；节目单
illness	 n. 病，疾病
normal	 adj. 正常的，普通的
population	 n. 人口；全体居民
frontier	 n. 边境；边疆；新领域
quantity	 n. 量，数量，分量
order	 n. 次序；整齐 v. 命令
learning	 n. 学问，知识；学习
everywhere	 adv. 到处，处处
stage	 n. 阶段；舞台
everyone	 pron. 每人，人人
sting	 v. 刺；刺痛 n. 刺
hatch	 v. （蛋）孵化；孵出
honey	 n. 蜜，蜂蜜
nest	 n. 巢；窝，穴
degree	 n. 度；学位
equivalent	 adj. 相等的；等量的
calendar	 n. 日历，历书；历法
manual	 adj. 体力的 n. 手册
cabinet	 n. 内阁；橱，柜
steady	 adj. 稳固的 v. 使稳定
more	 adj. 更多的 adv. 更
apple	 n. 苹果
never	 adv. 永不，决不；不
instruction	 n. 命令；教学；教训
laughter	 n. 笑，笑声
