abandonment	 n. 放弃
abnormally	 adv. 不正常的
absolutely	 adv. 当然
abstract	 adj. 抽象的
abuse	 n. 虐待 v. 滥用
accelerate	 v. 加速
accomplish	 v. 实现
accountant	 n. 会计
accrue	 v. 积累
accurate	 adj. 精确的
accuse	 v. 指控
accustom	 v. 使习惯
achieve	 v. 达到，实现
acquaintance	 n. 熟人
activate	 v. 激活
acutely	 adv. 敏锐地
addict	 v. 上瘾，沉溺
address	 v. 解决
administration	 n. 管理，政府
adopt	 v. 采纳
adventure	 n. 冒险
adventurer	 n. 冒险者
adverse	 adj. 相反的，敌对的
adversely	 adv. 不利地
affection	 n. 喜爱
agenda	 n. 议程
aggravate	 v. 加重，加剧
agonize	 v. 使痛苦
aid	 v. 援助，有助于
alert	 adj. 机警的 v. 提醒
alien	 adj. 陌生的
allergic	 adj. 过敏的
alternative	 n. 代替品
analytical	 adj. 分析的
ancient	 adj. 古代的
ankle	 n. 脚踝
anonymous	 adj. 匿名的
anticipate	 v. 期望，预期
anxiety	 n. 焦虑
apartment	 n. 公寓
apathy	 n. 冷漠
apologize	 v. 道歉
applicable	 adj. 可应用的
applicant	 n. 申请者
appoint	 v. 任命
appreciative	 adj. 表示赞赏的，感谢的
approach	 n. 方法
appropriate	 adj. 适当的
approve	 v. 赞同
approximately	 adv. 大约
arm	 v. 装备，武装
arouse	 v. 唤起
arrogant	 adj. 傲慢无礼的
artificial	 adj. 人造的，虚伪的
aspect	 n. 方面
assassinate	 v. 刺杀，暗杀
assemble	 v. 收集，组装
assessment	 n. 评估，评价
association	 n. 联系
athletic	 adj. 运动的，运动员的
atmosphere	 n. 气氛，空气
attendant	 n. 服务人员
authorities	 n. 当局
authority	 n. 权威
authorization	 n. 授权
automatic	 adj. 自动的
auxiliary	 adj. 辅助的
available	 adj. 可获得的，可利用的
awareness	 n. 意识
awesome	 adj. 极好的，令人敬畏的
backup	 n. 后补，援助
bacteria	 n. 细菌
ballet	 n. 芭蕾
barely	 adv. 几乎不，仅仅
barrier	 n. 障碍，阻碍
battery	 n. 电池
battle	 n. 激战，战役
bias	 n. 偏见
biography	 n. 自传
bitter	 adj. 痛苦的
bizarre	 adj. 古怪的；奇怪的
blame	 v. 谴责
blouse	 n. 衬衫
blueprint	 n. 蓝图，设计图
board	 n. 董事会
boom	 n. 繁荣
boost	 v. 提高
botanical	 adj. 植物学的
bother	 v. 困扰
branch	 n. 分支，分公司
breakthrough	 n. 突破性进展
breed	 v. 繁殖；导致
breezy	 adj. 轻松愉快的
bribe	 v. 贿赂
bridge	 v. 缩小；架桥于…之上
bruise	 v. 使碰伤，擦伤
brutal	 adj. 残酷的
buck	 v. 反对 n. 美元
burden	 n. 负担
bureaucracy	 n. 官僚主义
burial	 n. 埋葬
calculation	 n. 计算
calorie	 n. 卡路里
campaign	 n. 活动
cancel	 v. 取消
capable	 adj. 有能力的
capacity	 n. 能力，容量
capital	 adj. 资金的，资本的
capture	 v. 捕捉
cast	 v. 投掷，扔
casualty	 n. 伤亡人数
category	 n. 种类
cautious	 adj. 谨慎的
chain	 n. 连锁店
chaos	 n. 混乱
character	 n. 角色
check	 v. 检查；阻止
chronicle	 v. 记录
circulation	 n. 发行量
circumstance	 n. 情况，环境
citation	 n. 引文
claim	 v. 索取，声称
clarify	 v. 澄清，明确
classify	 v. 分类
clause	 n. 条款
clue	 n. 线索
coastal	 adj. 海滨的
code	 n. 代号，密码
collaborative	 adj. 合作的
collapse	 v. 坍塌，崩塌
collective	 adj. 共同的
collide	 v. 撞击，碰撞
commerce	 n. 商业
commitment	 n. 承诺
commodity	 n. 商品
compartment	 n. 车厢, 隔间
compel	 v. 强迫
compelling	 adj. 引人注目的
compensate	 v. 弥补
competence	 n. 能力
complaint	 n. 抱怨，投诉
complicated	 adj. 复杂的
comprehensive	 adj. 综合的，全面的
concession	 n. 妥协
conclusive	 adj. 得出结论的
concrete	 adj. 具体的
conduct	 v. 引导，管理
confine	 v. 限制
conflict	 n. 冲突
conformity	 n. 一致
confrontational	 adj. 对抗的，有敌意的
consensus	 n. 共识，一致
conservation	 n. 保护
conservative	 adj. 保守的
considerable	 adj. 相当多的
console	 v. 安慰
constant	 adj. 不断的
construction	 n. 建筑
consultancy	 n. 咨询
consumption	 n. 消费, 消耗
contamination	 n. 污染
content	 adj. 满意的
contention	 n. 争论
contrary	 adj. 相反的
contribute	 v. 有助于
contribution	 n. 贡献
controversy	 n. 争议
conventional	 adj. 传统的
convert	 v. 转换，改变
convict	 v. 证明……有罪
convince	 v. 使……相信
coordination	 n. 协调
corruption	 n. 腐败
counsel	 v. 建议，忠告
counselor	 n. 咨询顾问
countermeasure	 n. 对策
cover	 v. 报道
coverage	 n. 报道
criminal	 adj. 犯罪的 n. 罪犯
criteria	 n. 标准
critical	 adj. 挑剔的，批评的；关键的
criticism	 n. 批评
crucial	 adj. 关键的
curb	 v. 限制，控制
currency	 n. 货币
dare	 v. 勇敢，敢于做
debris	 n. 残骸，碎片
decent	 adj. 体面的
decisive	 adj. 决定性的
decline	 v. 拒绝
deem	 v. 认为
defect	 n. 缺点
defensive	 adj. 防守的，防御的
deficient	 adj. 不足的，缺乏的
deficit	 n. 赤字
defy	 v. 违背，违抗
deliberate	 adj. 故意的
delicate	 adj. 精细的，细微的
deliver	 v. 发表，递送
democracy	 n. 民主
denationalize	 v. 使非国有化
deny	 v. 否认
deprive	 v. 剥夺
derail	 v. 脱轨
derive	 v. 获得
descendant	 n. 子孙后代
descriptive	 adj. 描写的，描述的
deserve	 v. 值得
desperate	 adj. 绝望的，不顾一切的
destination	 n. 目的地
destructive	 adj. 破坏性的，毁灭性的
detached	 adj. 冷漠的，超然的
detect	 v. 发现
detective	 n. 侦探
diligence	 n. 勤奋
dim	 adj. 暗淡的；愚蠢的
diminish	 v. 减少
disadvantage	 n. 缺点，不利条件
disappear	 v. 消失
disarm	 v. 解除，消除
discipline	 n. 学科
disconnect	 v. 断开
discourage	 v. 阻止；使气馁
disengagement	 n. 分离，疏离感
dishonest	 adj. 不诚实的
dismiss	 v. 忽视
dispatch	 v. 发送，派遣
disproportionately	 adv. 比例不均地，不成比例地
disservice	 n. 帮倒忙，危害
distinctive	 adj. 与众不同的
distort	 v. 扭曲
distribution	 n. 分布，分配
diverse	 adj. 各种各样的
diversion	 n. 转移；娱乐
diversity	 n. 多样性
divert	 v. 转移
dividend	 n. 分红，红利
documentary	 n. 纪录片
dolphin	 n. 海豚
domestic	 adj. 国内的
dominate	 v. 主导，主宰
donor	 n. 捐赠者
dorm	 n. 宿舍
dramatically	 adv. 大幅度地；戏剧性地
drastically	 adv. 激烈地，猛烈地
drift	 v. 漂流
dropout	 n. 辍学
drought	 n. 干旱
drown	 v. 溺水
dweller	 n. 居住者
dysfunction	 n. 失灵
eccentric	 adj. 古怪的
ecological	 adj. 生态学的
edit	 v. 剪辑，编辑
election	 n. 选举
eliminate	 v. 消除
elite	 n. 精英
eloquent	 adj. 口才好的，雄辩的
emerge	 v. 出现
emphasize	 v. 强调
encounter	 v. 遭遇
encourage	 v. 鼓励
endless	 adj. 无限的，没完没了的
enforce	 v. 强迫，迫使
engage	 v. 忙于，从事；雇佣
enormous	 adj. 巨大的
enrich	 v. 丰富，使富裕
enrollment	 n. 入学人数
enthusiastic	 adj. 热情的
entrepreneurship	 n. 企业管理
epidemic	 n. 流行病
eradicate	 v. 根除
erect	 v. 建立
erroneous	 adj. 错误的
erupt	 v. 喷出, 爆发
essential	 adj. 本质的，必须的
esteem	 v. 尊重
ethnic	 adj. 种族的
evolution	 n. 演变；进化；发展
exaggerate	 v. 夸张
exceed	 v. 超过
exceptional	 adj. 例外的
excess	 n. 过量，过度
excessive	 adj. 过度的
executive	 n. 执行官
exert	 v. 施加
exotic	 adj. 异域的，外国的
expansion	 n. 扩大
expectation	 n. 期望
expedition	 n. 探险，远征
expenditure	 n. 费用，花销
expertise	 n. 专业知识
extend	 v. 延伸；延期
extent	 n. 程度
extinction	 n. 灭绝
extreme	 adj. 极端的
eyewitness	 n. 目击者
facility	 n. 设施
faculty	 n. 教工，教员
fade	 v. 褪色
fatal	 adj. 致命的
fatigue	 n. 疲惫
favor	 v. 偏爱
fearlessly	 adv. 无畏地，大胆地
fierce	 adj. 激烈的
figure	 n. 数字
fiscal	 adj. 财政的
flat	 adj. 平的 n. 公寓
flavor	 n. 口味
flaw	 n. 缺点，瑕疵
flee	 v. 离开
flexible	 adj. 灵活的
float	 v. 漂浮
