trade	 v. 做买卖；交换
deal	 v. 买卖毒品
hike	 v. 作长途徒步旅行
action	 n. 行动
resultant	 adj. 作为结果而发生的
consequent	 adj. 作为结果的；必然的
composer	 n. 作曲家
slave	 v. 作苦工；奴役
grunt	 v. 作呼噜声；咕哝
abide	 v. 忍受；遵守
value	 v. 尊重，重视；估价
dignity	 n. 庄重；尊严；体面
outermost	 adj. 最外面的，最远的
optimum	 adj. 最优的，最适宜的
initially	 adv. 最初，开始
makeup	 n. 化妆品；性格；构造；组成
integral	 adj. 作为组成部分的；内置的
composition	 n. 组成，构成，结构
block	 n. 阻塞；障碍物
damn	 v. 谴责
ample	 adj. 足够的；宽敞的
suffice	 v. 足够
lease	 n. 租约，契约，租契
charter	 v. 包租（飞机、船等）
headquarters	 n. 总部
executive	 n. （机构或公司的）主管，经理
main	 n. 总管道，干线
overall	 adj. 总的
conceit	 n. 自负，自高自大
ultraviolet	 adj. 紫外（线）的
descendant	 n. 子孙，后裔
endow	 v. 资助；赋予
datum	 n. 资料；数据；已知数
qualification	 n. 资格；学历
bourgeois	 adj. 中产阶级的；庸俗的；资产阶级的
woodpecker	 n. 啄木鸟
bump	 v. 撞上
crash	 v. （发出巨响的） 猛撞
way	 n. （特定的）状态，状况
superb	 adj. 壮丽的；超等的
ornament	 n. 装饰物
decorative	 adj. 装饰的；可作装饰的
ornamental	 adj. 装饰的
mount	 v. 装配
shipment	 n. 装载的货物；装货
can	 v. 装罐头
array	 v. （美观地）排列 n. 陈列
diversion	 n. 转移；改道；娱乐
convert	 v. 转变，改变，变换
transition	 n. 转变，变迁；过渡
torque	 n. 转（力）矩，扭（力）矩
box	 n. （法庭的）专席
workshop	 n. 专题讨论会
patent	 adj. 专利的 n. 专利
clutch	 v. 抓住，掌握，攫
nest	 v. 筑巢，为…筑巢
coin	 v. 铸造（硬币）
noted	 adj. 著名的，知名的
watchful	 adj. 注意的，警惕的
inject	 v. 注射；注满；喷射
storage	 n. 贮藏；保管
position	 n. 形势；主张，立场
metropolitan	 adj. 主要都市的 n. （东正教和天主教的）大主教
principally	 adv. 主要，大抵
stalk	 n. 主茎，叶柄
preside	 v. 主持；主奏
eject	 v. 逐出，排斥；喷射
bamboo	 n. 竹；竹杆，竹棍
jewellery	 n. 珠宝，珠宝饰物
wrinkle	 n. 皱纹 vt. 使起皱纹
axial	 adj. 轴的；轴向的
axis	 n. 轴，轴线
ambient	 adj. 周围的，包围着的
periodic	 adj. 周期的；一定时期的
anniversary	 n. 周年纪念日
peripheral	 adj. 外围的的；末梢的
perimeter	 n. 周（边）；周长
anybody	 n. 重要人物
responsible	 adj. 可靠的；责任重大的
consequence	 n. 重要（性），重大意义
category	 n. 种类，类目；范畴
species	 n. 种，物种；种类
hearty	 adj. 热情友好的；丰盛的
neutron	 n. 中子
intermediate	 n. 中间体；调解人
proton	 n. 质子，氕核
qualitative	 adj. 质的；定性的
fabricate	 v. 捏造；制作
fabrication	 n. 捏造；制作
volunteer	 n. 志愿者 v. 志愿
rebuke	 v. 指责，非难，斥责
indicative	 adj. 指示的；陈述的
denote	 v. 指示，意味着
instructor	 n. 指导者，教员
designate	 v. 指定；指示；指明
colonial	 adj. 殖民地的，殖民的
vocation	 n. 职业，行业
notable	 adj. 值得注意的；著名的
merit	 v. 值得；应受赏（罚）
weaver	 n. 织布工，编织者
brace	 n. 支柱 v. 拉紧，撑牢
check	 n. 支票；帐单
second	 v. 支持
bearing	 n. 方位；（机器的）承座；轴承；忍受
symptom	 n. 症状；征兆，征候
regime	 n. 政权，政体；制度
politics	 n. 政纲，政见，策略
platform	 n. 政纲，党纲，宣言
confirmation	 n. 证实，确定；确认
testify	 v. 作证；证明，证实
audience	 n. 正式会见；拜会
correctly	 adv. 正确地，恰当地
positive	 adj. 正的，阳性的；正的，正极的，阳性的；正的，正数的
normalization	 n. 正常化，标准化
sign	 n. 征兆，迹象，病症
conqueror	 n. 征服者，胜利者
controversy	 n. 争论，辩论，争吵
suppress	 v. 镇压；抑制；禁止发表；封锁；查禁
gust	 n. 阵风，一阵狂风
clinic	 n. 诊所，医务室；会诊；会诊时间；门诊时间
diagnose	 v. 诊断（疾病）
sincerity	 n. 真诚，诚意；真实
cherish	 v. 珍爱；怀有（感情）
detective	 n. 侦探，警探；私人侦探，私家侦探
underline	 v. 着重；强调 n. 预告
grind	 v. 磨碎，碾碎，把...磨成粉
discount	 n. 折扣 v. 打折扣卖
literally	 adv. 照字义，逐字地
illuminate	 v. 照明，照亮；阐明
summon	 v. 召唤；鼓起（勇气）
marsh	 n. 沼泽地，湿地
entertainment	 n. 招待，招待会
hindrance	 n. 障碍，妨碍
hose	 n. 软管；袜类（包括连裤袜、长筒袜、短袜）
sofa	 n. 长沙发，沙发
tensile	 adj. 张力的；能伸长的
warfare	 n. 战争，战争状态
battle	 v. 战斗，与…作战
predominant	 adj. 占优势的；主要的
unfold	 v. 展开；展现，呈现
cling	 v. 粘住；依附；坚持
viscous	 adj. 粘滞的，粘性的
coherent	 adj. （文章、观点等）连贯的，有条理的，一致的
album	 n. （收存照片或邮票的） 册子
glue	 v. 粘牢
cement	 v. 粘结
adhere	 v. 粘附；追随；坚持
strip	 n. 窄条，长带
grasshopper	 n. 蚱蜢，蝗虫，蚂蚱
wink	 v. 眨眼；使眼色
further	 v. 增进
multiplication	 n. 乘法；增加
liability	 n. 责任；债务
shipbuilding	 n. 造船（业），造船学
mint	 n. 造币厂；巨额钱财
hollow	 v. 凿空，挖空
hymn	 n. 赞美诗，圣歌；赞歌
glorify	 v. 赞美；颂扬（上帝）
fore	 adv. 在（或向）船头；在（或向）飞行器头部
therein	 adv. 在那里
overseas	 adv. 在海外，（向）国外
ashore	 adv. 在岸上，上岸
outside	 prep. 在…外，向…外
brand	 v. 在…上打烙印
alongside	 prep. 在…旁边
roam	 v. 在…漫步，漫游
over	 prep. 在（做）…时
reproduction	 n. 再生（产）；繁殖
specification	 n. 规格；明确说明，详述
disastrous	 adj. 灾难性的；悲惨的
operation	 n. 运算
freight	 n. 货运；运费
locomotive	 adj. 运动的；机动
lunar	 adj. 月亮的
undertake	 v. 从事；承诺
primitive	 adj. 远古的，未开化的
dome	 n. 圆屋顶，拱顶
cylinder	 n. 圆筒；柱（面）；汽缸
satisfactorily	 adv. 圆满地
nucleus	 n. 原子核，细胞核
prototype	 n. 原型；典型，范例
vowel	 n. 元音；元音字母
marshal	 n. 元帅；陆军元帅
