consistent	 adj. 一致的
battery	 n. 电池
competent	 adj. 能胜任的，有能力的
preserve	 v. 保存，保护
possession	 n. 拥有
proximately	 adv. 近似，接近
wildfire	 n. 野火
compact	 adj. 紧密的，紧凑的
defy	 v. 违背，违抗
absolutely	 adv. 当然
filter	 v. 过滤
server	 n. 服务器
spoil	 v. 溺爱
rustle	 v. 发出沙沙声
diversion	 n. 转移；娱乐
complaint	 n. 抱怨，投诉
merge	 v. 合并
priceless	 adj. 无价的，难以用价格衡量的
honorary	 adj. 荣誉的
chronic	 adj. 长期的；慢性的
extracurricular	 adj. 课外的
lobby	 n. 游说
inexhaustible	 adj. 用不完的，无穷无尽的
inevitable	 adj. 不可避免的
contamination	 n. 污染
suspend	 v. 暂停
imminent	 adj. 即将来临的
obesity	 n. 肥胖
aid	 v. 援助，有助于
solution	 n. 解决，解决方法；溶液
tuition	 n. 学费
esteem	 v. 尊重
purchase	 n. 购买
incorporate	 v. 合并
prevail	 v. 流行，普遍
irrational	 adj. 不合理的，不理性的
inherent	 adj. 固有的
overexcited	 adj. 过于激烈的
preference	 n. 偏爱
evolution	 n. 演变；发展；进化
exotic	 adj. 异域的，外国的
stockbroker	 n. 股票经理人
misinterpret	 v. 误解
prosperity	 n. 繁荣
tank	 n. 水箱
outdated	 adj. 过时的
outnumber	 v. 超过
supervisor	 n. 督导
fluctuate	 v. 波动
substance	 n. 物质
profitable	 adj. 有利可图的，有利益的
markedly	 adv. 显著地
ineffective	 adj. 无效的
bleak	 adj. 荒凉的
optimistic	 adj. 乐观的
ultimate	 adj. 最终的
consumption	 n. 消耗；消费
foster	 v. 促进；培养
receipt	 n. 发票
harsh	 adj. 严酷的，严峻的
misfortune	 n. 不幸；灾祸，灾难
citation	 n. 引文
rape	 n. 强奸
ecological	 adj. 生态学的
lag	 v. 落后
controversy	 n. 争议
cornerstone	 n. 基石
erect	 v. 建立
prematurely	 adv. 早熟地，过早地
initiative	 n. 主动性
dilute	 v. 稀释，冲淡
viewpoint	 n. 观点
typical	 adj. 典型的
stray	 n. 走失[流浪]的动物
imbalance	 n. 不平衡
affiliation	 n. 隶属关系，单位团体
counterpart	 n. 对等物
classify	 v. 分类
demonstration	 n. 展示；游行
outlive	 v. 比……活的时间长
reservation	 n. 预定
circumstance	 n. 情况，环境
revolutionize	 v. 革命化
outweigh	 v. 超过
cast	 v. 投掷，扔
uncertain	 adj. 不确定的
threat	 n. 威胁
conservative	 adj. 保守的
overestimate	 v. 高估
documentary	 n. 纪录片
relieve	 v. 减轻，缓解
regardless	 adv. 不管，不顾
pause	 n. 暂停，迟疑
launch	 v. 发布，推出
apartment	 n. 公寓
spark	 n. 火花
eliminate	 v. 消除
unintentionally	 adv. 无意地
opposition	 n. 反对
polar	 adj. 极地的
integral	 adj. 必需的，不可缺少的
guard	 v. 保护
branch	 n. 分支，分公司
affiliate	 v. 使隶属于
irrigation	 n. 灌溉
stove	 n. 炉子
memorable	 adj. 值得纪念的
elimination	 n. 消除，淘汰
revenue	 n. 收入
decisive	 adj. 决定性的
displace	 v. 取代
violation	 n. 违反
ideological	 adj. 意识形态的
neighborhood	 n. 附近
calorie	 n. 卡路里
fierce	 adj. 激烈的
mention	 v. 提及
extend	 v. 延伸；延期
column	 n. 专栏
analytical	 adj. 分析的
figure	 n. 数字
frighten	 v. 使害怕
preindustrial	 adj. 工业化以前的
furnish	 v. 提供
scarcity	 n. 缺乏
transform	 v. 转变
misled	 v. (mislead过去式)误导
intervene	 v. 干涉
vary	 v. 变化
bureaucracy	 n. 官僚主义
recruiter	 n. 招聘者
pattern	 n. 模式
necessity	 n. 必须，必要性
deny	 v. 否认
drift	 v. 漂流
endorsement	 n. 支持
dare	 v. 勇敢，敢于做
consultancy	 n. 咨询公司
constant	 adj. 不断的
deposit	 v. 存放 n. 存款
transmit	 v. 传播，传导
undermine	 v. 削弱
resign	 v. 辞职
respective	 adj. 各自的
consent	 n. 同意
reunion	 n. 团聚
premium	 n. 〔尤指每年缴付的〕保险费
interpretation	 n. 解释，理解
concrete	 adj. 具体的
facility	 n. 设施
convert	 v. 转换，改变
prompt	 v. 促使
weave	 v. 织布，编织
conformity	 n. 一致
inaction	 n. 不作为
trim	 v. 修剪
irony	 n. 讽刺
monopolize	 v. 垄断
workload	 n. 工作量
complicated	 adj. 复杂的
property	 n. 财产
underrepresented	 adj. 未被充分代表的
philosophy	 n. 哲学
regime	 n. 制度，管理体制
bizarre	 adj. 古怪的；奇怪的
ruin	 v. 毁坏
inspire	 v. 鼓励
deforestation	 n. 砍伐森林
exceptional	 adj. 例外的
hazard	 n. 危险
upgrade	 v. 升级
abnormally	 adv. 不正常地
accidentally	 adv. 偶然地，意外地
frontier	 n. 边境
considerable	 adj. 相当多的
legalize	 v. 合法化
dispensable	 adj. 可有可无的
certify	 v. 保证，证明
insurer	 n. 保险公司；承保人
overstate	 v. 夸张
profound	 adj. 深刻的；博学的
agony	 n. 痛苦
craft	 n. 手艺 v. 精巧地制作
obscurity	 n. 默默无闻
guarantee	 v. 保证
dolphin	 n. 海豚
severity	 n. 严重性
discourage	 v. 阻止；使气馁
fault	 n. 过失
robbery	 n. 抢劫
inanimate	 adj. 无生命的
calculation	 n. 计算
baffle	 v. 使迷惑，困惑
overcharge	 v. 多收钱
nap	 n. 小睡
disposal	 n. 处理；支配
authorities	 n. 当局
chronicle	 v. 记录
shade	 v. 为…遮阳[挡光]，遮蔽〔光线〕
milestone	 n. 里程碑
unstable	 adj. 不稳定的
strain	 n. 压力
municipal	 adj. 市政府的
ideologically	 adv. 意识形态上地
greedy	 adj. 贪婪的
robust	 adj. 强健的
diagnose	 v. 诊断
definite	 adj. 一定的，确切的
reserved	 adj. 保留意见的；矜持的
affection	 n. 喜爱
material	 n. 材料
conduct	 v. 进行，实行
association	 n. 联系
collide	 v. 撞击，碰撞
industrious	 adj. 勤奋的
fascinate	 v. 使着迷
prevalence	 n. 流行，普遍
exert	 v. 施加
minor	 adj. 次要的，小的
