boat	 n. 小船；轮船 v. 划船
group	 n. 组；团体 adj. 群的；团体的 v. 聚合
nineteen	 num. 十九
party	 n. 政党，党派；聚会，派对；当事人 [复数 parties] v. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]
marriage	 n. 结婚；婚姻生活；密切结合，合并
clean	 adj. 清洁的，干净的；清白的 v. 使干净 adv. 完全地 n. 打扫
bottle	 n. 瓶子；一瓶的容量 v. 控制；把…装入瓶中
tail	 n. 尾巴；踪迹；辫子；燕尾服 v. 尾随；装上尾巴 adj. 从后面而来的；尾部的
very	 adj. 恰好是，正是；甚至；十足的；特有的 adv. 非常，很；完全 n. (Very)人名；(英)维里
bag	 n. 袋；猎获物；（俚）一瓶啤酒 v. 猎获；把…装入袋中；占据，私吞；使膨大
Tuesday	 n. 星期二
cancel	 v. 取消；删去 n. 取消，撤销
map	 v. 映射；计划；绘制地图；确定基因在染色体中的位置 n. 地图；示意图；染色体图
grandparent	 n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
moon	 n. 月亮；月球；月光；卫星 v. 闲荡；出神
be	 v. 是； 有，存在； 做，成为； 发生 n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝
America	 n. 美洲（包括北美和南美洲）；美国
need	 n. 需要，要求；缺乏；必要之物 v. 需要
new	 adj. 新的，新鲜的；更新的；初见的 adv. 新近 n. (New)人名；(英)纽
stamp	 n. 邮票；印记；标志；跺脚 v. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
without	 prep. 没有；超过；在…外面 adv. 户外；在外面；没有或不显示某事物 n. 外部；外面
quick	 n. 核心；伤口的嫩肉 adj. 快的；迅速的，敏捷的；灵敏的 adv. 迅速地，快
joke	 n. 玩笑，笑话；笑柄 v. 开…的玩笑
table	 n. 桌子；表格；平地层 v. 制表；搁置；嵌合 adj. 桌子的
its	 pron. 它的 n. (Its)人名；(俄)伊茨
check	 v. 检查，核对；制止，抑制；在…上打勾 n. <美>支票；制止，抑制；检验，核对
giraffe	 n. 长颈鹿
picture	 n. 照片，图画；影片；景色；化身 v. 画；想像；描写
kiss	 v. 吻；（风等）轻拂 n. 吻；轻拂
several	 adj. 几个的；各自的 pron. 几个；数个
monitor	 n. 监视器；监听器；监控器；显示屏；班长 v. 监控
culture	 n. 文化，文明；修养；栽培 v. [细胞][微] 培养（等于cultivate）
taxi	 v. 乘出租车；滑行 n. 出租汽车
health	 n. 健康；卫生；保健；兴旺
dialogue	 n. 对话；意见交换 vi. 对话 vt. 用对话表达
recent	 adj. 最近的；近代的
ten	 num. 十个，十 n. (Ten)人名；(英)坦恩；(意)泰恩；(柬)登
blue	 n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌） adj. 蓝色的；沮丧的，忧郁的；下流的 v. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于
dark	 adj. 黑暗的，深色的；模糊的；无知的；忧郁的 n. 黑暗；夜；黄昏；模糊
order	 n. 命令；顺序；规则；[贸易] 定单 v. 命令；整理；定购
egg	 n. 蛋；卵子；家伙；鸡蛋 v. 煽动；怂恿
feeling	 n. 感觉，触觉；感情，情绪；同情 adj. 有感觉的；有同情心的；富于感情的 v. 感觉；认为（feel的现在分词）；触摸
at	 prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） abbr. 密封的（airtight）；气温（air temperature）
if	 conj. （表条件）如果；即使；是否；（表假设）假如 n. 条件；设想
piece	 n. 块；件；篇；硬币 v. 修补；接合；凑合
he	 n. 男孩，男人；它（雄性动物） pron. 他
direct	 adj. 直接的；直系的；亲身的；恰好的 v. 管理；指挥；导演；指向 adv. 直接地；正好；按直系关系
rat	 n. 鼠；卑鄙小人，叛徒 v. 捕鼠；背叛，告密
brother	 n. 兄弟；同事；战友 int. 我的老兄！
geography	 n. 地理；地形
advise	 v. 建议；劝告，忠告；通知；警告
print	 n. 印刷业；印花布；印刷字体；印章；印记 v. 印刷；打印；刊载；用印刷体写；在…印花样
festival	 n. 节日；庆祝，纪念活动；欢乐 adj. 节日的，喜庆的；快乐的
along	 adv. 一起；向前；来到 prep. 沿着；顺着
forest	 v. 植树于，使成为森林 n. 森林
apple	 n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。
salad	 n. 色拉；尤指莴苣
rabbit	 n. 兔子，野兔 v. 让…见鬼去吧
we	 pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人 n. (We)人名；(缅)韦
yours	 pron. 你（们）的东西；你的责任[义务]；你的家属；来信，尊函 adj. 你（们）的（东西）；信末署名前用语
shop	 n. 商店；店铺 v. 购物
theirs	 pron. 他们的；她们的；它们的
wet	 adj. [气象][物] 潮湿的；有雨的 n. 雨天；湿气 v. 弄湿
shout	 v. 呼喊；喊叫；大声说 n. 呼喊；呼叫
purse	 n. (女士)手提袋；(国家、家庭、团体等的) 财力 v. （嘴巴）皱起，使缩拢；撅嘴
modern	 adj. 现代的，近代的；时髦的 n. 现代人；有思想的人
express	 v. 表达；快递 adj. 明确的；迅速的；专门的 n. 快车，快递，专使；捷运公司
blackboard	 n. 黑板
servant	 n. 仆人，佣人；公务员；雇工
hobby	 n. 嗜好；业余爱好
winter	 n. 冬季；年岁；萧条期 v. 过冬 adj. 冬天的；越冬的
plant	 n. 工厂，车间；植物；设备；庄稼 v. 种植；培养；栽培；安置
huge	 adj. 巨大的；庞大的；无限的 n. (Huge)人名；(英)休奇
