crusade	 n.  十字军东征， 宗教战争
unavailable	 adj.  难以获得的； 不能利用的
forager	 n.  抢劫者； 强征队员
surgeon	 n.  外科医师
seismic	 adj.  地震的， 有关地震的
resemble	 v.  类似于， 像
halo	 v.  围以光环 n. 光环；
rupture	 n.  破裂， 断裂
tranquilizer	 n.  镇定剂
convection	 n.  对流
wreck	 n.  失事船只； 残骸
carcass	 n.  尸体； 畜体； 身躯
virgin	 adj.  处女的； 纯洁的 n. 圣女；
afflict	 v.  使痛苦， 折磨
constrict	 v.  收缩； 使狭窄
gloomy	 adj.  悲观的
fluctuate	 v.  涨落， 变化
customs	 n.  关税； 海关
calculate	 v.  计算； 估计； 推测
authorize	 v.  授权； 批准， 认可
minivan	 n.  小型货车
conceal	 v.  隐瞒； 隐藏
barracks	 n.  兵营
collinear	 adj.  在同一直线上的
narrative	 adj.  叙述的， 讲故事的； 导航
possess	 v.  具有， 拥有
coincide	 v.  巧合； 一致， 符合
neutral	 adj.  中立的
circular	 adj.  圆形的； 环绕的
devise	 v.  想出； 设计， 发明
apparent	 adj.  显然的， 明显的； 表面上的
marrow	 n.  骨髓， 精华
chronical	 adj.  长期的， 慢性的
triple	 v. 三倍于； n.  三个一组
startlingly	 adv.  令人吃惊地， 惊人地
cellular	 adj.  细胞的； 蜂窝状的
enlightened	 adj.  开明的， 进步的
inefficient	 adj.  效率低的； 无能的， 不称职的
statute	 n.  【律】 法令， 条例
placate	 v.  安抚
cardiac	 adj.  心脏的； 心脏病的
humble	 adj.  谦逊的； 地位 低下的
accessible	 adj.  易达到的； 易受影响的
commodity	 n.  商品
statistical	 adj.  统计的； 统计学的
landownership	 n.  土地所有权
authenticate	 v.  证明…是真的
independent	 adj. 独立的，单独的； n.  独立自主者； 无党派者
cliff	 n.  悬崖， 峭壁
concede	 v.  让步； 承认
unparalleled	 adj.  无比的， 空前的
plausible	 adj.  似是而非的， 貌似有理的
wreak	 v.  发泄； 引起
evaporate	 v.  蒸发； 消失
luminosity	 n.  光度， 发光度
resuscitation	 n.  复活； 恢复
fervent	 adj.  强烈的， 热烈的
commission	 v.  委托 n. 委员会；佣金；
flip	 v. 轻弹；按；蹦跳 adj.  无礼的； 冒失的； 轻率的
rational	 adj. 合理的，理性的； n.  有理数
rescind	 v.  废除
resume	 v. 重新开始，继续； n.  简历
editorial	 adj.  编辑的； 社论的 n. 社论；
sedimentary	 adj.  沉积的， 沉淀性的
glucose	 n.  葡萄糖
kernel	 n.  果仁； 核心
spiral	 adj. 螺旋形的； v. 盘旋上升； n.  螺旋
metabolize	 v.  使新陈代谢
helium	 n.  氦
excavate	 v.  挖掘， 掘出
halt	 v.  使停止 n. 停止，休息；
inhalation	 n.  吸入
subtle	 adj.  细微的
viscosity	 n.  黏性， 黏度
component	 n.  成分； 要素
overwhelm	 v.  淹没； 压倒； 不知所措
impartial	 adj.  不偏不倚的， 公正的
consultant	 n.  顾问； 咨询者
encephalitis	 n.  【医】 脑炎
unprecedented	 adj.  前所未有的， 史无前例的
stature	 n.  身高
poach	 v.  偷猎； 水煮
quarantine	 n.  隔离检疫期
illustration	 n.  说明； 例证； 图解
arch	 adj.  调皮的， 淘气的 n. 拱形；拱门；
wrap	 v.  包， 裹
novel	 adj.  新颖的； 新奇的 n. 小说；
prominence	 n.  突出物； 突出
reimburse	 v.  偿还
inaccessible	 adj.  难达到的， 难接近的， 难见到的
genial	 adj.  亲切的； 和蔼的
resolve	 v.  解决； 分解； 决心
landlocked	 adj.  为陆地所包围的
confront	 v.  面对； 面对挑战
obese	 adj.  肥胖的
dominate	 v.  支配； 在…占首要地位
imitate	 v.  模仿； 仿造
compute	 v.  计算； 估算； 推断
reproduce	 v.  繁殖； 复制
skeleton	 n.  骨架， 骨骼
institution	 n.   社会公共机构； 制度， 习俗
pad	 v.  填补 n. 便笺本；衬垫；
illiterate	 n.  文盲
homestead	 n.  宅地； 家园
delinquent	 adj.  拖欠的； 违法的 n. 行为不良的人；
intersection	 n.  交叉点； 【数】 交集
disperse	 v.  分散， 散布
implement	 v.  实施， 贯彻
cosmetic	 n.  化妆品
export	 v&n.  出口， 输出
inquisitive	 adj.  好奇的
erratic	 adj.  反复无常的； 古怪的
par	 n.  同等
incinerate	 v.  焚化； 毁弃
well-being	 n.  健康， 幸福； 福利
vicious	 adj.  邪恶的； 恶性的
deform	 v.  使变形
erode	 v.  侵蚀；  削弱， 损害
aviator	 n.  飞行家， 飞行员
enormous	 adj.  巨大的， 极大的
moisture	 n.  水分； 湿度
sulfuric	 adj.  硫磺的； 含多量硫磺的
sloth	 n.  树獭； 懒惰
sane	 adj.  健全的； 明智的
frustrate	 v.  挫败； 沮丧
external	 adj.  外面的， 表面的
sparse	 adj.  稀少的， 贫乏的
circumstance	 n.  环境； 事件
pragmatic	 adj.  实际的， 注重实效的； 实用主义的
revise	 v.  修订； 修改
treasury	 n.  [常the T~]财政部； 国库； 国库券 issued by the Treasury)
authority	 n. 权力；
methane	 n.  甲烷， 沼气
paramount	 adj.  最重要的， 决定性的
longitudinal	 adj.  长度的； 纵向的； 经线的
single-entry	 adj.  单式的； 单式记录的
legislature	 n.  立法机关， 立法团体
deleterious	 adj.  有害的
neural	 adj.  神经 的
semiconductor	 n.  半导体
provided	 conj.  假如， 倘若
inmate	 n.  居民， 同住者
clinging	 adj.  黏着的
instrument	 n.  仪器； 手段； 工具
medium	 adj. 〔大小、水平或数量〕中等的；中号的 n. 传播媒介〔如报纸、电视等〕 n. 灵媒，巫师，通灵的人
indispensable	 adj.  必不可少的
representation	 n.  代表
hormone	 n.  荷尔蒙； 激素
fatal	 adj.  致命的
disenfranchise	 v.  剥夺…的公民权
electro	 n.  电镀物品， 电版
outstrip	 v.  超过， 胜出
caffeine	 n.  咖啡因
elliptical	 adj.  椭圆形的
behavioral	 adj.  行为的
wrestle	 v.  摔跤； 搏斗； 深思
motivate	 v.  激发， 刺激
projection	 n.  预测； 规划
ridge	 n.  山脊， 岭
peat	 n.  泥煤
multiply	 v.  乘； 增加
pasture	 n.  牧场， 牧草
malpractice	 n.  治疗失当
engender	 v.  产生； 引起
hypothesize	 v.  假定， 假设
approval	 n.  批准； 认可； 赞成
raffle	 n.  抽奖
multiple	 n.  倍数
lucrative	 adj.  赚钱的； 有利可图的
peak	 adj. 最高的； v.  到达最高点 n. 顶点；
portrait	 n.  肖像； 相片
magnet	 n.  磁铁， 磁体
concentrate	 v.  聚集， 浓缩
versatile	 adj.  多才多艺的； 多用途的
explosion	 n.  爆炸， 爆发
acidity	 n.  酸度， 酸性
pastoral	 adj. 乡村的，农村的； n.  牧歌； 田园诗 dealing with shepherds or rural life)
complaint	 n.  抱怨， 诉苦； 疾病
automate	 v.  自动化
et al	 adv. 以及其他〔有关的〕人；等人
permit	 v.  允许， 许可 n.  通行证， 许可证
personnel	 n.  全体人员； 人事部门
biodegradable	 adj.  可由生物降解的
lamellar	 adj.  薄膜的； 薄层状的
indifference	 n.  冷漠， 不关心
porcelain	 n.  瓷； 瓷器
catalog	 v.  为…编目录 n. 商品目录；
focus	 v. 聚焦，集中； n.  震源， 震中
hamper	 v.  阻碍； 牵制
exterminate	 v.  消除， 消灭
smuggler	 n.  走私者
Puritan	 adj.  清教徒的 n. 清教徒；
pollinate	 v.  授粉， 传粉
rhinoceros	 n.   犀牛
implication	 n. 含义；
fierce	 adj.  残酷的； 凶猛的
precursor	 n.  先驱； 先兆； 前身
reservation	 n.  预订； 保存； 自然保护区
block	 v. 阻碍；堵塞； n.  街区
revive	 v.  复苏； 恢复
microcomputer	 n.  微型计算机
promotional	 adj.  促销的； 增进的
wage	 v. 发动； n.  工资
arid	 adj.  干旱的； 荒芜的
scurrilous	 adj.  粗俗的； 诽谤的
fiber	 n.  纤维
proceed	 v.  继续进行
psychopath	 n.  精神变态者
corporation	 n.  公司； 法人
dismiss	 v.  解散； 解雇
underlying	 adj.  在下面的； 根本的， 基础的
resonance	 n.  共振
turbulence	 n.  骚乱， 动荡
intelligence	 n.  智力； 情报
mutation	 n.  突变， 变异
fallow	 adj.  休耕的
install	 v.  安装， 安置
integration	 n.  集成； 综合
indication	 n.  指示； 迹象
foreseeable	 adj.  可预知的； 能预测的
microscopic	 adj.  极小的
bulk	 n.  主体， 绝大部分
vaccination	 n.  接种疫苗； 牛痘疤
ceramic	 adj.  陶的， 制陶的
renovation	 n.  整修； 革新
circuit	 n.  电路； 环道
locomotion	 n.  运动， 移位
gut	 v. 毁坏〔建筑物〕的内部〔尤指烧毁〕
foraging	 n.  觅食
restrict	 v.  限制； 约束
mandatory	 adj.  强制的， 命令的
caterpillar	 n.  毛虫
prevalence	 n.  流行； 普遍
scrap	 v. 扔弃； adj.  零碎的 n. 碎屑，废物；
conjunction	 n.  结合， 联合； 连接词
syndrome	 n.  综合症状
peer	 v.  凝视 n. 同等之人，同辈；
persecute	 v.  迫害
imperative	 adj.  必要的； 紧急的； 命令的
hitherto	 adv.  迄今， 到目前为止
succession	 n.  连续； 继位； 【生】 自然演替
accordingly	 adv.  因此； 相应地
consequence	 n.  结果； 重要； 推论
robust	 adj.  健壮的
linear	 adj.  线的； 直线的
occupational	 adj.  职业的； 占领的
reinvest	 v.  再授给； 再投资
peel	 v. 削…的皮； n.  皮
ballistic	 adj.  弹道的， 发射的
ascending	 adj.  上升的
reclaim	 v.  收回； 恢复
inconsistent	 adj.  不一致的， 矛盾的
denounce	 v.  公然抨击； 告发
verge	 n.  边缘
allergic	 adj.  过敏的； 对…讨厌的
framework	 n.  框架
milieu	 n.  环境
pivotal	 adj.  中枢的； 重要的
fundraise	 n.  募捐
microorganism	 n.  微生物
constraint	 n.  约束， 抑制
entity	 n.  实体； 统一体
chronicle	 n. 编年史，年代记 v. 将〔一系列事件〕载入编年史中，按时序记载
infect	 v.  感染； 使恶化
depletion	 n.  消耗， 损耗
prohibit	 v.  禁止； 阻止
frugal	 adj.  节约的， 节俭的
franchise	 n.  特权； 经销权
fuel	 v.  给…加燃料； 刺激； 推动 n. 燃料；
irreversible	 adj.  不可改变的
reign	 n.  统治
celestial	 adj.  天体的， 天空的
foresee	 v.  预见
associate	 adj. 联合的； v.  将人或事物联系起来 n.  合伙人
scrupulous	 adj.  谨慎的； 严格认真的
identical	 adj.  同一的； 相同的
plead	 v.  作为辩护或理由提出
buttress	 v.  支持 n. 扶壁；
kidney	 n.  肾脏
lactic	 adj.  乳的
lag	 v.  落后
glean	 v.  收集， 采集
automation	 n.  自动装置
ambitious	 adj.  有抱负的， 雄心勃勃的； 宏大的
centrality	 n.  中心性； 向心性
contemptuous	 adj.  轻蔑的， 傲慢的
charity	 n.  慈善； 慈善团体
coral	 n.  珊瑚； 珊瑚虫
academic	 adj. 学院的；学术的； n.  学者
function	 v. 运行；起作用； n.  职责； 作用； 功能
stationery	 n.  文具； 信纸  for writing or typing)
smokestack	 n.  烟囱
stock	 v.  储备 n. 股票；库存；
representative	 adj.  有代表性的， 典型的 n. 代表；
comparison	 n.  比较， 对照； 比喻
endothermic	 adj.  【动】 温血的， 恒温的
ritual	 adj.  仪式的 n. 仪式；
