daltonism	 n. [医]色盲(=color blindness)
orthopedics	 n. [医]整形外科, 整形术
sceptre	 n. 笏, 节杖, 王权(=scepter)
pericope	 n. (从书中选出的)章节, 选段
sphinx	 n. [希神]斯芬克斯(有翼的狮身女怪, 传说她常叫过路行人猜谜, 猜不出者即遭杀害)
paysage	 [法]乡村景色
morphemics	 [复]n. [用作单][语]语素学,词素学
covin	 n. ［古］欺诈
superfuse	 [罕]倾注, 浇盖
tar	 n. 煤油；焦油
gargoyle	 n. [建]怪兽状滴水嘴,(突出的)怪兽饰
switcheroo	 n. [俚]突然变化
jiltee	 [美]被遗弃的人
mimetism	 [生]拟态
triste	 adj. <法>悲哀的
trouvaille	 n. <法>意外收获
spartan	 adj. 简单的；朴素的；刻苦的
draconian	 adj. 严峻的；苛刻的
antediluvian	 adj. (《圣经》中所说的)大洪水前的, 上古的, 古风的
fatidic	 adj. (=prophetic)预言的, 预言性的
shopsoiled	 adj. 陈列[搁置]久了的，陈旧的
paleocrystic	 adj. (冰、海等)长期冻结的,古结晶的由古结晶冰组成的
benign	 adj. (病)良性的, (气候)良好的, 仁慈的, 和蔼的
felicitous	 adj. (措辞等)恰当的, 巧妙的, 极为适当的, 可喜的, 善于措词的, [罕]幸福的, 快乐的
effete	 adj. (动植物等)生产力已枯竭的, 衰老的, 疲惫的, 衰微的
livable	 adj. (房子,气候等)适于居住的, 可住的
thespian	 adj. (古希腊雅典诗人, 悲剧创始者)泰斯庇斯的, 悲剧的, 戏剧的, 悲剧性的
choppy	 adj. （海等）波浪起伏的, (指风)不断改变方向的
introspective	 adj. (好)内省的, (好)自省的, (好)反省的
impecunious	 adj. (经常)没有钱的, 身无分文的, 贫穷的
firsthand	 adj. (来源, 资料等)直接的, 直接得来的, 直接采购的
rubicund	 adj. (脸色, 肤色等)红润的, 透红的
briefless	 adj. (律师等)无人委托诉讼的
buccal	 adj. (面)颊的, 口的, 口腔的
knotty	 adj. (木材等)多结的, 多节的, 多瘤的, 棘手的, 困难多的
importunate	 adj. (人)缠扰不休的, 胡搅蛮缠的, (事务等)急切的, 讨厌的
gangling	 adj. (身体)瘦长的
taut	 adj. (绳子)拉紧的, 整洁的, 紧张的
puissant	 adj. (诗)强大的, 有势力的
gruff	 adj. (说话、态度等) 粗暴的, 生硬的, 脾气坏的, (声音)粗哑的
eidetic	 adj. (头脑中的印象)异常清晰的
epideictic	 adj. (文体、演讲等)意在表现词藻技巧的富于词藻的
marmoreal	 adj. (象)大理石的, 冰冷的
lengthy	 adj. (演说、文章等)冗长的, 过分的
laconic	 adj. (用词)简洁的, 简明的
lugubrious	 adj. （尤指故意装出来的）可怜的, 悲惨的, 悲哀的
agonal	 adj. (尤指临死时)痛苦的
sanitary	 adj. (有关)卫生的, (保持)清洁的, 清洁卫生的
kinetic	 adj. (运)动的, 动力(学)的
fickle	 adj. (在感情等方面)变幻无常的, 浮躁的, 薄情的
laborious	 adj. (指工作)艰苦的, 费力的, (指人)勤劳的
intrinsic	 adj. (指价值、性质)固有的, 内在的, 本质的
pungent	 adj. (指气味、味道)刺激性的, 辛辣的, 尖锐的, 苦痛的, 严厉的
inalienable	 adj. (指权利等)不能让与的, 不能剥夺的
lithe	 adj. (指人、身体)柔软的, 易弯的
thoroughbred	 adj. (指牲畜)纯种的、良种的, (指人)高尚的、受过良好教养的
opportune	 adj. (指时间)凑巧的、恰好的, (指行动或事件)及时、适宜的
saliferous	 adj. [地](岩层等)含盐的
seismic	 adj. [地]地震的
anurous	 adj. [动]无尾的
titanic	 adj. [化](含)钛的, 四价钛的
subcutaneous	 adj. [解] 皮下的, 皮下用的
vascular	 adj. [解][动]脉管的, 有脉管的, 血管的
terricolous	 adj. [生]陆生的
embryonic	 adj. [生]胚胎的, 开始的
photophilous	 adj. [生]喜光的,嗜光的,适光的
osseous	 adj. [生化]骨的, 骨质的
generic	 adj. [生物]属的, 类的, 一般的, 普通的, 非特殊的
glabrous	 adj. [生物]无毛的, 光洁的
antenatal	 adj. [医]出生前的
allergic	 adj. [医]过敏的, 患过敏症的
rickety	 adj. [医]患佝偻病的, 驼背的, 摇摆的
