cancel	 vt.  取消
prepare	 v.  准备； 配制
govern	 v.  统治； 管理
surgeon	 n.  外科医生
analyse	 vt.  分析； 研究
abrupt	 adj.  突然的， 意外的
resemble	 vt.  像， 类似
discourage	 vt.  使气馁， 打消
hall	 n.  大厅， 礼堂； 门厅， 过道
pollution	 n.  污染
remote	 adj.  遥远的
explanation	 n.  解释， 说明
cafeteria	 n.  自助餐厅
salary	 n.  工资， 薪水
pretend	 v.  假装， 装作
youth	 n.  青春； 青年
without	 prep.  没有， 不
drunk	 adj.  醉的
would	 modal verb. 将，将会〔表示想做某事或认为某事会发生〕
pick	 v.  拾起， 采集； 挑选
customs	 n.  海关； 关税
calculate	 v.  计算， 核算
energy	 n.  精力； 能量
audience	 n.  观众， 听众
solid	 adj. 结实的，固体的 n.  固体
thus	 adv.  这样； 因而
meanwhile	 adv.  同时
sniff	 v.  用力吸； 嗅， 闻
possess	 vt.  占有， 拥有
require	 vt.  需求； 要求
optional	 adj.  可选择的； 随意的
scratch	 v. 抓，划破；乱涂 n.  乱写； 抓痕
analysis	 n.  分析； 解析
click	 v. 点击；发出滴答声 n.  滴答声
apparent	 adj.  明显的， 清楚的
journalist	 n.  记者， 新闻工作者
left	 adv. 向左边，在左边 adj. 左边的 n.  左， 左边
dawn	 n.  黎明， 拂晓
sideways	 adj.  斜向一边的
object	 v.  反对 n.  物体； 目标； 宾语
harbour	 n.  港口
chapter	 n.  章
accessible	 adj.  可使用的； 可进入的； 易接近的
flight	 n.  飞行； 航班； 楼梯的一段
hang	 v.   悬挂； 装饰； 绞死
role	 n.  [Ｃ] 角色； 作用
independent	 adj.  独立的， 有主见的
carriage	 n.  四轮马车；  客车厢
defence	 n.  防御； 防护； 辩护
achieve	 vt.  达到， 取得
ahead	 adv.  在前， 向前
anybody	 pron.  任何人， 无论谁
roll	 v. 滚动,打滚 n.  面包圈； 卷状物
turn	 v. 旋转；转变；转弯 n.  轮流
elect	 vt.   选举
example	 n.  例子， 范例
result	 n.  结果， 效果
same	 adj.  同样的， 同一的 n. 同样的事
selfish	 adj.  自私的
after	 prep&conj&adv.  在…之后， 后来
headline	 n. 标题；
connect	 vt.  连接， 把…联系起来
hand	 n. 手；指针 vt.  交付； 传递
merciful	 adj.  仁慈的； 宽大的
rebuild	 vt.  重建
sharpen	 v.   变锐利， 削尖
committee	 n.  委员会
address	 n.  地址
union	 n.  联合， 联盟
straight	 adj&adv.  直的
wipe	 vt.  擦； 扫
sale	 n.  卖， 出售
component	 n.  成分； 零部件
suite	 n.  套， 组； 套间
consultant	 n.  顾问； 会诊医师
outdoors	 adv. 户外的，野外的 n.  户外
throw	 v.   投， 掷， 扔
obvious	 adj.  明显的， 显而易见的
arch	 n.  拱门； 拱形
discuss	 v.  讨论， 议论
standard	 adj.  标准的 n. 标准，规格
violent	 adj.  暴力的； 猛烈的
harmony	 n.  协调， 融洽
correct	 adj.  正确的， 对的； 恰当的 vt. 改正；纠正
empty	 adj.  空的 vt. 倒空
wish	 n&v.  祝愿； 想要
institution	 n.  公共机构； 协会
tie	 v. 系，拴，扎 n.  关系； 领带； 绳子， 结
wise	 adj.  聪明的， 明智的
ambition	 n.  雄心， 野心
tin	 n.  罐头
enlarge	 v.  扩大， 放大
besides	 adv.  此外； 再说 prep. 除…以外
serious	 adj.  严肃的， 严重的； 认真的
tip	 vt. 告诫，提示；给小费 n.  顶端； 小费； 提示
export	 vi.  出口 vt. 输出 n.  出口
conversation	 n.  谈话， 交谈
laugh	 vi.  笑， 大笑 n. 笑，大笑，笑声；嘲笑
murder	 n&v.  谋杀
fantasy	 n.  幻想， 白日梦
pay	 v. 付钱，给…报酬 n.  工资
check	 v. 核对；检查；批改 n.  检查； 批改
list	 n. 一览表，清单 vt.  列表
strange	 adj.  奇怪的， 奇特的； 陌生的
lack	 n&v.  缺乏， 缺少
toast	 vt. 向…敬酒；烘，烤 n.  烤面包， 吐司； 祝酒， 祝酒词
aside	 adv.  在旁边
circumstance	 n.  环境； 情况
success	 n.  成功， 成就； 成功的人
brunch	 n.  早午饭
authority	 n.  权威； 当局
creature	 n.  生物； 动物
outgoing	 adj.  好交际的， 外向的； 即将离职的
tasteless	 adj.  无滋味的
harm	 n&vt.  伤害， 损伤
instrument	 n.  乐器； 工具， 器械
medium	 adj. 中间的，中等的 n.   媒介
remove	 vt.  移动， 拿走； 去除
wisdom	 n.  智慧
starvation	 n.  饥饿； 饿死
nowhere	 adv.  任何地方都不； 无处
psychology	 n.  心理学
wrestle	 v.  摔跤， 格斗； 斟酌
treasure	 n.  金银财宝， 财富
multiply	 v.    相乘； 增加
live	 vi. 生活，居住 adj.  活的； 直播的 vt. 过着，经历
approval	 n.  赞成； 认可； 批准
victory	 n.  [C] 胜利
mobile	 adj.  活动的， 可移动的
perform	 v.  表演， 表现； 履行
evolution	 n.  进展， 演变， 进化
expose	 vt.  暴露； 揭露
concentrate	 v.  集中， 聚集
cheer	 n&v.  欢呼， 喝彩
