abandon	 v. 离弃；放弃
abbreviation	 n. 缩略语
abnormal	 adj. 反常的；变态的
abolish	 v. 废除
aboriginal	 n&a. 土著(的)；土生动植物(的)
abort	 v. 取消；流产
abortion	 n. 流产；(计划)失败
abound	 v. 多；富于
abrasion	 n. 磨损，擦伤处
abridge	 v. (书等)删节
abrupt	 adj. 突然的，粗暴的
absorb	 v. 吸收；吸引
abstract	 adj. 抽象的 n. (书籍、演说等的)摘要
absurd	 adj. 可笑的，荒谬的
abundance	 n. 丰富
abuse	 n&vt. 滥用；恶习；辱骂
academic	 adj. 学术的；学校的
accelerate	 v. 加速，变快
access	 n. 通路
accessory	 n. 同谋者；附件
air	 n. 空气
airing	 n. 通风；讨论
aisle	 n. 通道
alarm	 n. 警报，惊慌 v. 使忧虑
album	 n. 集邮册；相片册
alien	 n&a. 外侨；外国人的；不相容的
alienate	 v. 离间，使疏远
all	 adv. 完全地 pron. 全部，全体
apparent	 adj. 明显的，表面上的
appeal	 vi&n. 呼吁，上诉；吸引(力)
appendix	 n. 附录；阑尾
appetite	 n. 食欲
applaud	 v. 鼓掌欢迎；赞成
appliance	 n. 用具，设备，装置
applicant	 n. 请求者，申请者
apply	 v. 要求，申请
appointment	 n. 职位；约会
appraisal	 n. 估价，评价；鉴定
appreciable	 adj. 可见的；明显的
appreciate	 v. 欣赏，感激；涨价
apprehension	 n. 理解；忧虑
apprentice	 n. 学徒 v. 使当学徒
approach	 v. 接近，着手处理 n. 接近；方法；途径
appropriate	 adj. 合适的
approval	 n. 允许，赞同；批准
approximate	 adj. 近似的，约略的 v. 接近，近似
apt	 adj. 聪明的；合适的；易于的
aptitude	 n. 才能；能力
attractive	 adj. 有吸引力的，讨人喜欢的
attribute	 v. 归因于 n. 属性；象征；标志
auction	 n&vt. 拍卖
audible	 adj. 听得见的
audience	 n. 听众，读者；接见
audit	 n&vt. 审计；查账
audition	 n. 试听；试演；面试
auditorium	 n. 会堂；礼堂
augment	 v. 增大，增加
aupair	 adj. 国外来的(姑娘)帮助料理家务换取住宿的
authentic	 adj. 真实的，可靠的
authoritative	 adj. 有权威的；命令的；可靠的
authority	 n. 威信；当局；权威；权力
authorize	 v. 授权
automatic	 adj. 自动的，无意识的 n. 小型自动武器
automation	 n. 自动化，自动操作
automobile	 n. 汽车
autonomy	 n. 自治，自治权
auxiliary	 adj. 辅助的，协助的
avail	 v. 有益于，有用 n. 用处，利益
available	 adj. 可获得的，可用的
censor	 n&vt. 审查，审查员；删改
census	 n. 人口调查
centenary	 a&n. 百年的；百年纪念
ceramic	 adj. 陶瓷的；陶器的
cereal	 n. 各类粮食
ceremony	 n. 典礼，仪式；礼节
certainty	 n. 必然的事，必然，确实，肯定
certificate	 n. 证书，执照
certify	 v. (发给证书)证明
challenge	 n&v. 挑战；提出异议
chamber	 n. 房间；议院；贸易团体；弹膛
champagne	 n. 香槟酒
champion	 n. 战士；拥护者；冠军 v. 支持，拥护；保卫
chant	 n. 圣歌，赞美诗 v. 唱，歌颂
chaos	 n. 混乱，纷乱
chapel	 n. 小教堂；殡仪馆
characteristic	 a&n. 特有的，表示特征的；特性
characterize	 v. 表示的特征
charge	 v. 指控；控告；冲锋；要价；充电
charity	 n. 赈济款、物；慈善团体；博爱
charm	 n&v. 吸引力，可爱之处，迷人；行魔法
clumsy	 adj. 笨拙的；愚笨的
cluster	 n. 一串，一簇 v. 群集；丛生
clutch	 v. 抓住，攫住 n. 抓，控制；离合器，攫
coach	 v. 辅导，训练 n. 长途汽车；教师；教练
coalition	 n. 结合，联盟，联合
coarse	 adj. 粗(糙)的; 粗俗的
cocaine	 n. 可卡因，古柯碱
code	 n. 规则；代号；密码 vt. 把译成密码
coed	 n. 男女同校的学生
coeducation	 n. 男女同校
coerce	 v. 强迫，迫使
cognitive	 adj. 认识的
coherent	 adj. 黏着的；连贯的
coil	 n. 一卷；一圈 v. 盘绕，缠绕
coin	 n. 硬币，铸币 v. 铸造，创造
coincide	 v. 恰好相合，时间巧合；意见一致
coincidence	 n. 巧合，符合，巧合的事例
collaboration	 n. 协作，合作
collapse	 v&n. 倒塌；(精神)垮下来
collide	 v. 猛冲，冲突，抵触
collision	 n. 碰，幢;冲突
compliance	 n. 遵守，依从
complicated	 adj. 结构复杂的；困难的
complication	 n. 结构复杂，麻烦
compliment	 n. 敬意，赞扬；问候 v. 恭维；称赞
comply	 v. 遵守，照做
component	 n. 组成部分；零件
compose	 v. 组成，构成；创作；排字；使安静
composite	 adj. 合成的，复合的
compound	 n&a. 混合物(的)，复合词(的)；院子(的)
compress	 v. 使语言精炼，压缩
comprise	 n. (止血用)敷布
compromise	 n. 妥协，折衷 v. 妥协；使遭受危害
compulsory	 adj. 义务的；强制的
compute	 v. 计算，估计
conceal	 v. 隐藏，隐蔽
concede	 v. 承认; 给予
conceive	 v. 想出(主意)；怀孕
concentrate	 v. 集中，全神贯注于；浓缩 n. 浓缩物
conception	 n. 概念的形成，概念，想法；怀孕
concern	 "n. 所关切的事；企业；关心v影响,涉及,关心 n. "
concerted	 adj. 商定的，一致的
contemplate	 v. 仔细考虑；注视；打算；预计
contemporary	 adj. 同时代的，当代的 n. 同龄人，同时代的人
contempt	 n. 轻蔑；不尊敬，轻视
contend	 v. 斗争，竞争，争论
content	 n&a&vt. 满意(的)，满足(的)；使满意(足)
contention	 n. 竞争，斗争；争论
contest	 v. 争论，争义，斗争 n. 争夺，竞争；比赛
context	 n. 上下文，(事情)来龙去脉
contingency	 n. 偶然，偶然事件
continuity	 n. 继续性
contract	 n. 合同，契约 v. 缔结；负债；感染；使皱缩
contradict	 v. 反驳，否认，同矛盾
contradiction	 n. 矛盾，对立
contrast	 v. 使对比，形成对照 n. 明显的差别
contribute	 v. 贡献；促成；投稿
contribution	 n. 贡献; 捐献
contrive	 v. 发明; 设计; 设法；造成
controversy	 n. 论战
controversial	 adj. 引起争论的
convene	 v. 召集，召唤，集合
convenience	 n. 便利，方便的设施
crooked	 adj. 弯曲的，欺诈的
crouch	 vi&n. 蹲伏
crown	 n. 王冠，王权；顶部 v. 为加冕；褒奖
crucial	 adj. 决定性的；紧要关头的
crude	 adj. 天然的，粗鲁的，粗制的
cruise	 v. 巡航；以节省燃料的速度前进 n. 乘船巡游
crumb	 n. 面包屑；一点点
crumble	 v. 弄碎，灭亡，消失
crumple	 "v. 把弄皱, v. 满是皱痕；压碎；崩溃"
crush	 v. 压碎，压坏，弄皱，压垮；挤入
crust	 n. 面包、饼皮；硬外皮；屯饪
crystal	 n. 水晶，水晶饰品，结晶体；最好的玻璃器皿
cube	 n. 立方(体)
cucumber	 n. 黄瓜
cue	 n. 提示，暗示
culminate	 v. 使达高潮，使结束
cultivate	 v. 耕作; 培养
culture	 n. 人类能力的高度发展，文化，教养，文明
cumbersome	 adj. 笨重的，不便携带的
cumulative	 adj. 累积的，累加的
deduct	 v. 扣除，减去
deem	 v. 认为，视为
default	 vi&n. 拖欠，违约；不出庭
defeat	 vt&n. 打败，战胜
defect	 n. 缺点，欠缺 v. 背叛 n. 逃跑 n. 开小差
defence	 n. 防卫 防护 防御物 辩护 被告律师
defendant	 n. 被告 adj. 处于被告地位的
defer	 v. 推迟，延期
defiance	 n. 挑战，挑衅；违抗；蔑视
deficiency	 n. 缺乏，不足，不足之数
deficit	 n. 空额，赤字
defile	 v. 弄脏，污损
definite	 adj. 确切的，明确的
definitive	 adj. 决定的，明确的；最后的
deflate	 v. 使(轮胎)瘪下去 降低重要性
deflect	 v. 偏斜
