sensible	 adj. 可感觉的；明智的
sign	 n. 记号；标志；征兆 v. 签名
as	 prep. 与...形成对照
explicit	 adj. 清楚的，明确的
wreck	 n. 破坏，船舶失事；失事船只
ravage	 vt&vi. 毁坏，蹂躏；抢劫，掠夺
wreathe	 vt&vi. 覆盖，包围
impede	 v. 妨碍；阻碍
thesis	 n. (学位)论文
precedent	 n. 先例，前例
lofty	 adj. 极高的，高尚的，高傲的
fridge	 n. 冰箱
immune	 adj. 免除的；安全的，不受影响的
scratch	 v. 抓；搔，挖 n. 抓痕，擦伤
circulate	 v. 循环，流通
nitrogen	 n. [化]氮
alone	 a&ad. 孤独的(地)
sieve	 n. (细)筛，过滤网
spiral	 adj. 螺旋形的
mercenary	 adj. 唯利是图的，为钱的
mechanism	 n. 机械装置；机构；机制
integrate	 v. 使一体化，取消种族隔离
earnest	 adj. 认真的，坚决的
adolescence	 n. 青春，青春期
grave	 adj. 严重的 n. 墓
intrigue	 v. 用诡计取得；激起的兴趣 n. 阴谋
claim	 n. 要求；款项；要求权；要求之物 v. 宣称
opt	 v. 挑选，选择
stipulate	 v. 规定，约定
eradicate	 v. 根除；消除
delirium	 n. 神智昏迷，说胡话；极度兴奋
pole	 n. 极
herd	 n. 兽群，牧口群，牧人 v. 把赶到一起
stitch	 n. 缝纫；缝线；(肋部)突然剧痛
slag	 n. 矿渣，炉渣，熔渣
consolidate	 v. 巩固; 加强；把. 合为一体
civic	 adj. 城市的；市民的
clash	 v&n. 金属碰撞声；互碰；时间冲突；抵触
distract	 v. 分散(注意力等)
strap	 n. 皮带，带 v. 用带束住；捆扎
format	 n. 格式，版式；形式，方式
company	 n. 伴随；人群；同伴；公司
trench	 n. 地沟
vain	 adj. 徒劳的，无效果的；自负的；不尊敬的
exempt	 vt&a. 免除，被豁免的
mask	 n. 面具；口罩 v. 遮蔽，伪装
dwell	 v. 居住；详述
misgiving	 n. 怀疑，疑虑
vex	 v. 使烦恼，使苦恼
fare	 n. 车(船)费
external	 adj. 外面的，外部的
sue	 vt&vi. 控诉，控告；请求
haphazard	 a&ad. 杂乱的(地)，任意的(地)
allot	 v. 分配；拨给 n. 部分；小块菜地
psychiatry	 n. 精神病学
out	 adv. of adv. line with跟. 不一致
posture	 n. 姿势，姿态；态度
recycle	 v. 使再循环；回收利用
expose	 v. 揭发, 使暴露，使曝光"
perception	 n. 感觉；知觉
paranoia	 n. 偏执狂；妄想狂
alongside	 ad&prep. 在旁，靠近
canteen	 n. 食堂；小卖部；餐具箱；水壶
supreme	 adj. 最高的；最大的，最重要的
reasonable	 adj. 明智的；合理的；公平的
naught	 n. =naught无，零
unfold	 vt&vi. 展开，打开
cushion	 n. 垫子，坐垫，垫状物 v. 装垫子；缓冲
mimic	 adj. 假装的，模仿的，草拟的
vicinity	 n. 邻近，附近
toss	 v&n. 扔，掷；摇摆
refine	 v. 精炼，提纯；使文雅
shred	 n. 碎片；最少量 v. 撕碎
disperse	 v. (使)散开，使疏开，使分散
edition	 n. 版本，版次
fetter	 n&vt. 脚镣; 束缚
renaissance	 n. 文艺复兴；复兴，勃发
proceeding	 n. 程序，进程；活动，诉讼
abridge	 v. (书等)删节
dome	 n. 圆屋顶
reckon	 v. 计算
rarely	 adv. 非常地，难得
rural	 adj. 农村的
imitation	 n. 模仿，仿造，仿制品，人造
steward	 n. 乘务员，服务员，组织者
abound	 v. 多；富于
colonial	 adj. 殖民地的，关于殖民的 n. 殖民地居民
immense	 adj. 广大的，巨大的
placard	 n. 招贴，布告
client	 n. 律师等的当事人，委托人；商店的顾客
flavour	 n&vt. 味，风味，调味，特点
exchange	 v&n. 交换；兑换
pamphlet	 n. 小册子
module	 n. 量度单位；建筑用的标准部件
gentle	 adj. 文雅的；有礼貌的
annoy	 v. 使烦恼，使生气
luminous	 adj. 发光的；发亮的
exclaim	 v. 呼叫，惊叫
pertinent	 adj. 贴切的，中肯的
certify	 v. (发给证书)证明
revenue	 n. (国家的)年收入；税收
insurance	 n. 保险
authority	 n. 威信；当局；权威；权力
endorse	 v. 背书，签署(姓名)，赞同
wrap	 vt&vi. 包裹
lenient	 adj. 宽大的，宽厚的
pompous	 adj. 自负的，夸大的
decorate	 v. 装饰；油漆；授勋
infinite	 adj. 无限的，无穷的
perplex	 v. 迷惑，困惑
snatch	 vt&vi. 抢夺，迅速获得
sweep	 n. 扫，扫除；连绵区域 v. 扫除；掠过；连绵
odor	 n. 气味，香气；臭气
rip	 v&n. 撕裂，撕开；扯破
livestock	 n. 家畜，牲畜
unlikely	 adj. 未必的，不大可能的
signature	 n. 签名
grieve	 v. (使)悲痛，(使)伤心
dizzy	 adj. 使人头晕的，眩晕的
ancestor	 n. 祖先
vanish	 v. 消失
gallery	 n. 画廊，美术品陈列室；剧场顶层
manual	 adj. 手工的，用手的 n. 手册；便览
whereas	 conj. 鉴于；反之
glare	 n&v. 眩目地照射，闪耀，瞪视
fret	 v&n. 烦恼，侵蚀
admission	 n. 准入，接纳，承认
criminal	 n. 罪犯 adj. 犯罪的，刑事上的
drastic	 adj. 激烈的，猛烈的
lucid	 adj. 清楚的，易懂的，神智清醒的
simultaneous	 adj. 同时发生的
static	 adj. 静止的，固定的 n. 静电干扰
redundant	 adj. 多余的，过剩的
be	 auxiliary verb. at auxiliary verb. odds auxiliary verb. with sb与. 有争执
elite	 n&a. 社会精华(的)，高贵者(的)
economic	 adj. 经济的；经济学的，便宜的
destine	 v. 命中注定；预定
janitor	 n. 看门人，管门人
thermometer	 n. 温度计
advertise	 v. 做广告
commence	 v. 开始
project	 n. 方案，计划 v. 设计；投影；抛
retail	 n&v. 零售，零卖
rear	 n. 后部，后面 vt&vi. 培植，饲养
vital	 adj. 生命的；必需的；极期重要的
mission	 n. 代表团；使命
paralyse	 v. 使麻痹，使瘫痪
massive	 adj. 巨大的
glacier	 n. 冰河，冰川
oxide	 n. [化]氧化物2003-2-23 16:18:00举报帖子
occur	 v. 发生；想起，想到；存在
carry	 v. 传送，运送；带有；支持；赞同
loan	 n. 借出物，贷款；借出 v. 借
overlook	 v. 俯视；忽略；宽恕
periscope	 n. 潜望镜
typical	 adj. 典型的
priority	 adj. 优先权
weave	 vt&vi. 织，编；编排；迂回
overt	 adj. 公开的，明显的，公然的
flank	 n&vi. 胁，侧翼，包抄的侧翼
overcome	 v. 克服；压倒
alter	 v. 改变，改做
interval	 n. 间隔的时间，间隔；间歇
sheer	 adj. 全然的，绝对的
slight	 adj. 细长的，轻微的 v. 轻视，怠慢
simulate	 v. 假装；模拟
convenience	 n. 便利，方便的设施
electronic	 adj. 电子的，用电子操纵的
verbal	 adj. 言语的，字句的；口头的
mildew	 n&v. 霉，发霉
disposition	 n. 性情，气质；布置；配置
marvel	 n. 令人惊奇的事；创造奇迹
freight	 n. 运货，货物 v. 运输
tease	 v. 取笑，嘲笑；戏弄
intermittent	 adj. 间歇的，断断续续的
tame	 adj. 驯服了的；(人)顺从的，听话的
sluggish	 adj. 不活泼的，呆滞的
fulfil	 v. 完成，履行
compass	 n. 指南针；圆规；界限
paternity	 n. 父系，父系后裔
ferocious	 adj. 凶猛的，凶残的
intense	 adj. 强烈的，剧烈的，热情的
humidity	 n. 湿气，空气湿度
elaborate	 adj. 复杂的；详尽的 v. 做详细说明
underlying	 adj. 含蓄的，潜在的；在下面的
endow	 v. 捐款，资助
anticipate	 v. 占先，预先处理；预料
offshore	 a&ad. 离岸的(地)；近海的(地)
detriment	 n. 损害，损伤
nourishment	 n. 食物
lick	 n&vt. 舔；(火焰)卷过；(波浪)轻拍
marsh	 n. 沼泽，湿地
perspire	 v. 出汗，流汗
gauge	 "n. 标准尺寸,(铁道)轨矩;雨量器；(电线)直径 "
explode	 v. (使)爆炸，爆发
fringe	 n. 缘饰，毛边，边缘，刘海 v. 装上缘饰
fascinating	 adj. 迷人的
uneasy	 adj. 不自在的
expedition	 n. 远征，探险(队)，考察(队)
organism	 n. 生物；有机体；有机的组织
swallow	 v. 吞，咽
spare	 adj. 空闲的；剩余的 n. 备用件
means	 n. 方法，手段，金钱，财富
proportion	 n. 比率，比例；大小，容积
microfilm	 n. 微缩胶片
obscene	 adj. (文学，图画)猥亵的，淫秽的
meek	 adj. 温顺的，谦逊的
herb	 n. 草本植物;药草
mansion	 n. 大厦，官邸
minute	 n. 分，备忘录 adj. 微小的，细致的
outcry	 n. 公开反对
preface	 n&v. 序言；为加序
sediment	 n. 沉积物，沉淀
resign	 v. 放弃；辞去
torch	 n. 火把；手电筒
deteriorate	 v. 恶化，败坏
degenerate	 n&a. 堕落(的)，颓废(的)
characterize	 v. 表示的特征
parade	 v. 阅兵整队；列队行进，游行；夸耀；炫示
let	 v. 允许，让，出租
swing	 vt&vi. 摆动，摇动；旋转，转向
incongruous	 adj. 不适宜的
inventory	 n. 详细目录，存货清单；存货盘存
choir	 n. (教会的)歌唱队，唱诗班
hatch	 v. 孵出，策划
demonstrate	 v. 论证，证明；示威
conversion	 n. 变换，转化，改变；兑换
dearth	 n. 缺乏，供应不足
profane	 adj. 亵神的，亵渎的 v. 亵渎，玷污
cluster	 n. 一串，一簇 v. 群集；丛生
revolt	 v&n. 反抗；厌恶
secular	 adj. 现世的，世俗的；非宗教的
agenda	 n. 议事日程
loop	 n. 环状物，绳圈，环 v. 绕成圈
conscientious	 adj. 认真的，诚心诚意的
revenge	 v. 报复，报仇
friction	 n. 摩擦，不和，倾轧
diversion	 n. 转向；水遣；改道
check	 v&n. 检查，核对，控制
proceed	 v. 进行；着手
chase	 v&n. 追逐，追赶
plea	 n. (法律)抗辩；请求，恳求，托词，口实
mobilize	 vt&vi. 动员
yearn	 v. 想念，渴望
personnel	 n. 职员，人员，人事
vice	 n. 罪恶；不道德行为
paddle	 n. 短桨 vt&vi. 用桨划动
clutch	 v. 抓住，攫住 n. 抓，控制；离合器，攫
pedestrian	 n&a. 行人(的)
graphic	 adj. 图解的；书写的；生动的
mercantile	 adj. 商业的；贸易的
console	 n. 控制台，仪表板；落地柜 v. 安慰，慰问
tremendous	 adj. 巨大的，极大的；非常的，极好的
decrease	 v&n. 减少，减少，减少量
performance	 n. 执行；成绩；演出
attempt	 vt&n. 尝试，企图
naked	 adj. 裸体的；无遮蔽的
female	 n&a. 女性(的)，[语]阴性(的)
raid	 v&n. 袭击
miserable	 adj. 悲惨的，使人难受的
innocent	 adj. 无罪的，无害的，天真的 n. 天真无邪的人
stack	 n. 堆；大量；书库
humble	 adj. 谦卑的，恭顺的，简陋的 v. 使卑下，贬抑
shamble	 v. 蹒跚，拖沓
ribbon	 n. 缎带，丝带，带状物
tyrannical	 adj. 暴君的，专制的
aerial	 adj. 空气的；空中的 (无线电)天线
astronomy	 n. 天文学
segment	 n. 切片，部分；段，节
downtown	 a&ad. 在城市的商业区
defraud	 v. 欺骗，欺诈
improvise	 v. 即席创作，临时凑成
oppress	 v. 压迫，压制；压抑
flabby	 adj. (肌肉)不结实的；软弱的
essay	 n. 文章，小品文，随笔
racket	 n. 吵闹声；球拍
flaw	 n. 缺点，瑕疵
nominate	 v. 提名
syllabus	 n. 教学大纲
stiff	 adj. 坚硬的；费劲的；不易弯的
toxic	 adj. 有毒的，中毒的
rampant	 adj. (指植物)繁茂的；蔓生的；不能控制的
propulsion	 n. 推进，推进力
telling	 adj. 有效的；有力的
throughout	 prep. 遍及
highlight	 n. 光线最强处，最突出部分
devise	 v. 设计，想出
wield	 v. 使用，行使
enormous	 adj. 巨大的，庞大的
fade	 v. (使)褪色，逐渐消失
exhilarate	 v. 使振奋，使高兴
slum	 n. 平民窟; 陋巷
peer	 n. 同等；同辈 v. 凝视
slogan	 n. 标语，口号
transaction	 n. 办理，处理；执行；事务，事项，交易
incorporate	 v. 结合，合并，组成公司
discard	 v. 抛弃，遗弃
grope	 v. 暗中摸索
triple	 adj. 三部分合成的，三方的 vt&vi. 增至三倍
variety	 n. 多样化；种；变种；综艺演出
detrimental	 adj. 有害的，不利的
hitherto	 adv. 到目前为止，迄今
indispensable	 adj. 必不可少的，必需的
porcelain	 n. 瓷器
mania	 n. 疯狂；躁狂症，狂热，癖好
neurosis	 n. 神经官能病，精神性神经病
dot	 n. 小点，小圆点 v. 加上小点，散布于，点缀
utterly	 adv. 完全地，十足地
evaporate	 v. 使蒸发，使脱水，消失
quest	 n. 寻找，追求
coarse	 adj. 粗(糙)的; 粗俗的
resume	 v. 重新开始；继续；重新占用
integrity	 n. 诚实，正直
contention	 n. 竞争，斗争；争论
universal	 adj. 全体的，普遍的；全球的
opponent	 n. 对手，敌手，反对者
solar	 adj. 太阳的
consist	 v. 组成; 存在
reptile	 n. 爬行动物；爬虫
headstrong	 adj. 任性的；顽固的
complicated	 adj. 结构复杂的；困难的
deprive	 v. 剥夺，使丧失
helicopter	 n. 直升飞机
grief	 n. 悲伤，悲痛
commission	 n. 委任；佣金；军事任职；考察团 v. 委任
rehabilitate	 v. 恢复地位；使残疾者恢复正常的生活
sheet	 n. 被单；薄板
port	 n. 港口，舱门，舱口；(船、飞机)左舷
outline	 n. 外形，轮廓；大纲，纲要
eject	 v. 驱逐，排出
opportunity	 n. 机会
savage	 adj. 未开化的；凶猛的
approximate	 adj. 近似的，约略的 v. 接近，近似
gesture	 n&vi. 姿势，手势；表示
cape	 n. 岬；海角
commute	 v. 交换，兑换；减轻；经常往来
hazardous	 adj. 冒险的
curve	 n. 曲线 v. 弄弯, n. 成曲线
catalogue	 n&vt. 目录；编目
abrasion	 n. 磨损，擦伤处
agitation	 n. 摇动，焦虑
accountable	 adj. for 对. 应付责任
custom	 n. 习俗，惯例；光顾；海关
sporadic	 adj. 偶而发生的
towel	 n. 毛巾，手巾
knob	 n. 圆形把手，旋纽，圆形突出物
invariably	 adv. 不变地，永恒地
plumb	 v. 铅锤，测锺 v. 探测，查明
triumph	 n. 凯旋；成功
forum	 n. 论坛
decompose	 v. 腐败；分解，腐烂
confident	 adj. 确信的，有把握的
liberal	 adj. 慷慨的，大方的，胸怀宽大的
sway	 v&n. 摇摆；统治，支配
perplexity	 n. (正式用语)困惑，窘困，令人困惑的事或物
prospective	 adj. 预期的; 未来的
straightforward	 adj. 正直的，坦率的，老实的，简明易懂的
marble	 n. 大理石，(游戏用的)玻璃弹子
registrar	 n. 登记员，记录员
prototype	 n. 原型
oust	 v. 驱赶，驱逐
trespass	 v. 非法侵入；侵夺，侵占
enzyme	 n. 酶
smuggle	 v. 走私，私运
petition	 n. 祈求，请求；请愿，请求书
tract	 n. 地带；系统
falter	 v. 蹒跚；声音发抖；支吾
marine	 adj. 海的，海运的 n. 船舶；海运业
fraction	 n. 小部分；片断；分数
multitude	 n. 大批，大群；众多
plunder	 vt&vi. 抢劫，掠夺
activate	 v. 使活动，触发
treatise	 n. 专题论文
contemplate	 v. 仔细考虑；注视；打算；预计
fibre	 n. 纤维，结构；质地，性格
reel	 n. 卷，轴；(胶片)一盘 v. 卷
misfortune	 n. 不幸，灾祸
delicious	 adj. 美味的；可口的
certainty	 n. 必然的事，必然，确实，肯定
expedient	 adj. 有用的，有利的 n. 紧急的办法，权宜之计
throat	 n. 咽喉，嗓子
disdain	 vt&n. 蔑视, 轻视 "
inferior	 n. 地位(能力)低的人 adj. 劣质的,差的,下等的"
magnanimous	 adj. 慷慨的，宽宏大量的
abortion	 n. 流产；(计划)失败
commentary	 n. 集注；评论
plankton	 n. 浮游生物
succession	 n. 连续；继续；一连串；继承权
compile	 v. 编辑，编写
dimension	 n. 尺寸，尺度，大小
traction	 n. 拖，牵，牵引力
reverent	 adj. 恭敬的，虔诚的
stubborn	 adj. 顽固的，坚定的
cemetery	 n. 公墓，墓地
classic	 adj. 第一流的，最优秀的；传统的 n. 古典作品
melancholy	 n. 忧郁，悲哀 adj. 忧郁的，令人伤感的
ultimately	 adv. 最后，最终
laborious	 adj. 吃力的，努力的，不流畅
notion	 n. 概念，观念
ensemble	 n. 全体；演唱组
adapt	 v. 使适应，改编
maltreat	 v. 虐待
fidelity	 n. 忠诚，忠实; 精确
nap	 n. 小睡，打盹
foam	 n. 泡沫
sculpture	 n&v. 雕塑；雕刻
charm	 n&v. 吸引力，可爱之处，迷人；行魔法
accuse	 v. 控告
ratio	 n. 比率
cement	 n. 水泥；结合剂 v. 黏结，胶合
cure	 v. 治愈；加工处理 n. 治愈，疗法；对策
upbringing	 n. 抚育，抚养；教养
agreement	 n. 同意；协议
unify	 v. 使联合，统一，使相同，一致
maintenance	 n. 维持，抚养；生活费
mischief	 n. 伤害，损害
