act	 v. 表演；举动；起作用 n. 行为，法令；一幕
action	 n. 行动，动作；作用；运转；行为；战斗
activate	 v. 启动，激活；驱动，驱使；使开始起作用
active	 adj. 活跃的，敏捷的，积极的；在活动中的
actress	 n. 女演员
actual	 adj. 实际的；现实的，真实的，目前的
interact	 v. 互相作用,互相影响
radioactive	 adj. 放射性,放射引起的
react	 v. 反应,起作用;(against)反对,起反作用
transaction	 n. 办理,处理;交易,事务;(pl.)会报,学报
character	 n. 性格,品质,特性;人物,角色;字符,(汉)字
characteristic	 adj. 特有的,独特的 n. 特征,特性
characterize	 v. 表示…的特性;描述…特性
agency	 n. 代理(处)；代办处；[美](政府的)机关，厅
agenda	 n. 议事日程，记事册
agent	 n. 代理人；代理商；产生作用的人或事物
agony	 n. (精神或肉体的)极大痛苦，创伤
agitate	 v. 摇动(液体)；使焦虑不安；困扰；鼓动
art	 n. 艺术，美术；技术，技艺；文科，人文科学
artery	 n. 动脉；干线，要道
article	 n. 文章，论文；条款，条文；物件；冠词
articulate	 adj. 善于表达的；有关节相连的 v. 清楚地讲话
artificial	 adj. 人工的，人造的，人为的；虚伪的，做作的
artist	 n. 艺术家，美术家；(某方面的)能手
artistic	 adj. 艺术(家)的，美术(家)的；善于艺术创作的
ban	 v. 取缔,查禁;(from)禁止 n. 禁止,禁令
abandon	 v. 离弃，丢弃；遗弃，抛弃；放弃
band	 n. 条,带;乐队;波段;一群,一伙 v. 缚,绑扎
bandage	 n. 绷带 v. 用绷带扎缚
bank	 n. 银行；岸,堤；
bankrupt	 adj. 破产的；彻底缺乏的 v. 使破产n.破产者
banner	 n. 旗(帜)
banquet	 n. (正式的)宴会 v. 参加宴会 v. 宴情
husband	 n. 丈夫
urban	 adj. 城市的, 市内的
bar	 n. 条,杆,闩;酒吧;栅,障碍(物) v. 闩上,阻拦
barbecue	 n. 烤肉；烤肉用的台架 v. 炙烤(肉等)
barber	 n. 理发师
bare	 adj. 赤裸的,空的;稀少的,仅有的 v. 露出,暴露
barely	 adv. 赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有
bargain	 n. 廉价货;交易,契约,合同 v. 议价,成交
barn	 n. 谷仓,仓库
barrel	 n. 桶;枪管,炮管
barren	 adj. 贫瘠的；不育的；(植物)不结果的；无用的
barrier	 n. 栅栏,屏障;障碍(物)
embark	 v. (使)上船(或飞机,汽车等);着手,从事
embarrass	 v. 使困窘,使局促不安;阻碍,麻烦
base	 n. 基础,底部;根据地 v. (on)把…基于
ambassador	 n. 大使；特使，(派驻国际组织的)代表
baseball	 n. 棒球
basement	 n. 建筑物的底部,地下室,地窖
basic	 adj. 基本的,基础的
basin	 n. 盆,脸盆;内海,盆地
basis	 n. 基础,根据
basket	 n. 筐，篮，篓
database	 n. (databank)数据库
embassy	 n. 大使馆;大使及其随员
bat	 n. 球拍,球棒,短棒;蝙蝠
acrobat	 n. 特技演员，杂技演员
bacterium	 n. 细菌
batch	 n. 一批,一组,一群
bath	 n. 沐浴,洗澡;浴室(池,盆) v. (给…)洗澡
bathe	 v. 游泳,洗澡,浸,弄湿
bathroom	 n. 浴室;盥洗室,卫生间
battery	 n. 电池(组)；(器具等的)一组，一套；炮兵连
battle	 n. 战役,战斗;斗争 v. 战斗,斗争,搏斗
combat	 v&n. 战斗,搏斗,格斗
debate	 v&n. 争论,辩论
call	 vt. 叫，喊；打电话 vi. 叫；访问 n. 叫；号召
recall	 v. 回忆,回想;撤消,收回
calcium	 n. 钙(化学符号Ca)
calculate	 v. 计算,推算;计划,打算
calendar	 n. 日历,月历
scale	 n. 刻度;天平,磅秤;比例尺;规模;音阶;鱼鳞
escalate	 v. (使)逐步增长(或发展)，(使)逐步升级
accelerate	 v. 使加速，使增速，促进 v. 加快，增加
celebrate	 v. 庆祝；颂扬，赞美vi.庆祝，过节
celebrity	 n. 名人，名流；著名，名声，名望
cap	 n. 便帽,军帽;盖,罩,套 v. 覆盖于…顶端
capable	 adj. 有本领的,有能力的;(of)可以…的,能…的
capacity	 n. 容量,容积;能量,能力;接受力
