paragraph	 n. 段落；短评；段落符号 v. 将…分段
influence	 n. 影响；势力；感化；有影响的人或事 v. 影响；改变
intellectual	 adj. 智力的；聪明的；理智的 n. 知识分子；凭理智做事者
political	 adj. 政治的；党派的
science	 n. 科学；技术；学科；理科
economic	 adj. 经济的，经济上的；经济学的
century	 n. 世纪，百年；（板球）一百分
increase	 n. 增加，增长；提高 v. 增加，增大；繁殖
stress	 n. 压力；强调；紧张；重要性；重读 v. 强调；使紧张；加压力于；用重音读
power	 n. 力量，能力；电力，功率；政权，势力；[数] 幂 v. 激励；供以动力；使…有力量 adj. 借影响有权势人物以操纵权力的
national	 adj. 国家的；国民的；民族的；国立的 n. 国民
consider	 v. 考虑；认为；考虑到；细想
process	 v. 处理；加工 n. 过程，进行；方法，步骤；作用；程序；推移 adj. 经过特殊加工（或处理）的
create	 v. 创造，创作；造成
drug	 n. 药；毒品；麻醉药；滞销货 v. 使服麻醉药；使服毒品；掺麻醉药于
care	 n. 关怀；照料；谨慎；忧虑 v. 照顾；关心；喜爱；顾虑
group	 n. 组；团体 adj. 群的；团体的 v. 聚合
discovery	 n. 发现，发觉；被发现的事物
include	 v. 包含，包括
price	 n. 价格；价值；代价 v. 给……定价；问……的价格
sector	 n. 部门；扇形，扇区；象限仪；函数尺 vt. 把…分成扇形
service	 n. 服务，服侍；服役；仪式 adj. 服务性的；耐用的；服现役的 v. 维修，检修；保养
search	 v. 搜寻；调查；探求 n. 搜寻；探究，查究
experience	 n. 经验；经历；体验 v. 经验；经历；体验
require	 v. 需要；要求；命令
individual	 adj. 个人的；个别的；独特的 n. 个人，个体
scientific	 adj. 科学的，系统的
attention	 n. 注意力；关心；立正！（口令）
influential	 adj. 有影响的；有势力的 n. 有影响力的人物
court	 n. 法院；球场；朝廷；奉承 v. 招致（失败、危险等）；向…献殷勤；设法获得
law	 n. 法律；规律；法治；法学；诉讼；司法界 vi. 起诉；控告 vt. 控告；对…起诉
federal	 adj. 联邦的；同盟的；联邦政府的； 联邦制的 adv. 联邦政府地 n. (Federal)人名；(英)费德勒尔
past	 n. 过去；往事 adj. 过去的；结束的 prep. 越过；晚于 adv. 过；经过
deal	 v. 处理；给予；分配；发牌 n. 交易；（美）政策；待遇；份量
rise	 v. 上升；增强；起立；高耸 n. 上升；高地；增加；出现
limit	 n. 限制；限度；界线 v. 限制；限定
peer	 n. 贵族；同等的人；同龄人 v. 凝视，盯着看；窥视
scientist	 n. 科学家
financial	 adj. 金融的；财政的，财务的
report	 n. 报告；报道；成绩单 v. 报告；报导；使报到
issue	 n. 问题；流出；期号；发行物 v. 发行，发布；发给；放出，排出
risk	 n. 风险；危险；冒险 v. 冒…的危险
method	 n. 方法；条理；类函数 adj. 使用体验派表演方法的
publish	 v. 出版；发表；公布
practice	 n. 实践；练习；惯例 v. 练习；实习；实行
future	 n. 未来；前途；期货；将来时 adj. 将来的，未来的
function	 n. 功能；[数] 函数；职责；盛大的集会 v. 运行；活动；行使职责
