adrift	 adj. 漫无目的地； 漂浮着
aftermath	 n. 后果；余波
afterworld	 n. 阴间
ample	 adj. 足够的；丰富的
ascertain	 v. 确定，查明
assure	 v. 向...保证，使...确信
attain	 v. 获得；得到
autopsy	 n. 尸体剖检
Bible	 n. 圣经
charitable	 adj. 仁慈的
combination	 n. 结合体，混合物
concept	 n. 观念；想法
congress	 n. 国会；大会
consequence	 n. 结果
contagious	 adj. 有感染力的；会蔓延的
contemporary	 adj. 当代的；同时代的
contempt	 n. 轻视；蔑视
crave	 v. 渴望，热望
deprive	 v. 剥夺，使丧失
detect	 v. 察觉；侦查
deter	 v. 阻止，制止
disgrace	 v&n. 耻辱
dispel	 v. 消除（疑虑等）
dispute	 v. 争论；对...提出质疑
disseminate	 v. 散布，传播
dove	 n. 鸽
drag	 v. 拖拽； 吃力地往前拉
ensure	 v. 保证，确保
especially	 adv. 尤其，特别是
expel	 v. 驱逐；赶走；把…除名
fate	 n. 命运
federal	 adj. 联邦的
generations	 n. 数代人
grit	 n. 毅力
gritty	 adj. 勇敢的，坚毅的
gutter	 n. （路边）排水沟
hippie	 n. 嬉皮士
immortality	 n. 永生，不朽
indolence	 n. 懒惰；懒散
insecure	 adj. 不安全的
insure	 v. 为...上保险
loan	 n. 贷款
makeshift	 adj. 临时替代的； 权宜的
malnourished	 adj. 营养不良的
manifest	 v. 显示，表明
manipulate	 v. 操纵；巧妙地处理
Mistletoe	 n. 槲寄生
muddy	 adj. 泥泞的
mythology	 n. 神话学
neglect	 v. 忽略
particularly	 adv. 特别地
perseverance	 n. 毅力
presence	 n. 出席
presumably	 adv. 据推测； 大概
proclaim	 v. 宣告
promulgate	 v. 颁布，公布
proportion	 n. 比例
quell	 v. 制止，平息，镇压
repel	 v. 抵制；使厌恶
represent	 v. 象征；代表
reputation	 n. 名誉，声望
resemblance	 n. 相似
scant	 adj. 少量的，不足的
shabby	 adj. 破烂的，衣着寒酸的
shortlist	 v. 把…列入候选名单;提名
sophisticated	 adj. 复杂的，老于世故的
source	 n. 根源；源头
specially	 adv. 特意地；专门地
specifically	 adv. 明确地，具体的
spontaneous	 adj. 自发的； 自然的
sumptuous	 adj. 华丽的；奢侈的
superstition	 n. 迷信
symbolize	 v. 象征；用符号代表
temporary	 adj. 临时的，暂时的
tendency	 n. 倾向，趋势
thorough	 adj. 彻底的，全面的
tireless	 adj. 不疲倦的
tow	 v. 拖，拉； 牵引
valiant	 adj. 勇敢的，英勇的
variable	 adj. 多变的，易变的
vigilant	 adj. 警惕的，警醒的
vigorous	 adj. 强有力的（运动、活动）精力充沛的
virtual	 adj. 实质上的，实际上的
weapon	 n. 武器
welfare	 n. 福利
withdraw	 v. 取款
yearn	 v. 渴望
aimless	 adj. 没有目标的
amateur	 n. 外行
amplify	 v. 放大
arthritis	 n. 关节炎
artificial	 adj. 人造的； 人工的
assessment	 n. 评估； 评价
assignment	 n. 作业
assistance	 n. 帮助，援助
attachment	 n. 依恋
attendance	 n. 出席人数
attending	 n. 主治医生
bandwagon	 n. 时尚，潮流
celebrity	 n. 名人
cessation	 n. 中止
charge	 v. 充电
chase	 v. 追逐
circulation	 n. 循环
civil	 adj. 公民的，市民的
civilized	 adj. 文明的；有教养的
civilian	 adj. 平民百姓的
civic	 adj. 城市的；城镇的；市民的
contemplate	 v. 沉思；深思熟虑
deadly	 adj. 致命的
demonstrate	 v. 证明，证实
dismal	 adj. 糟糕的
downside	 n. 负面
ease	 v. 缓解，减少
emerge	 v. 出现，浮现
essay	 n. 小论文
essence	 n. 本质，实质
fake	 adj. 假的
fertile	 adj. 肥沃的，能生产的
formula	 n. 准则
gash	 n. 伤口
generative	 adj. 生产的，有生产力的
gloomy	 adj. 阴暗的
grab	 v. 抢先，抢占
hazard	 n. 危险
indulgent	 adj. 放纵的，纵容的
inheritance	 n. 继承
instantaneously	 adv. 即刻；突如其来地
interns	 n. 住院实习医生
inundate	 v. 应接不暇
lump	 n. 肿块
lung	 n. 肺
manipulation	 n. 操纵，控制
mastery	 n. 精通，熟练
meditation	 n. 冥想
multiplication	 n. 乘法
offset	 v. 弥补
outcast	 n. 被逐出者
outsource	 v. 外包
overlook	 v. 忽视，忽略
overwhelming	 adj. 难以抗拒的
paralegal	 adj. 辅助律师业务的
pause	 n. 暂停
perspiration	 n. 汗水，汗
philosophy	 n. 哲理
pneumonia	 n. 肺炎
premature	 adj. 过早的
productive	 adj. 多产的
property	 n. 财产
relative	 n. 亲属
relieve	 v. 解除； 缓解
respiration	 n. 呼吸
signify	 v. 表示
staggering	 adj. 难以置信的，令人震惊的
standstill	 n. 停止，停顿
stethoscope	 n. 听诊器
still	 v. （使）安静，（使）静止
subsequently	 adv. 后来地
supervise	 v. 监督
surest	 adj. 无疑的
swell	 v. 肿胀
symptom	 n. 症状
torment	 v. 折磨，使痛苦
trap	 v. 使落入圈套
tutor	 n. 导师
wholesale	 adv. 批发销售
adolescent	 adj. 青春期的；青少年
adversely	 adv. 不利地
amusement	 n. 娱乐
apprenticeship	 n. 学徒期；学徒身份
appropriate	 adj. 恰当的
betray	 v. 背叛
calibre	 n. 能力; 水准
carpenter	 n. 木工，木匠
cater	 v. 迎合；满足需要
cite	 v. 引用，引证
clumsy	 adj. 笨拙的
combine	 v. 将...相结合
comically	 adv. 滑稽地
criterion	 n. 标准
deformity	 n. 畸形
discriminate	 v. 歧视
dizzy	 adj. 眩晕的
drowsy	 adj. 昏昏欲睡的
embrace	 v. 包括，拥抱
enforce	 v. 强迫服从；实施，执行；加强
excel	 v. 胜过（他人）
expand	 v. 扩展，变大
explosion	 n. 爆炸
fair	 v. 浅色的
feature	 n. 特征，特点
freshmen	 n. 大一新生
fundamental	 adj. 根本的，基本的
genetically	 adv. 基因地
hydrostatics	 n. 流体静力学
impair	 v. 损害；削弱
inactive	 adj. 不活跃的，停滞的
inclined	 adj. 倾向于...的；有...意向的
increasingly	 adv. 越来越多地；日益
industrialized	 adj. 工业的
inhibition	 n. 抑制
interact	 v. 互动；相互交往
mimic	 v. 模仿
imitate	 v. 模仿，仿效；仿造，仿制
