handily	 adv. 轻松地
seal	 v. （密）封
paycheck	 n. 工资支票
cessation	 n. 中止
sensible	 adj. 合理的
revision	 n. 修改
ascertain	 v. 确定，查明
property	 n. 财产
carpenter	 n. 木工，木匠
federal	 adj. 联邦的
greed	 n. 贪心
bargain	 v. 讨价还价
taboo	 n. 禁忌；禁止
pollster	 n. 民意调查者
inactive	 adj. 不活跃的，停滞的
slack	 adj. 萧条的
distinguishing	 adj. 与众不同的
wrap	 v. 包，裹
nameless	 adj. 不可名状的
sarcastic	 adj. 讽刺的
distinguished	 adj. 卓越的
battery	 n. 电池
contempt	 n. 轻视；蔑视
conclusive	 adj. （事实、证据等）令人信服的，确凿的
ghetto	 n. 贫民区
rejection	 n. 拒绝
stamp	 v. 打上（或盖上）（标记，图案） ;踏平
tip	 n. 小费 v.给....小费
proprietor	 n. 所有者，经营者
curb	 n. 路缘vt.控制；勒住
extraterrestrial	 adj. 地球外的，地球大气圈外的;n. 外星人
mastery	 n. 精通，熟练
assure	 v. 向...保证，使...确信
cease	 v. 停止，终止
reputation	 n. 名誉，声望
symbolize	 v. 象征；用符号代表
funeral	 adj. 葬礼的
gullible	 adj. 易受骗的；轻信的
declare	 v. 宣布
render	 v. 给予，提供
standstill	 n. 停止，停顿
neural	 adj. 神经的
fake	 adj. 假的
willpower	 n. 意志力
households	 n. 家庭
fade	 v. 使褪色；逐渐消逝
dwelling	 n. 住宅
ease	 v. 缓解，减少
gaily	 adv. 花哨地，艳丽地
overeat	 v. 吃得过多
recollect	 v. 使想起
flourish	 v. 繁荣
aftermath	 n. 后果；余波
essay	 n. 小论文
impose	 v. 利用；欺骗；施加影响
qualification	 n. 资格
incalculable	 adj. 不可估量的
incidentally	 adv. 附带地，顺便提及
silhouette	 v. 使呈现暗色轮廓
suspender	 n. 吊带裤，悬挂物
undertaking	 n. 工作，任务
award	 n. 奖励，奖品
forum	 n. 论坛
staggering	 adj. 难以置信的，令人震惊的
aimless	 adj. 没有目标的
bankruptcy	 n. 破产，倒闭
pedestrian	 n. 行人
maintenance	 n. 维护，维修
descend	 v. （夜色，黑暗）降临
philosophy	 n. 哲理
gritty	 adj. 勇敢的，坚毅的
panic	 n. 恐慌
wrath	 n. 愤怒；激怒
tactic	 n. 把戏；战术；策略，战略
confrontation	 n. 对抗；面对
vigorous	 adj. 强有力的（运动、活动）精力充沛的
recommend	 v. 推荐
artificial	 adj. 人造的； 人工的
sustainability	 n. 持续性
appeal	 v. 吸引；呼吁
fertile	 adj. 肥沃的，能生产的
spite	 n. 恶意，怨恨
radical	 adj. 根本的，基本的
transmission	 n. 传输；传送
origin	 n. 起源，来源
conserve	 v. 保护
reasonable	 adj. 适当的，适度的
sensitively	 adv. 易感知地，神经过敏地
supervise	 v. 监督
bridge	 v. 弥合（差距），消除（分歧）
remove	 v. 祛除，去掉
disgrace	 v&n. 耻辱
gigantic	 adj. 巨大的，庞大的
drag	 v. 拖拽； 吃力地往前拉
precaution	 n. 预防措施
crude	 adj. 粗糙的，拙劣的
downside	 n. 负面
grab	 v. 抢先，抢占
deceive	 v. 欺骗；行骗
juggle	 v. 同时应付
premature	 adj. 过早的
shortlist	 v. 把…列入候选名单;提名
ambiguous	 adj. 模棱两可的
conversely	 adv. 相反地
dismal	 adj. 糟糕的
democratic	 adj. 民主的
credit	 n. 荣誉，声誉
hospitality	 n. 好客
Bible	 n. 圣经
calibre	 n. 能力; 水准
loan	 n. 贷款
eventual	 adj. 最终的
contemplate	 v. 沉思；深思熟虑
feature	 n. 特征，特点
circulation	 n. 循环
trivialization	 n. 琐碎化；轻视；平凡
smack	 v. 打，掌掴
elate	 adj. 得意的
hippie	 n. 嬉皮士
formula	 n. 准则
caution	 n. 注意（事项）
skeptical	 adj. 怀疑的；怀疑论的
sociology	 n. 社会学
cruise	 v. 航游，巡航
restrict	 v. 限制，约束
authentic	 adj. 真实的
criterion	 n. 标准
compelling	 adj. 令人信服的；引人入胜的
insult	 v. 侮辱
principal	 n. 校长
legend	 n. 传说，传奇
braid	 v. 把（头发）梳成辫子;编织
resourceful	 adj. 足智多谋的；机智的
mythology	 n. 神话学
explanatory	 adj. 解释的; 说明的
evade	 v. 逃避；规避；逃脱
ordeal	 n. 痛苦的经历
atrophy	 n. 萎缩
approachable	 adj. 容易接近的，友善的
combination	 n. 结合体，混合物
cue	 n. 暗示
conservative	 adj. 保守的
characteristic	 n. 特征
seize	 v. up（机器等）卡住
revealing	 adj. 发人深省的
release	 v. 发布，发行;释放
overlook	 v. 忽视，忽略
quilt	 v. 缝制（被褥）
contagious	 adj. 有感染力的；会蔓延的
immigration	 n. 移民
crack	 v. 破裂
motto	 n. 箴言，座右铭
crave	 v. 渴望，热望
considerate	 adj. 体贴的，为他人考虑的
lust	 n. 欲望;
associate	 v. 使有联系
dispute	 v. 争论；对...提出质疑
ailment	 n. 小病
gadget	 n. 小配件，小装置
thatcher	 n. 盖屋匠
