internship	 n. <美>实习医师
trial	 n. 审判
untimely	 adj. 不适时的，不合时宜的
omelet	 n. 煎蛋饼
moth	 n. 蛾
champagne	 n. 香槟酒
dive	 v. 潜水
raft	 n. 木筏
slit	 v. 切开，撕开
draw	 v. 拖
cataract	 n. 大瀑布
foam	 n. 泡沫
omnibus	 n. 公共汽车
scamper	 v. 奔跑
brisk	 adj. 快的； 轻快的
toil	 v. 长时间或辛苦地工作
scrub	 v. 用力擦洗，刷洗
shear	 n. 大剪刀
ravage	 v. 破坏；毁坏 n. 毁坏后的残迹
crate	 n. 箱
fruiterer	 n. 水果商
extract	 v. 榨取
canvas	 n. 帆布
garnish	 v. 装饰，文饰； 给…加配菜
glistening	 adj. 闪耀的，反光的
spiced	 adj. 含香料的； 五香的
baked	 adj. 烘烤制作的
brass	 n. 黄铜
liquor	 n. 酒，烈性酒
orchestra	 n. 管弦乐队
gaudy	 adj. 花哨的
permeate	 vt&vi. 弥漫； 遍布；感染，传播； 渗入
perish	 v. 死亡，丧生
penetrate	 v. 穿透，刺入； 渗入
perpetrate	 v. 犯（罪）； 做（恶）
innuendo	 n. 暗讽，讽刺； 影射
prodigality	 n. 浪费；慷慨；丰富
swell	 vt&vi. 增强； 肿胀； 膨胀
hush	 vt&vi. （使）安静下来 n. 安静，寂静
obligingly	 adv. 亲切地
erroneous	 adj. 错误的
understudy	 n. 预备演员，替角
chauffeur	 n. 受雇于人的汽车司机
peculiar	 adj. 奇怪的，古怪的； 异常的
flannel	 n. 法兰绒，绒布
earnest	 adj. 热心的； 诚挚的
agonizingly	 adv. 使人烦恼地；苦闷地
vicinity	 n. 附近，邻近； 附近地区
dizzy	 adj. 头昏眼花的
dreadful	 adj. 可怕的； 令人畏惧的
whereabouts	 adv. 在什么地方
vehemently	 adv. 竭尽全力地
purposeless	 adj. 无目的的
coin	 v. 创造
legitimate	 adj. 合法的，合理的
consensual	 adj. 经双方同意的，一致同意的
hallucination	 n. 幻觉，幻想
graphic	 adj. 图解的，用图表示的
prescient	 adj. 有先见之明的
myriad	 adj. 无数的； 多种的
tremendous	 adj. 极大的, 巨大的
breach	 n. 破裂； 缺口；漏洞
prominent	 adj. 突出的，杰出的
surveillance	 n. 监视，监控
contractor	 n. 订约人，承包人
domain	 n. 范围，领域
sabotage	 n. 破坏活动
affiliate	 v. 附属于
controversial	 adj. 有争议的，引起争议的
contradictory	 adj. 矛盾的
complementary	 adj. 互补的
congruent	 adj. 符合的； 一致的
espionage	 n. 侦察； 间谍活动
anticipate	 v. 预知；预料
malicious	 adj. 恶意的；恶毒的
geeky	 adj. 令人讨厌的
resilient	 adj. 有复原力的；适应力强的
vengeance	 n. 报复，复仇
bastion	 n. 堡垒
mediocre	 adj. 普通的；平凡的
mediocrity	 n. 平庸，平凡；平庸的人
bloated	 adj. 浮肿的
fourfold	 adj. 四倍的
pervasive	 adv. 无处不在地； 遍布地
liberate	 v. 解放； 释放
tenure	 n. 占有（职位，不动产等）;授予…终身职位
knowingly	 adv. 特意地； 故意地
prestige	 n. 威信，威望，声望
decisive	 adj. 决定性的
euphemism	 n. 委婉语；委婉说法
analogy	 n. 类比；类推；类似
metaphor	 n. 暗喻，隐喻；比喻说法
personification	 n. 人格化；化身；拟人法（一种修辞手法）；象征
literally	 adv. 确实地，真正地；逐字地； 照字面地
douse	 v. 浇水在…上
monetary	 adj. 货币的，金钱的
pertinent	 adj. 有关的
drought	 n. 干旱（时期），旱季
gallon	 n. 加仑（容量单位）
warranted	 adj. （制造商）担保的，保证的
inference	 n. 推理； 推断
adversarial	 adj. 敌手的，对手的
implication	 v. 涉及
intimate	 adj. 亲密的，亲近的
residue	 n. 残余，残渣
tactics	 n. 战术； 策略
dialectical	 adj. 方言的，辩证的
namely	 adv. 即，也就是说
paradigm	 n. 范例，样式
polarize	 v. 使两极分化
proponent	 n. 支持者，拥护者
synch	 v. 同时发生，同步
platitude	 n. 陈词滥调
pretext	 n. 借口，托辞
hurdle	 n. 障碍，困难
chastise	 v. 严惩（某人）
speculative	 adj. 投机的； 思考的
tidbit	 n. 趣闻
rarity	 n. 稀有，罕见
numb	 adj. 麻木的，失去感觉的
marijuana	 n. 大麻
diarrhea	 n. 腹泻
sanitation	 n. 卫生设备，卫生环境
frenetic	 adj. 发狂的，狂热的
indulgence	 n. 沉溺；放纵
extravagant	 adj. 过度的；浪费的，奢侈的
plausible	 adj. 可信的，貌似合理的
ritual	 n. 仪式，惯例
corollary	 n. 必然的结果；推论
instinct	 n. 本能，天性
revelation	 n. 启示；揭露
indignant	 adj. 愤慨的，愤怒的
docile	 adj. 温顺的，容易教的
disobedient	 adj. 不服从的，违背的
fickleness	 n. 浮躁，变化无常
gratitude	 n. 感激，感谢
betray	 v. 出卖，背叛
begrudging	 adj. 吝惜的；勉强的；妒忌的
conspire	 v. 共同促成；密谋
steadfastness	 n. 坚定不移
tenacity	 n. 固执；不屈不挠
stubbornly	 adv. 固执地
totter	 v. 踉跄，蹒跚
senile	 adj. 高龄的，老龄的
buckle	 v. 扣住 n. 皮带扣
wheeze	 v. 喘息，呼哧呼哧的作响
gasp	 v. 气喘吁吁
stern	 adj. 严厉的，坚定的
clutch	 n. 离合器
willful	 adj. 任性的，有意的
strangle	 v. 抑制；勒死
leopard	 n. 美洲豹
crouch	 v. 蹲伏
duck	 v. 弯下身子，低头
reckless	 adj. 鲁莽的
imperceptibly	 adv. 察觉不到地
loop	 v&n. 环，圈；使成环
languid	 adj. 倦怠的，软弱无力的
hum	 v. 哼唱
chorus	 n. 合唱团
squat	 adj. 蹲着的，矮胖的
majestically	 adv. 庄严地，威严地
shudder	 v. 发抖，颤栗
tremble	 v. 颤抖
spout	 v. 喷出
radiator	 n. 散热器
crawl	 v. 匍匐前进
stroll	 v. 散步，漫步
flush	 n. 旺盛
ubiquitous	 adj. 无处无在的，普遍的
corridor	 n. 走廊
habitat	 n. 栖息地
buzzword	 n. 流行词
multiple	 adj. 许多的，多重的
spatial	 adj. 空间的
megacity	 n. 大城市（人口超过1000万）
temperate	 adj. 温和的
arid	 adj. 干旱的
compromise	 n&v. 危害；妥协
topography	 n. 地势，地形学
homogenize	 v. 使类同，使一致
aesthetic	 n&adj. 美学的，审美的
portable	 adj. 便携的，手提的
envision	 v. 展望，预想
incorporate	 v. 合并；体现
heritage	 n. 遗产
psycholinguistic	 n. 心理语言学
tacit	 adj. 缄默的，心照不宣的
explicit	 adj. 明确的，清楚的；直率的
aggression	 n. 攻击；挑衅
fossil	 n. 化石
skull	 n. 头盖骨
outraged	 adj. 暴怒的
bizarre	 adj. 奇怪的
consensus	 n. 共识，一致
obedience	 n. 顺从，服从
nurture	 v. 培养
allocate	 v. 分配
deteriorating	 adj. 恶化的
predisposition	 n. 倾向
coercion	 n. 威迫，恐吓
inadvertently	 adv. 无意地
advert	 v. 注意
propensity	 n. 倾向
gratification	 n. 满足
arrogant	 adj. 傲慢无礼的
irritable	 adj. 易怒的
pinched	 adj. 憔悴的
proximity	 n. 接近
pedantic	 adj. 学究式的
conducive	 adj. 有益的
monotony	 n. 单调
facetiously	 adv. 开玩笑地
freckled	 adj. 有斑的
flatter	 v. 谄媚；使高兴
frill	 n&v. 装饰
bunk	 n. 铺位
metallic	 adj. 刺耳的
clamor	 n. 喧嚣
profess	 v. 声称；公开表示
jolt	 v. 摇晃
gregarious	 adj. 爱交际的
velocity	 n. 速度
generic	 adj. 一般的
cerebral	 adj. 理智的
omnipresent	 adj. 无处不在的
pathology	 n. 病理学
stigmatize	 v. 使耻辱
bland	 adj. 平淡乏味的
extrovert	 n. 外向
introvert	 n. 内向
contemplation	 n. 沉思
heed	 n&v. 注意；留心
cognition	 n. 认知
suppression	 n. 镇压；压制
inhibit	 v. 抑制
obstruct	 v. 阻碍
tussle	 n. 争斗，打斗
hone	 v. 磨练
ample	 adj. 足够的，丰富的
handicap	 n. 障碍
ascending	 adj. 上升的
denote	 v. 表示，表明
whilst	 conj. 同时
homophones	 n. 同音同形异义词
arbitrarily	 adv. 武断地；专横地
convict	 v. 证明...有罪
malnutrition	 n. 营养不良
famine	 n. 饥荒
adolescence	 n. 青春期
tavern	 n. 酒馆
discursive	 adj. 不着边际的
initiative	 n. 行动，主动性
whistleblower	 n. 告密者
footage	 n. 电影片段
scrupulous	 adj. 严谨的，小心的
vociferous	 adj. 喧闹的
stridently	 adv. 刺耳地
strikingly	 adv. 引人注目地
pamphlet	 n. 小册子，手册
roomy	 adj. 宽敞的
profound	 adj. 意义深远的
filter	 v. 过滤
conduit	 n. 导管，渠道
anonymous	 adj. 匿名的
baron	 n. 男爵；大亨
reserved	 adj. 矜持的
ambiguous	 adj. 模棱两可的
skeptical	 adj. 怀疑的
chic	 n. 时髦的
decadence	 n. 颓废
hype	 n. 夸大的广告
blockbuster	 n. 了不起的事物
pornography	 n. 色情文学
swing	 v. 摇晃
condescension	 n. 屈尊
condescend	 v. 屈尊
impulse	 n. 冲动
bountiful	 adj. 丰富的，充裕的
hangar	 n. 飞机库
scoop	 v. 抓取，舀
mandate	 v. 命令
gross	 adj. 全体的，总的
innately	 adv. 本质地，固有地
amenity	 n. 福利；愉快，便利设施
surly	 adj. 脾气坏的
aura	 n. 气氛
ardent	 adj. 热情的
flaunt	 v. 炫耀
allure	 n. 诱惑
lure	 n&v. 诱惑
preemptive	 adj. 先发制人的
snobby	 adj. 势利的
pantomime	 n. 哑剧
demeanor	 n. 行为
wince	 v. 畏缩，皱眉
haggle	 v. 讨价还价
incentive	 n. 刺激
serene	 adj. 静谧的，平静的
bluff	 n. 虚张声势
outright	 adj. 彻底的
luster	 n. 光泽
wanton	 adj. 无节制的
solicitousness	 n. 渴望，殷勤
tinge	 v. 着色，微染色
decry	 v. 反对，谴责
stud	 v. 用饰钉装饰
trauma	 n. 创伤；痛苦的经历
frugality	 n. 节俭
arable	 adj. 适合耕种的
onomatopoeia	 n. 拟声
interrogative	 adj. 提问；质问的
denominator	 n. 水平，标准
impotent	 adj. 无力的
rivalry	 n. 对抗
abuse	 v&n. 虐待，谩骂
oblivious	 adj. 遗忘的；忘却的
scarcity	 n. 缺乏，不足
infiltrate	 v. 渗入，使潜入
cascade	 n. 小瀑布
trump	 v. 胜过
crunch	 v. 嘎嘎作响；
outrageous	 adj. 暴怒的，令人吃惊的
invidiously	 adv. 招人怨恨地，不公平地
extracurricular	 adj. 课外的
fraternity	 n. 兄弟会，兄弟情
veteran	 n. 老兵；老手
affection	 n. 喜爱
boggle	 v. 犹豫，退缩；搞糟，弄坏
alumni	 n. 男校友；男毕业生（alumnus的复数）
alumna	 n. 女毕业生；女校友
cruise	 v. 巡航，巡游
affinity	 n. 亲密关系
hostile	 adj. 有敌意的
rhetorical	 adj. 修辞的
prelude	 n. 前奏，序曲
stocky	 adj. 健壮的；结实的，矮壮的
stoop	 v&n. 门廊；弯腰，屈背；
squirt	 n. 傲慢无礼的年轻人； v. 喷射
session	 n. 开会，会议
pave	 v. 铺设
legacy	 n. 遗产
totalitarian	 adj&n. 极权主义者
refute	 v. 反驳，驳斥
unveil	 v. 揭露
subdue	 v. 政府，克制
episode	 n. 插曲；一段情节
compassionate	 adj. 同情的
sage	 n. 胜任，贤人 adj. 精明的，贤明的
emancipator	 n. 解放者，释放者
magnitude	 n. 重要性；大小
rectify	 v. 纠正，改正
disparage	 v. 贬低，诋毁
implicitly	 adv. 暗示地，含蓄地，隐晦地
gulp	 v. （因紧张或兴奋）倒吸气
ledge	 n. 壁架；窗台
thoroughfare	 n. 大道
subdued	 adj. 含蓄的，不强烈的
institutionalized	 adj. 制度化的
cynical	 adj. 愤世嫉俗的=unbelieving or sarcastic
anonymity	 n. 匿名 anonymous形容词为“匿名的”
hub	 n. 中心=center n
drone	 n. 无聊的人；懒汉;=sluggard，乏味的讲话
drab	 adj. 乏味的，
stark	 adj. 荒凉的，光秃秃的
inevitable	 adj. 不可避免的=unavoidable
outstrip	 v. 超过=surpass
indulge	 v. 放纵，纵容
lackluster	 adj. 缺乏光泽的
notation	 n. 符号 n.
simultaneous	 adj. 同时的；联立的；同时发生的
aviation	 n. 航空学，飞行术
prophetic	 adj. adj 预言的，先知的
perch	 v. 栖息 +on，位于高处
entrenched	 adj. 根深蒂固的
entrench	 v. v使牢固确立
decode	 v. 解码，破译 v.
convergence	 n. 集中
blur	 v. 使模糊
autonomy	 n. 自治权 n.
smudge	 v. 弄脏=smirch=smear（用粘湿弄脏）
understatement	 n. 轻描淡写
hue	 n. 色调
precipice	 n. 悬崖
attire	 n. 服装 n.
stiff	 adj. 僵硬的
scrutiny	 n. 细看 v. scrutinize细查
countenance	 n. 表情，面容 v. 支持
placid	 adj. 平静的，温和的
contemplate	 v. 仔细考虑，思考
gleam	 v. 发光（微弱的光芒）
sturdy	 adj. 结实的，强壮的
chamber	 房间 n. 体内的腔
fresco	 n. 壁画 n.
elation	 n. 得意洋洋
bully	 v. 欺负 恐吓 n. 欺负的人
snobbery	 n. 势利，阿谀奉承
oppress	 v. 压迫，使烦恼
evince	 v. 表明，表示
glee	 n. 欢乐
sardonic	 adj. 嘲笑的，讽刺的
equanimity	 n. 平静，镇定
benevolence	 n. 仁慈，善意
patronage	 n. 赞助，光顾，庇护
entwine	 v. 盘绕，缠绕
deference	 n. 顺从，服从
ballad	 n. 民谣
epic	 n. 史诗
elegy	 n. 挽歌
pragmatics	 n. 语用学
articulation	 n. 清晰的表达
articulate	 v&adj. 发音清晰的；口才好的；有关节的
topographical	 adj. 地形学的
contour	 n. 等高线
ridge	 n. 山脊
mirage	 n. 海市蜃楼，幻觉=miracle
terrace	 n. 梯田，比赛看台
trek	 n&v. 艰苦跋涉
polychronic	 adj. 多次的=multiple
cocoon	 n. 茧，蚕茧
chandelier	 n. 枝形吊灯
circumscribe	 v. 限制
luxuriate	 v. 纵情享乐，放纵自己
parlor	 n. 客厅
congregate	 v. 集合，聚集
communal	 adj. 共同的，集体的
hierarchy	 n. 等级制度
huddle	 v. 蜷缩；聚在一起
muddle	 v. 混乱
aristocracy	 n. 贵族；上层社会
surge	 v. 洋溢；猛增
amiability	 n. 可爱；和蔼可亲
furtive	 adj. 偷偷摸摸的，鬼鬼祟祟的
beam	 n. 光束 v. 面露月色
semantics	 n. 语义学（研究语言的意义）
evacuate	 v. 撤离，疏散
torrential	 adj. 似急流的，波涛汹涌的
rickshaw	 n. 黄包车
demeaning	 adj. 丢脸的，低贱的
infrastructure	 n. 基础设施，基础结构
imminent	 adj. 即将发生的
hawker	 n. 沿街叫卖者
clout	 n. 权利，政治上的势力，重击
clot	 n. 血块
clog	 n&v. 阻碍 木屐
sardar	 n. 司令官，将领
rehabilitate	 v. 恢复
crucial	 adj. 决定性的
democratic	 adj. 民主的
disembark	 v. 下船，下飞机，下车
hapless	 adj. 倒霉的，不幸的
bemuse	 v. 使困惑，使不知所措
amnesty	 n. 赦免，大赦
bereft	 adj. 被剥夺的，丧失的
covet	 v. 垂涎，觊觎
savvy	 v. 知道，了解； n. 悟性，机智
renowned	 adj. 有名的
consign	 v. 托付，寄存
teasing	 adj. 戏弄的，逗趣的
profusion	 n. 大量，充沛
bewilder	 v. 使迷惑，不知所措
cauldron	 n. 大锅
farthing	 n. 一点，极少量
vulgar	 adj. 庸俗的，低俗的，平民的
gigantic	 adj. 巨大的，庞大的
grime	 n. 污垢
confectionery	 n. 甜食，甜食店
bust	 v. 打破，打碎
disdain	 v. 鄙视
tremolo	 n. 震颤，颤音
sleek	 adj. 有光泽的，油嘴滑舌的
murmur	 v&n. 低声说，小声说
gullible	 adj. 轻信的
pristine	 adj. 纯洁的，远古的
encumber	 v. 阻碍
attune	 v. 使适应，协调，调音
ostensible	 adj. 表面上的
allotment	 n. 分配，拨给
allegory	 n. 寓言
sonnet	 n. 十四行诗
rhyme	 n&v. 押韵
morphology	 n. 形态学(尤指动植物形态学或词语形态学)
backformation	 n. 逆构造词
blend	 v. 混合
meadow	 n. 草地，牧场
hedge	 n. 树篱，保护手段； v. 保护，围住
tranquil	 adj. 宁静的，平静的
repose	 v. 安眠，休息
huskiness	 n. 沙哑声
proprietor	 n. 老板，业主
fabric	 n. 布局，构造
province	 n. 职责，职权
elite	 n. 精英
unaffiliated	 adj. 独立的，未结合的
sucker	 n. 呆子
shatter	 v. 粉碎
temperamental	 adj. 喜怒无常的
loot	 v. 洗劫，掠夺
vermilion	 adj&n. 朱红色的
servitude	 n. 奴役
verve	 n. 气魄；活力
exotic	 adj. 异域的，外国的
manicure	 v&n. 修指甲，修剪
boulevard	 n. 林荫大道，大马路
acquaint	 v. 使认识 使了解
fascinate	 v. 使着迷
labyrinth	 n. 迷宫
bazaar	 n. 集市，慈善义卖
pungent	 adj. 刺激的，辛辣的，（言辞）尖刻辛辣的
boutique	 n. 精品店
gourmet	 n. 美食家
harem	 n. 闺房
gear	 v. 使……适合，使……准备好
recruit	 v. 招聘，征召
genial	 adj. 亲切的，友好的；愉快的，高兴的
conspiracy	 n. 阴谋，共谋
elevate	 v. 举起，提高；升职，晋升；兴高采烈
indiscriminate	 adj. 不加选择的；随意的
discriminate	 v. 歧视；区分
applause	 n. 掌声
implausible	 adj. 似乎不可信的，难以置信的
tentative	 adj. 暂定的，实验性的
amorousness	 n. 爱情；色情
abrasive	 adj. 磨损的；恼人的，使人受伤的
erotic	 adj. 色情的；挑逗的
daunt	 v. 使恐吓；使气馁
dauntless	 adj. 无畏的
arduous	 adj. 辛苦的，费力的
amphitheater	 n. 环形剧场；斗兽场
bereave	 v. 剥夺；使丧失亲友
jut	 v. 使伸出；突出
stupendous	 adj. 巨大的，惊人的
sheer	 adj. 陡峭的；完全的，纯粹的；几乎透明的
demure	 adj. 端庄的；严肃的
demur	 v. 抗议，反对
colossal	 adj. 巨大的
shuffle	 v. 拖着脚走；洗牌
grimy	 adj. 肮脏的
rivulet	 n. 小溪
tumble	 v. 跌倒
stumble	 v. 蹒跚，跌倒
abbot	 n. 主持，修道院院长
trudge	 v. 跋涉，艰难的前行
panoramic	 adj. 全景的
haze	 n. 霾，薄雾
piety	 n. 虔诚
idiolect	 n. 个人习语
vaccination	 n. 接种疫苗
manicured	 adj. 修剪整齐的
pique	 v. 激起，引起
bulky	 adj. 庞大的，巨大的
eligible	 adj. 有资格的，合适的
void	 n. 空缺，空缺职位
crest	 n. 定点，顶部
diminutive	 adj. 个字矮小的
emissary	 n. 使者
paradox	 n. 悖论
grueling	 adj. 累人的 n. 粥 v. 累人的
grumpy	 adj. 脾气暴躁的
grumble	 v. 抱怨
grudge	 v. 不情愿做,吝啬
grouse	 v. 抱怨
grouch	 n. 不高兴的人，心怀不满的人
cram	 v. 挤满，塞满；死记硬背，填鸭式学的
