reproduce	 v. 复制；再生；生殖；使…在脑海中重现
pen	 n. 钢笔；作家；围栏 v. 写；关入栏中
blotter	 n. 记事簿，[会计] 流水帐；吸墨纸
lust	 n. 性欲；强烈的欲望 v. 贪求，渴望
malignant	 adj. [医] 恶性的；有害的；有恶意的 n. 保王党员；怀恶意的人
twelve	 n. 十二；十二个 num. 十二；十二个 adj. 十二的；十二个的
anal	 adj. [解剖] 肛门的，直肠的；肛门附近的 n. (Anal)人名；(土)阿纳尔
serene	 adj. 平静的；安详的；清澈的；晴朗的 n. 平静；晴朗 vt. 使平静
benign	 adj. 良性的；和蔼的，亲切的；吉利的 n. (Benign)人名；(俄)贝尼根
independent	 adj. 独立的；单独的；无党派的；不受约束的 n. 独立自主者；无党派者
knighthood	 n. 骑士；骑士身份
relative	 adj. 相对的；有关系的；成比例的 n. 亲戚；相关物；[语] 关系词；亲缘植物
conceptual	 adj. 概念上的
encase	 v. 包住；围绕；包装
headstrong	 adj. 任性的；顽固的；刚愎的
lieutenant	 n. 中尉；副官；助理人员
ought	 aux. 应该，应当；大概 vi. 应该，应当；大概
pasture	 n. 草地；牧场；牧草 v. 放牧；吃草
mackintosh	 n. 橡皮布防水衣；橡皮布
unaccountable	 adj. 无责任的；莫名其妙的；不可理解的
curry	 v. 用咖喱烧，给…加咖喱粉；梳刷；鞭打 n. 咖哩粉，咖喱；咖哩饭菜
browser	 n. [计] 浏览器；吃嫩叶的动物；浏览书本的人
tyrannical	 adj. 残暴的；暴君的；专横的
button	 n. 按钮；纽扣 v. 扣住；扣紧；在…上装纽扣
trait	 n. 特性，特点；品质；少许
stiff	 adj. 呆板的；坚硬的；严厉的；拘谨的 adv. 僵硬地；彻底地 n. 死尸；令人讨厌者；流通票据；劳动者 v. 诈骗；失信
leg	 n. 腿；支柱
wreckage	 n. （失事船或飞机等的）残骸；（船只等的）失事
quota	 n. 配额；定额；限额
announcement	 n. 公告；宣告；发表；通告
rosette	 n. 莲座丛；玫瑰形饰物；[建] 圆花饰
pastime	 n. 娱乐，消遣
lark	 n. 云雀；百灵鸟；欢乐 v. 骑马玩乐；嬉耍
borrow	 v. 借；借用；从其他语言中引入 n. (Borrow)人名；(英)博罗
keel	 v. 给…装龙骨；把…翻转 n. 龙骨；平底船；龙骨脊
British	 adj. 英国的；英国人的；大不列颠的 n. 英国人
extinction	 n. 灭绝；消失；消灭；废止
ridicule	 v. 嘲笑；嘲弄；愚弄 n. 嘲笑；笑柄；愚弄
misconduct	 n. 不端行为；处理不当 v. 处理不当；行为不检
orphan	 adj. 孤儿的；无双亲的 n. 孤儿 v. 使成孤儿
gullible	 adj. 易受骗的；轻信的
affable	 adj. 和蔼可亲的；友善的
roadside	 n. 路边；路旁 adj. 路边的；路旁的
levy	 n. 征收；征兵，征税 v. 征收（税等）；征集（兵等）
showdown	 n. 摊牌；紧要关头；最后一决胜负
atmosphere	 n. 气氛；大气；空气
maths	 n. 数学（等于mathematics）
audit	 v. 审计；[审计] 查账 n. 审计；[审计] 查账
hostel	 n. 旅社，招待所（尤指青年旅社）
doorway	 n. 门口；途径
synagogue	 n. 犹太教会堂；犹太人集会
eaves	 n. 屋檐；凸出的边缘
trestle	 n. [交] 栈桥，高架桥；支架，搁凳
defer	 v. 推迟；延期；服从 n. (Defer)人名；(法)德费
backwards	 adv. 倒；向后；逆
scrum	 n. 扭打，混乱；并列争球 vi. 参加并列争球 vt. 抛（球）开始并列争球
barrow	 n. 搬运架，手推车；弃矿；古坟
fragrant	 adj. 芳香的；愉快的
ambition	 n. 野心，雄心；抱负，志向 v. 追求；有…野心
send	 v. 发送，寄；派遣；使进入；发射 n. 上升运动
toil	 n. 辛苦；苦工；网；圈套 v. 辛苦工作；艰难地行进
recourse	 n. 求援，求助；[经] 追索权；依赖；救生索
fester	 v. 溃烂；化脓 n. 溃烂；脓疮，脓疱
Zulu	 n. 祖鲁语；祖鲁人 adj. 祖鲁人的
lemon	 adj. 柠檬色的 n. 柠檬
