good	 adj. 好的
morning	 n. 早晨；上午
Good morning!	 早上好！
hi	 interj. (用于打招呼)嗨；喂
hello	 interj. 你好；喂
afternoon	 n. 下午
Good afternoon!	 下午好！
evening	 n. 晚上；傍晚
Good evening!	 晚上好！
how	 adv. 怎样；如何
are	 v. 是（第二人称单复数现在式）
you	 pron. 你；你们
How are you?	 你好吗？
I	 pron. 我
am	 v. 是(第一人称单数现在时)
fine	 adj. 美好的；健康的
thanks	 interj. 感谢；谢谢 n. 感谢；谢谢
OK	 interj. 好；可以 adv. 好；可以
what	 pron. 什么
is	 v. 是（第三人称单数现在时）
this	 pron. 这；这个
in	 prep. (表示使用语言、材料等)用；以
English	 n. 英语 adj. 英格兰的；英格兰人的；英语的
in English	 用英语
map	 n. 地图
cup	 n. 杯子
ruler	 n. 尺；直尺
pen	 n. 笔；钢笔
orange	 n. 橙子
jacket	 n. 夹克衫；短上衣
key	 n. 钥匙
quilt	 n. 被子；床罩
it	 pron. 它
a	 art. (用于单数可数名词前)一(人、事、物)
that	 pron. 那；那个
spell	 v. 用字母拼；拼写
please	 interj. (用于客气地请求或吩咐)请
color	 n. (colour的美式拼法) 颜色
red	 adj. 红色（的） n. 红色
yellow	 adj. 黄色（的） n. 黄色
green	 adj. 绿色（的） n. 绿色
blue	 adj. 蓝色（的） n. 蓝色
black	 adj. 黑色（的） n. 黑色
white	 adj. 白色（的） n. 白色
purple	 adj. 紫色（的） n. 紫色
brown	 n. 棕色；褐色 adj. 棕色（的）；褐色（的）
the	 art. 指已提到或易领会到的人或事
now	 adv. 现在；目前
see	 v. 理解；明白
can	 v. 能；会
say	 v. 说；讲
my	 pron. 我的
name	 n. 名字；名称
nice	 adj. 令人愉快的；宜人的
to	 prep. (表明和某人或某物的关系)
meet	 v. 遇见；相逢
too	 adv. 太；也；又
your	 det. 你的；你们的
Ms.	 (于女子的姓名前，不指明婚否)女士
his	 det. 他的；它的〔指雄性动物〕
and	 conj. 和；又；而
her	 det. 中文释义: 她的;它的〔指雌性动物〕
yes	 interj. 是的；可以
she	 pron. 她
he	 pron. 他
no	 interj. 不；没有；不是
not	 adv. 不；没有
zero	 num. 零
one	 num. 一
two	 num. 二
three	 num. 三
four	 num. 四
five	 num. 五
six	 num. 六
seven	 num. 七
eight	 num. 八
nine	 num. 九
telephone	 n. 电话；电话机
number	 n. 号码；数字
phone	 n. 电话；电话机
telephone number	 电话号码
phone number	 电话号码
first	 adj. 第一
first name	 名字
last	 adj. 最后的；末尾的；最近的，最近一段时间的，最近一次的
last name	 n. 姓
friend	 n. 朋友
China	 n. 中国
middle	 adj. 中间的；中间
school	 n. 学校
middle school	 中学；初中
sister	 n. 姐；妹
mother	 n. 母亲；妈妈
father	 n. 父亲；爸爸
parent	 n. 父（母）亲
brother	 n. 兄；弟
grandmother	 n. （外）祖母；奶奶
grandfather	 n. (外)祖父；爷爷；
grandparent	 n. 祖父（母）；
family	 n. 家；家庭
those	 pron. 那些
who	 pron. 谁；什么人
oh	 interj. 哦；啊
these	 pron. 这些
they	 pron. 他（她、它）们
well	 interj. 嗯；好吧
have	 aux. 与过去分词连用构成动词的完成时态 v. 包括，包含，有
Have a good day!	 (表示祝愿)过得愉快！
bye	 interj. 再见
son	 n. 儿子
cousin	 n. 堂兄（弟、姐、妹）；表兄
