anyone	 pron. 任何人
anywhere	 adv. 任何地方 pron. 任何(一个)地方
wonderful	 adj. 精彩的；极好的
few	 adj. 很少的； n. 少量
quite a few	 相当多；不少(后接可数名词)
most	 adj. 最多的；大多数的
something	 pron. 某事物
nothing	 pron. 没有什么 n. 没有
everyone	 pron. 每人；人人
of course	 当然
myself	 pron. 我自己
yourself	 pron. 你自己；你亲自
hen	 n. 母鸡；雌禽
pig	 n. 猪
seem	 v. 似乎；好像
bored	 adj. 无聊的；厌烦的；郁闷的
someone	 pron. 某人；有人
diary	 n. 日记；日记簿
activity	 n. 活动；活跃
decide	 v. 决定；选定(decide to do sth)
try	 v. 尝试；设法；努力  (try to do sth /try doing sth)
paragliding	 n. 空中滑翔跳伞
feel like(doing sth.)	 想要
bird	 n. 鸟；禽
bicycle	 n. 自行车
building	 n. 建筑物
trader	 n. 商人
wonder	 v. 想知道；惊奇；怀疑
difference	 n. 差异；不同
top	 n. 顶部；顶
wait	 v. 等；等待(wait for)
umbrella	 n. 伞；雨伞
wet	 adj. 湿的；雨天的；雨天的
because of	 因为；由于
below	 prep. 低于；在...下面 adv. 在...下面
enough	 adj. 足够的 adv. 足够地；充分地
hungry	 adj. (反full)饥饿的；渴望的
as	 conj. 如同；像一样
hill	 n. 小山；丘陵；山冈；斜坡
duck	 n. 鸭；鸭肉
dislike	 v. 不喜欢；厌恶 n. 不喜爱；厌恶；反感
have a good time	 v. 等于enjoy oneself/have fun(doing sth)玩得痛快
Central Park	 n. 中央公园
Huangguoshu waterfall	 n. 黄果树瀑布
Hong Kong	 n. 香港
Malaysia	 马来西亚
Georgetown	 乔治城（圭亚那首都）
Weld Quay	 海乾街/码头, 位于马来西亚槟城岛(州)
Penang Hill	 马来西亚槟榔山（升旗山）
tian'anmen square	 天安门广场
the Palace Museum	 故宫博物院
housework	 n. 家务劳动
hardly	 adv. 几乎不；简直不；刚刚
ever	 adv. 在任何时候
hardly ever	 很少；几乎从不；难得
once	 adv. 一次；曾经
twice	 adv. 两次；两倍
Internet	 n. 因特网
program	 n. 程序；节目；节目单；课程
full	 adj. 满的；充满的；完全的
swing	 n. 摇摆；秋千 v. 摇摆；旋转
swing dance	 摇摆舞
maybe	 adv. 或许；也许；可能
least	 adj. 最小的；最少的
at least	 至少
junk	 n. 垃圾；废旧杂物
junk food	 n. 垃圾食品；无营养食品
coffee	 n. 咖啡；咖啡色
health	 n. 健康；人的身体或精神状态
result	 n. 结果；后果
percent	 adj. 百分之百的
online	 adj. 在线的 adv. 在线地
television	 n. 电视机；电视节目
although	 conj. 虽然；尽管；然而；可是
through	 prep. 穿过；一直到；凭借
mind	 n. 头脑；想法；意见；心思
body	 n. 身体
such	 adj. 这样的；如此的
such as	 例如；诸如
together	 adv. 共同；一起
die	 v. 死；枯竭；消失
writer	 n. 作者；作家
dentist	 n. 牙科医生
magazine	 n. 杂志
however	 adv. 然而；无论如何；不管多么
than	 conj. 比
more than	 超过；多于；；不仅仅；非常
almost	 adv. 几乎；差不多
none	 pron. 没有人；没有任何东西，毫无
less	 adj. 更少的；较少的
less than	 不到；少于
point	 n. 看法；要点；重点；小数点；目标；分数
outgoing	 adj. 外向的
better	 adj. 更好的；较好的 adv. 更好地
loudly	 adv. 大声地；高声地；花俏地
quietly	 adv. 安静地；悄悄地；平静地
hard-working	 adj. 勤勉的；努力工作的
competition	 n. 竞争；比赛
fantastic	 adj. 极好的；了不起的
which	 pron. 哪一个；哪些
clearly	 adv. 清楚地；显然地
win	 v. 赢；赢得；获胜；获得 n. 胜利
though	 conj. 虽然；尽管； adv. 不过
talented	 adj. 有才能的；有天赋的
truly	 adv. 真实地；真诚地；正确地
care	 v. 在乎；关心；担忧；照顾
care about	 关心
serious	 adj. 严重的；严肃的；庄重的
mirror	 n. 镜子；反映
kid	 n. 孩子，小孩
as long as	 只要
necessary	 adj. 必要的；必然的
be different from	 和...不同
both	 pron. 两者
bring out	 拿出；推出
grade	 n. 成绩
should	 aux. 应该；应当；可能；将要
the same as	 与...同样的
saying	 n. 名言
reach	 v. 到达；伸出；达成；取得联系；延伸；(伸手)去够
hand	 n. 手
touch	 v. 触摸；感动
heart	 n. 心脏；内心
fact	 n. 事实；真相；实际
in fact	 事实上；实际上
break	 v. 打碎；折断；违背；结束; 打破 (困难或不快的情形)
arm	 n. 胳膊
laugh	 v. 发笑；笑 n. 笑声；笑；笑料
share	 v. 分享，共享；共有；分配
loud	 adj. 大声的 adv. 大声地；响亮地
similar	 adj. 类似的
be similar to	 类似于；与...相似
primary	 adj. 小学教育的，初级教育的；原始的；最初的
primary school	 n. 小学
information	 n. 信息；情报；资料
theater	 n. 剧场；电影院；戏院
comfortable	 adj. 舒适的；充裕的
seat	 n. 座位
screen	 n. 屏幕；银幕
close	 v. 关；合拢；不开放；停业（暂时性或永久性）
ticket	 n. 票
worst	 adj. 最坏的；最差的
cheaply	 adv. 廉价地；
song	 n. 歌曲；歌唱
choose	 v. 选择；决定
carefully	 adv. 小心地，认真地
reporter	 n. 记者
so far	 到目前为止；迄今为止
fresh	 adj. 新的；新做的；新增的；新鲜的；清新的
comfortably	 adv. 舒服地；充裕地；容易地
worse	 adj. 更坏的；更差的
service	 n. 公共服务系统，公共服务；公共事业机构
pretty	 adv. 相当地 adj. 漂亮的
menu	 n. 菜单
act	 v. 行动；表演
meal	 n. 一餐；膳食
creative	 adj. 创造的，创造性的；
performer	 n. 表演者；执行者
talent	 n. 天赋；才能，才艺；
common	 adj. 常见的；共同的；普通的
have…in common	 有相同特征
magician	 n. 魔术师；术士
all kinds of	 各种各样；各种类型
beautifully	 adv. 美丽地；完美地；
be up to	 是…….的职责；由…….决定
role	 n. 作用；角色
play a role	 发挥作用；有影响
winner	 n. 获胜者
prize	 n. 奖品；奖金
everybody	 pron. 每人；人人
make up	 编造
example	 n. 例子；榜样
for example	 例如
poor	 adj. 贫穷的；可怜的
seriously	 adv. 严重地；严肃地
take…seriously	 认真对待......
give	 v. 给；赠予；送
crowded	 adj. 拥挤的
sitcom	 n. 情景喜剧（situation comedy的缩写）
situation comedy	 n. 情景喜剧
news	 n. 消息；新闻
soap	 n. 肥皂
soap opera	 n. 肥皂剧
educational	 adj. 教育的；有教育意义的
plan	 n. 计划 v. 打算；计划
hope	 v. 希望；期望；盼望 n. 希望
find out	 查明、弄清
discussion	 n. 讨论；谈论
stand	 v. 站立；忍受
happen	 v. 发生；碰巧
may	 modal. 可能，也许；可以，能够
expect	 v. 预期；期待；盼望
joke	 n. 笑话；玩笑 v. 说笑话；开玩笑
comedy	 n. 喜剧
meaningless	 adj. 无意义的；不重要的
action	 n. 行动；行为
action movie	 n. 动作片
cartoon	 n. 卡通；漫画
culture	 n. 文化
famous	 adj. 著名的；有名的
appear	 v. 似乎；显得；出现
become	 v. 变成；成为
rich	 adj. 富有的；富饶的；丰富的
successful	 adj. 成功的；圆满的
might	 modal. 可能；也许；may的过去式
main	 adj. 主要的；最重要的
reason	 n. 原因；理由
comedy.	 n. 喜剧
film	 n. 电影
unlucky	 adj. 倒霉的；不幸的；不吉利的
lose	 v. 丢失；失败
girlfriend	 n. 女朋友
ready	 adj. 准备好的；乐意的
be ready to	 愿意做某事
character	 n. 个性；品质；人物
simple	 adj. 简单的；朴素的；单纯的
dress up	 装扮；乔装打扮
take sb.’s place	 代替；替换
army	 n. 军队；陆军；一大批
do a good job	 工作干得好；做得好
grow up	 长大；成长
computer programmer	 n. 计算机管理员
cook	 v. 烹调，煮，烧，做(饭)
doctor	 n. 医生
engineer	 n. 工程师
violinist	 n. 小提琴手
driver	 n. 驾驶员；驱动程序
pilot	 n. 飞行员
pianist	 n. 钢琴家
scientist	 n. 科学家
be sure about	 确信
make sure	 确保
college	 n. 大学
education	 n. 教育
medicine	 n. 药；医学
university	 n. 大学，高等学府
London	 n. 伦敦
article	 n. 文章，论文
send	 v. 邮寄，发送
resolution	 n. 决定；决心
team	 n. (一)队(人)；(一)组(人)
foreign	 adj. 外国的
able	 adj. 聪明能干的，能力出众的
be able to	 能够做某事
question	 n. 问题
meaning	 n. 意义
discuss	 v. 讨论，商量
promise	 v. 承诺，诺言 n. 诺言
beginning	 n. 开头，开端
at the beginning of	 起初
improve	 改进，改善
write down	 写下
physical	 adj. 身体的
themselves	 pron. 他们自己
have to do with	 关于;与……有关系
self-improvement	 n. 自我改进，自我提高
take up	 学着做；开始做
hobby	 n. 业余爱好
weekly	 adj. 每周的 n. 周刊 adv. 每周一次；逐周
school work	 n. 学校作业
agree	 v. 同意；赞成
agree with	 同意
own	 pron. 自己的，本人的 v. 拥有
personal	 adj. 个人的，私人的
relationship	 n. 关系
paper	 n. 纸　
pollution	 n. 污染；污染物
prediction	 n. 预测
future	 n. 未来　
pollute	 v. 污染
environment	 n. 环境　
planet	 n. 行星
earth	 n. 地球；泥土
