matter	 v. 重要，要紧，有关系
What’s the matter?	 怎么了？出什么事了？
sore	 adj. 疼痛的，酸痛的
have a cold	 感冒
stomach	 n. 胃；腹部
stomachache	 n. 胃痛，腹痛
have a stomachache	 胃痛
foot	 n. 脚(复数feet)
neck	 n. 颈，脖子
throat	 n. 喉咙
fever	 n. 发烧，发热
lie	 v. 躺，平躺
lie down	 躺下
rest	 n. 放松，休息；剩余部分，其余
cough	 v. 咳嗽 n. 咳嗽
X-ray	 n. X光，X射线
toothache	 n. 牙痛
take one's temperature	 量体温
headache	 n. 头痛
have a fever	 发烧
break	 v. 打破；休息；中断
take breaks	 休息(take a break）
hurt	 v. 伤害，使受伤；损害
passenger	 n. 乘客，旅客
off	 adv. 离开（某处）；从…去掉
get off	 下车
to one's surprise	 使…惊讶，出乎…意料
onto	 prep. 向，朝
trouble	 n. 麻烦，烦扰，问题
hit	 v. 打；碰撞；打击
right away	 立即，马上
get into	 参与；陷入
herself	 pron. 她自己，她本身（she的反身代词）
bandage	 n. 绷带 v. 用绷带包扎
sick	 adj. 患病的，不适的
knee	 n. 膝盖
nosebleed	 n. 鼻出血
breathe	 v. 呼吸
sunburned	 adj. 晒伤的
ourselves	 pron. 我们自己（we的反身代词）
climber	 n. 登山者
be used to	 习惯于……；适应于……
risk	 n. 风险，危险；冒险 词性: v. 中文释义: 冒险
take risks	 冒险(take a risk)
accident	 n. 意外事件；事故；交通事故；车祸；失事
situation	 n. 状况，形势，情况
kg	 n. 公斤，千克(kilogram)
rock	 n. 岩石
run out (of)	 用尽，耗尽
knife	 n. 刀，餐刀
cut off	 切除
blood	 n. 血
mean	 v. 意味着，意思是；意欲
get out of	 离开，从… 出来
importance	 n. 重要性
decision	 n. 决定，抉择；果断
control	 v. 控制，支配，操纵
be in control of	 掌管，管理
spirit	 n. 勇气，意志
death	 n. 死亡
give up	 放弃
nurse	 n. 护士
clean up	 打扫（清除）干净
cheer	 v. 欢呼
cheer up	 变得更高兴，振奋起来
give out	 分发，散发
volunteer	 n. 志愿者 v. 义务做
come up with	 想出，提出
put off	 推迟
sign	 n. 标记，标牌；符号
notice	 v. 注意到 n. 通知，公告
hand out	 分发
call up	 打电话给…某人，征召；征召
used to	 曾经……，过去……
lonely	 adj. 孤独的，寂寞的
care for	 照顾，非常喜欢
several	 prep. 几个，数个，一些
strong	 adj. 强壮的；强烈的
feeling	 n. 感觉，感触
satisfaction	 n. 满足，满意
joy	 n. 高兴，愉快
owner	 n. 所有者，物主
try out	 试用，试验
journey	 n. （尤指长途）旅行，行程
raise	 v. 抬起，举起；筹集，征集
alone	 adv. 独自地；孤独地
repair	 v. 修理，修补
fix	 v. 修理；安装
fix up	 修理，修补
give away	 赠送，捐赠
take after	 （外貌或行为）像
broken	 adj. 破损的，残缺的
wheel	 n. 轮子，车轮 v. 推动
letter	 n. 信件；字母
Miss	 n. 小姐
set up	 建立，设立
disabled	 adj. 有残疾的，丧失能力的
make a difference	 影响，有作用
blind	 adj. 盲的，失明的；盲的，盲目的
deaf	 adj. 聋的
imagine	 v. 想象，设想
difficulty	 n. 困难
open	 v. 打开
door	 n. 门
carry	 v. 携带；搬运；拿
train	 v. 训练，培养
training	 n. 训练，培训
excited	 adj. 激动的，兴奋的
kindness	 n. 仁慈，善良，亲切，善意
clever	 adj. 聪明的，机灵的
understand	 v. 懂，理解
change	 v. 改变 n. 改变
interest	 n. 兴趣 v. 使感兴趣
sir	 n. 先生
madam	 n. 夫人，女士
rubbish	 n. 垃圾，废物
take out the rubbish	 倒垃圾
fold	 v. 对折，折叠
mess	 n. 脏乱；混乱；食堂
throw	 v. 扔，投掷
all the time	 频繁，反复
neither	 pron. 二者都不 adv. 也不
shirt	 n. 运动衫，衬衫
as soon as	 一…就…，尽快
pass	 v. 经过；前行；批准
borrow	 v. 借，借用
lend	 v. 借给，借出
finger	 n. 手指
hate	 v. 憎恶，讨厌
chore	 n. 杂务；乏味的工作
while	 conj. 当…时候；而，然而
snack	 n. 小吃，点心；快餐
stress	 n. 精神压力，心理负担
waste	 v. 浪费；消耗
in order to	 目的是，为了
provide	 v. 提供，供给，供应
anyway	 adv. 尽管如此
depend	 v. 依靠，依赖；取决于
depend on	 依靠于
develop	 v. 发展，壮大；开发，研制
independent	 adj. 独立自主的，不受约束的
independence	 n. 独立
fair	 adj. 公平的，公正的
unfair	 adj. 不公平的，有偏见的
fairness	 n. 公正性，合理性
since	 conj. 因为，既然
neighbor	 n. 邻居
take care of	 照顾；处理
ill	 adj. 生病的，有病的
drop	 v. 落下，跌落
allow	 v. 允许，准许
wrong	 adj. 错误的
What's wrong?	 哪儿不舒服？
midnight	 n. 午夜，子夜
look through	 浏览，逐一查看
guess	 v. 猜测，估计
deal	 v. 处理，应付（与with连用）
big deal	 重要的事
work out	 解决；成功地发展
get on well (with)	 和睦相处，关系良好
relation	 n. 联系；关系，交往
communicate	 v. 沟通,通信,通讯
communication	 n. 交流，沟通
argue	 v. 争论，争吵
cloud	 n. 云
elder	 adj. 年纪较长的
instead	 adv. 代替
whatever	 pron. 任何；不管什么,无论什么
nervous	 adj. 紧张不安的
offer	 v. 提供，自愿给予
proper	 adj. 合适的，适当的
secondly	 adv. 第二，其次
explain	 v. 讲解，解释，说明
clear	 adj. 清晰的，清楚易懂的
copy	 v. 复制
return	 v. 回来，返回；归还
anymore	 adv. 与 not 连用表示 不再，再也不
member	 n. 成员，会员
pressure	 n. 压力
compete	 v. 比赛，竞争
opinion	 n. 意见，想法，看法
skill	 n. 技能，技巧
typical	 adj. 典型的
football	 n. 足球
cut out	 删去，删除
quick	 adj. 快的，短时间的；迅速的
continue	 v. 继续，延续
compare	 v. 比较
compare…with	 比较，对比
crazy	 adj. 疯狂的；狂热的
development	 n. 发育，成长，发展
cause	 n. 原因 v. 造成，使发生
usual	 adj. 通常的，平常的
in one's opinion	 依… 看
perhaps	 adv. 可能，大概，也许
rainstorm	 n. 暴风雨
alarm	 n. 闹钟
go off	 （警报器）发出响声
begin	 v. 开始
heavily	 adv. 在很大程度上，大量地
suddenly	 adv. 突然地
pick up	 接; 取
strange	 adj. 奇怪的，奇特的；陌生的
storm	 n. 暴风雨
wind	 n. 风
light	 n. 灯；电灯 v. 点燃
report	 v. 报导，报告
area	 n. 地域，地区；范围
wood	 n. 木材，树木
window	 n. 窗户
flashlight	 n. 手电筒
match	 n. 比赛；火柴
beat	 v. 打败；敲打
against	 prep. 反对；对…不利
asleep	 adj. 睡着的，熟睡的
fall asleep	 进入梦乡，睡着
die down	 逐渐变弱，逐渐消失
rise	 v. 上升；升起
fallen	 adj. 倒下的，落下的
apart	 adv. 分离，分开
have a look	 看一看
icy	 adj. 冰冷的；覆盖着冰的
kid	 n. （口语）小孩 v. 开玩笑；欺骗 (自己)
realize	 v. 认识到，了解
make one's way	 前往，费力地前进
passage	 n. 章节，段落
pupil	 n. 学生
completely	 adv. 彻底地，完全地
shocked	 adj. 震惊的，震撼的
silence	 n. 寂静；沉默
in silence	 沉默，无声
recently	 adv. 不久前，近来，最近
take down	 取下；拆除；记录
terrorist	 n. 恐怖分子
date	 n. 日期，日子
tower	 n. 塔
at first	 首先，最初
truth	 n. 真相 ；事实；真理
shoot	 v. 射击； 射死，射伤；投篮
stone	 n. 石头
weak	 adj. 虚弱的，柔弱的
god	 n. 上帝，神
remind	 v. 提醒，使想起
bit	 n. 一点；小块
a little bit	 有点儿，稍微
silly	 adj. 愚昧的； n. 傻子，蠢货
instead of	 代替，而不是…
turn into	 变成
object	 n. 物体，物品；目标
hide	 v. 隐藏；躲藏
tail	 n. 尾巴
magic	 n. 魔法，巫术
stick	 v. 刺，戳，插 n. 棍，棒
excite	 v. 使激动，使兴奋
Western	 adj. 在西部的；来自西部的；西方的，欧美的
once upon	 从前
stepsister	 n. 继姐（妹）
prince	 n. 王子
fall in love	 爱上，喜欢上
fit	 v. 适合；合身
couple	 n. （尤指）夫妻，两人
smile	 v. 微笑 n. 微笑
marry	 v. 与某人结婚
get married	 结婚
gold	 n. 黄金；金币
emperor	 n. 皇帝
silk	 n. 丝绸
underwear	 n. 内衣
nobody	 pron. 无人,没有任何人,谁也不
stupid	 adj. 愚蠢的,傻的 n. 傻子
cheat	 v. 欺骗，愚弄
stepmother	 n. 继母
wife	 n. 妻子
husband	 n. 丈夫
whole	 adj. 全部的，整体的
scene	 n. （戏剧）场景
moonlight	 n. 月光
shine	 v. 照耀，发光
bright	 adj. 明亮的,发亮的
ground	 n. 地面；沃土
lead	 n. 带头(做某事)；主角 v. 带路
voice	 n. 嗓音
brave	 adj. 勇敢的
square	 n. 正方形；平方
meter	 n. 米
deep	 adj. 深的
desert	 n. 沙漠
population	 n. 人口(数量）；全体居民
Asia	 n. 亚洲
feel free	 （可以）随便（做某事)
tour	 n. 旅行，观光
wall	 n. 墙
amazing	 adj. 令人惊异的
ancient	 adj. 古代的；古老的
protect	 v. 保护
wide	 adj. 宽的；广阔的
as far as I know	 就我所知
achieve	 v. 完成，实现
achievement	 n. 成就，成绩
southwestern	 adj. 西南的,西南方向的
thick	 adj. 厚的；浓的
include	 v. 包括，包含
freezing	 adj. 极冷的；冷冻的
condition	 n. 条件；状况
take in	 吸入，吞入
succeed	 v. 成功，实现目标，完成
challenge	 n. 挑战，考验 v. 质疑，对…表示怀疑
in the face of	 面对（问题，困难）
force	 n. 力，力量；军事行动，武力
nature	 n. 自然界，大自然
even though	 v. （等于even if） 即使，虽然
ocean	 n. 海洋
the Pacific Ocean	 太平洋
cm	 n. 厘米(等于centimeter)
weigh	 v. 重量是…；称…重量
birth	 n. 生孩子；生下（某人）；出生；诞生
at birth	 出生时
up to	 到达（某数量，程度），不多于
adult	 n. 成年人
bamboo	 n. 竹子
endangered	 adj. 濒临灭绝的，濒危的；有危险的
research	 n. 研究，调查；研究；探索 v. 研究；探索
keeper	 n. 饲养员；保管人
awake	 adj. 醒着
excitement	 n. 激动，兴奋
walk into	 走进
fall over	 倒下
illness	 n. 疾病，生病
