textbook	 n. 教科书；课本
conversation	 n. 交谈；谈话
aloud	 adv. 大声地；出声地
pronunciation	 n. 发音；读音
sentence	 n. 句子
patient	 adj. 有耐心的 n. 病人
expression	 n. 表达（方式）；表示
discover	 v. 发现
secret	 n. 秘密；秘诀 adj. 秘密的；保密的
fall in love with	 爱上；与...相爱
grammar	 n. 语法
repeat	 v. 重复；重说；重写；重做
note	 n. 笔记；记录 v. 注意；指出
pal	 n. 朋友；伙伴
pattern	 n. 模式；方式
physics	 n. 物理；物理学
chemistry	 n. 化学
partner	 n. 搭档；同伴
pronounce	 v. 发音
increase	 v. 增加；增长
speed	 n. 速度
ability	 n. 能力；才能
brain	 n. 大脑
active	 adj. 活跃的；积极的
attention	 n. 注意；关注
pay attention to	 注意；关注
connect	 v. （使）连接；与...有联系
connect … with	 把...和...连接或联系起来
overnight	 adv. 一夜之间；在夜间
review	 n. 回顾 v. 复习；回顾
knowledge	 n. 知识；学问
wisely	 adv. 明智地；聪明地
Annie	 安妮（女名）
Alexander Graham Bell	 亚历山大 • 格雷厄姆 • 贝尔
lantern	 n. 灯笼
stranger	 n. 陌生人
relative	 n. 亲属；亲戚
put on	 增加（体重）；发胖
pound	 n. 磅（重量单位）；英镑（英国货币单位）
folk	 adj. 民间的；民俗的
goddess	 n. 女神
steal	 v. 偷；窃取
lay	 v. 放置；安放；产（卵）；下（蛋）
lay out	 摆放；布置
dessert	 n. （饭后）甜点；甜食
garden	 n. 花园；园子
admire	 v. 欣赏；仰慕
tie	 n. 领带 v. 捆；束
haunted	 adj. 有鬼魂出没的；闹鬼的
ghost	 n. 鬼；鬼魂
trick	 n. 花招；把戏
treat	 n. 款待；招待 v. 招待；请（客）
spider	 n. 蜘蛛
Christmas	 n. 圣诞节
fool	 n. 蠢人；傻瓜 v. 愚弄 adj. 愚蠢的
lie	 v. 平躺；处于
novel	 n. （长篇）小说
eve	 n. （尤指宗教节假日的）前夕；前夜
bookstore	 n. 书店
dead	 adj. 死的；失去生命的
business	 n. 生意；商业
punish	 v. 处罚；惩罚
warn	 v. 警告；告诫
present	 n. 礼物；现在 adj. 现在的
nobody	 pron. 没有人
warmth	 n. 温暖；暖和
spread	 n. 蔓延；传播 v. 传播；展开
Macao	 澳门
Chiang Mai	 清迈（泰国城市）
Halloween	 万圣节前夕
Valentine’s Day	 情人节
Clara	 克拉拉（女名）
Santa	 圣诞老人
Charles  Dickens	 查尔斯 • 狄更斯（英国作家）
Scrooge	 斯克鲁奇 n. （非正式）吝啬鬼
Jacob   Marley	 雅各布 • 马利
restroom	 n. （美）洗手间；公共厕所
stamp	 n. 邮票；印章
postcard	 n. 明信片
pardon	 interj. 请再说一遍；抱歉，对不起
