survey	 n. 调查；测验
add up	 合计
upset	 adj. 心烦意乱的；不安的；不适的 v. (过去式 upset, 过去分词 upset) 使不安；使心烦
ignore	 v. 不理睬；忽视
calm	 v. （使）平静；（使）镇定 adj. 平静的；镇静的；沉着的
calm(…)down	 （使）平静下来；（使）镇定下来
have got to	 不得不；必须
concern	 v. （使）担忧；涉及；关系到 n. 担心；关注 ；（利害）关系
be concerned about	 关心；挂念
walk the dog	 遛狗
loose	 adj. 松的；松开的
vet	 n. 兽医
go through	 经历；经受
Amsterdam	 n. 阿姆斯特丹（荷兰首都）
Netherlands	 n. 荷兰（西欧国家）
Jewish	 adj. 犹太人的；犹太族的
German	 adj. 德国的；德国人的；德语的 n. 德国人；德语
Nazi	 n. 纳粹党人 adj. 纳粹党的
set down	 记下；放下；制定
series	 n. 连续；系列
a series of	 一连串的；一系列；一套
Kitty	 n. 基蒂（女名）
outdoors	 adv. 在户外；在野外
spellbind	 v. (过去式 spellbound, 过去分词 spellbound)迷住；迷惑
on purpose	 故意
in order to	 为了……
dusk	 n. 黄昏；傍晚
at dusk	 在黄昏时刻
thunder	 v. 打雷；雷鸣 n. 雷；雷声
entire	 adj. 整个的；完全的；全部的
entirely	 adv. 完全地；全然地；整个地
power	 n. 能力；力量；权力
face to face	 面对面地
curtain	 n. 窗帘；门帘；幕布
dusty	 adj. 积满灰尘的
no longer	 不再……
not…any longer	 不再……
partner	 n. 合作者；合伙人；伙伴
settle	 v. 安家；定居；停留；解决
suffer	 v. 遭受；忍受；经历
suffer from	 遭受；患病
loneliness	 n. 孤单；寂寞
highway	 n. 公路；大路
recover	 v. 痊愈；恢复；重新获得
get tired of	 对……厌烦
be tired of	 对……厌烦
pack	 v. 捆扎；包装；打行李 n. 小包；包裹
pack (sth) up	 将（东西）装箱打包
suitcase	 n. 手提箱；衣箱
Margot	 n. 玛戈（女名）
Overcoat	 n. 大衣；外套
teenager	 n. 十几岁的青少年
get along with	 与……相处；进展
gossip	 n. 闲话；闲谈 v. 说闲话，说长道短
fall in love	 相爱；爱上
exactly	 adv. 确实如此；正是；确切地
disagree	 v. 不同意
grateful	 adj. 感激的；表示谢意的
dislike	 v. 不喜欢；厌恶 n. 不喜欢；厌恶
join in	 参加；加入
tip	 n. 尖；尖端；提示；技巧；小费 v. 倾斜；翻倒
secondly	 adv. 第二；其次
swap	 v. 交换
item	 n. 项目；条款
subway	 n. <美>地铁；地下人行道
elevator	 n. 电梯；升降机
petrol	 n. <英>汽油（<美>gasoline）
gas	 n. 气体；汽油；煤气；毒气
official	 adj. 官方的；正式的；公务的
voyage	 n. 航行；航海
conquer	 v. 征服；占领
because of	 因为；由于
native	 adj. 本国的；本地的 n. 本地人；本国人
Amy	 n. 艾米（女名）
come up	 走近；上来；提出
apartment	 n. <美> 公寓住宅；单元住宅
actually	 adv. 实际上；事实上
AD	 公元
base	 v. 以……为根据 n. 基部；基础；基地
at present	 现在；目前
gradual	 adj. 逐渐的；逐步的
gradually	 adv. 逐渐地；逐步地
Danish	 n. 丹麦语 adj. 丹麦的；丹麦人的；丹麦语的
enrich	 v. 充实；改善；使富裕
vocabulary	 n. 词汇；词汇量；词表
Shakespeare	 莎士比亚（英国剧作家，诗人）
make use of	 利用；使用
spelling	 n. 拼写；拼法
Samuel Johnson	 塞缪尔•约翰逊（英国作家，批评家）
Noah Webster	 诺厄•韦伯斯特（美国词典编纂家）
latter	 adj. 较后的；后半的；（两者中）后者的
identity	 n. 本身；本体；身份
fluent	 adj. 流利的；流畅的
fluently	 adv. 流利地；流畅地
Singapore	 n. 新加坡（东南亚国家）
Malaysia	 n. 马来西亚（东南亚国家）；马来群岛
such as	 例如……；像这种的
frequent	 adj. 频繁的；常见的
frequently	 adv. 常常；频繁地
usage	 n. 词语惯用法；使用；用法
command	 n. 命令；指令；掌握〔尤指语言〕 v. 命令；指令；掌握
request	 n. 请求；要求 v. 请求；要求
dialect	 n. 方言
expression	 n. 表示；表达；词语
midwestern	 adj. 中西部的 有中西部特性的
African	 adj. 非洲的；非洲人的；非洲语言的
Spanish	 adj. 西班牙的；西班牙人的；西班牙语的 n. 西班牙人；西班牙语
play a part (in)	 扮演一个角色；参与
eastern	 adj. 东方的；东部的
southeastern	 adj. 东南方的；来自东南的
northwestern	 adj. 西北方的；来自西北的
recognize	 v. 辨认出；承认，公认
lorry	 n. <英>卡车（<美>truck）
Lori	 n. 罗丽（女名）
Houston	 n. 休斯顿（美国城市）
Texas	 n. 德克萨斯州（美国州名）
accent	 n. 口音；腔调；重音
Buford	 n. 布福德（姓氏；男名）
Lester	 n. 莱斯特（姓错；男名）
catfish	 n. 鲶鱼
lightning	 n. 闪电
straight	 adv. 挺直；直接 adj. 直的；笔直的；正直的；正直的
block	 n. 块；木块；石块；街区
cab	 n. 出租车
journal	 n. 杂志；定期刊物；日记
transport	 n. 运送；运输 v. 运输；运送
prefer	 v. 更喜欢；选择某事物（而不选择其他事物）
disadvantage	 n. 不利条件；不便之处
fare	 n. 费用
route	 n. 路线；路途
Mekong	 n. 湄公河
flow	 v. 流动；流出 n. 流动；流量
ever since	 从那以后
persuade	 v. 说服；劝说
cycle	 v. 骑自行车
graduate	 v. 毕业 n. 大学毕业生
finally	 adv. 最后；终于
schedule	 n. 进度表；时间表 v. 为某事安排时间
fond	 adj. 喜爱的；慈爱的；宠爱的
be fond of	 喜爱；喜欢
shortcoming	 n. 缺点
stubborn	 adj. 顽固的；固执的
organize	 v. 组织；成立
care about	 关心；忧虑；惦念
detail	 n. 细节；详情
source	 n. 来源；水源
determine	 v. 确定；决定；下定决心
determined	 adj. 坚决的；有决心的
change one’s mind	 改变主意
journey	 n. 旅行；旅程
altitude	 n. 海拔高度；高处
make up one’s mind	 下决心；决定
give in	 投降；屈服；让步
atlas	 n. 地图；地图集
glacier	 n. 冰河；冰川
Tibetan	 adj. 西藏的；藏族的；藏族人的 n. 西藏人；藏族人；（西）藏语
rapids	 n. 急流
valley	 n. （山）谷；流域
waterfall	 n. 瀑布
pace	 v. 缓慢而行；踱步 n. 速度；步调；一步
bend	 n. 弯；拐角 v. (过去式 bent, 过去分词 bent) 使弯曲；弯身；弯腰
meander	 n. （指河流等）蜿蜒缓慢流动
delta	 n. 三角洲
attitude	 n. 态度；看法
Qomolangma	 n. 珠穆朗玛峰
boil	 v. （指液体）沸腾；（水）开
forecast	 n. 预测；预报 v. 预测；预报
parcel	 n. 小包；包裹
insurance	 n. 保险
wool	 n. 羊毛；毛织品
as usual	 照常
reliable	 adj. 可信赖的；可靠的
view	 n. 观点；见解；风景；视野 v. 观看；注视；考虑
yak	 n. 牦牛
pillow	 n. 枕头；枕垫
midnight	 n. 午夜；子夜
at midnight	 在午夜
flame	 n. 火焰；光芒
beneath	 prep. 在……下面
Laos	 n. 老挝（东南亚国家）
Laotian	 n. 老挝人 adj. 老挝（人）的
temple	 n. 庙宇；寺庙
cave	 n. 洞穴；地窖
earthquake	 n. 地震
quake	 n. 地震
right away	 立刻；马上
well	 n. 井
crack	 n. 裂缝；噼啪声 v. （使）开裂；破裂
smelly	 adj. 发臭的；有臭味的
farmyard	 n. 农场；农家
pipe	 n. 管；导管
burst	 v. (过去式 burst, 过去分词 burst) 爆裂；爆发 n. 突然破裂；爆发
million	 n. 百万
event	 n. 事件；大事
as if	 仿佛；好像
at an end	 结束；终结
nation	 n. 民族；国民；国家
canal	 n. 运河；水道
steam	 n. 蒸汽；水汽
dirt	 n. 污垢；泥土
ruin	 n. 废墟 v. 使破产；毁灭
in ruins	 严重受损；破败不堪
suffering	 n. 苦难；痛苦
extreme	 adj. 极度的
injure	 v. 损害；伤害
survivor	 n. 幸存者；生还者；残存物
destroy	 v. 破坏；毁坏；消灭
brick	 n. 砖；砖块
dam	 n. 水坝；堰堤
track	 n. 足迹；痕迹；轨道，铁轨
useless	 adj. 无用的；无效的；无益的
shock	 v. （使）震惊；震动 n. 打击；震惊；休克
rescue	 v. 援救；营救 n. 援救；营救
trap	 v. 使陷入困境 n. 陷阱；困境
electricity	 n. 电
disaster	 n. 灾难；灾祸
dig out	 掘出；发现
bury	 v. 埋葬；掩埋；隐藏
mine	 n. 矿；矿山；矿井
miner	 n. 矿工
shelter	 n. 掩蔽；掩蔽处；避身处
a (great) number of	 许多；大量的
title	 n. 标题；头衔
reporter	 n. 记者
bar	 n. 条；棒；条状物
