venture	 n. （有风险的）商业、企业 v. 冒险，敢于去
web	 n. （蜘蛛等的）网
Scottish	 adj. 苏格兰的，苏格兰人的，苏格兰英语的
suffering	 n. 苦处，难受，苦难
gall-bladder	 n. 胆囊
strengthen	 n. 加强，巩固
Perce Blackborrow	 珀斯.布莱克鲍罗
Sir Ernest Shackleton	 欧内斯特.沙克尔顿爵士
endurance	 n. 忍耐，持久，耐（性）
hut	 n. 小屋，棚屋
stove	 n. 炉子
unbearable	 adj. 无法忍受的，承受不住的
cosy	 adj. 舒适的，安逸的
block out	 封闭
breathless	 adj. 喘不过气来的
rotten	 adj. 腐烂的，变质的
blacken	 v. 使变黑
circumstance	 n. 客观环境；详情；境况
blast	 n. 一阵（风），一股（气流）
hoarse	 adj. 嘶哑的
bless	 v. 祝福，保佑
selfish	 adj. 自私的
Tom Orde-Lees	 汤姆.奥德.利兹
hook	 n. 钩，吊钩 v. 迷上；勾住
aboard	 adv. 在船（飞机，车上）上，上船（飞机，车等）
seasickness	 n. 晕船
anyhow	 adv. 无论如何
steward	 n. （轮船，飞机等）乘务员，膳务员
crush	 v. 碾碎，粉碎，（使）变形
mourn	 v. 哀伤，忧伤
urgent	 adj. 急迫的，紧急的
bedding	 n. 被褥；（家畜）草垫
Hussey	 赫西
banjo	 n. 班卓琴，五弦琴
vital	 adj. 重要的；生死攸关的
cheerful	 adj. 愉快的，高兴的
persevere	 vt. 坚持
perseverance	 n. 坚持不懈
faith	 n. 信任，信念，信仰，忠实
give way to	 让路，让步
framework	 n. 框架；结构
rank	 n. 等级，军衔，军阶
morale	 n. 士气，精神状态
select	 n. 选择，挑选
booming	 n. 发隆声的
swear	 v. 宣誓，发誓
advocate	 v. 支持，拥护，提倡
freezing	 adj. 冰冻的，严寒的
stool	 n. 凳子；大便
gratitude	 n. 感激，感恩
punishment	 n. 惩罚，惩处
loyal	 adj. 忠实的，忠诚的
tactful	 adj. 机智的，圆滑的，言行得体的
Frank Worsley	 弗兰克.沃斯利
odd	 adj. 古怪的；奇数的，单数的
stout	 adj. 结实的；矮胖的；顽强的
Hubert Hudson	 休伯特.哈德逊
optimism	 n. 乐观，乐观主义
delay	 v. 耽搁，延迟 n. 耽误，延迟
discourage	 v. 使……气馁
dynamic	 adj. 动力的，经历充沛的，有活力的
regular	 adj. 规则的，定期的，常规的
grasp	 v. 抓住，抓紧；掌握
give off	 发出（蒸汽，光等）
Lionel Greenstreet	 莱昂内尔.格林斯特里特
bored	 adj. 无聊的，无聊的，烦人的
liver	 n. 肝脏
chef	 n. 厨师，主厨
changeable	 adj. 可改变的
caution	 n. 小心，谨慎，警告
sun-blindness	 n. 日盲症，（因阳光强烈导致的暂时）失明
admirable	 adj. 令人钦佩的，绝妙的，极好的
commitment	 n. 许诺，委托事项，承担义务
proverb	 n. 谚语
King Lear	 李尔王
respectful	 adj. 尊敬的，恭敬的
disrespectful	 adj. 失礼的，无礼的
disrespectfully	 adv. 失礼地，无理地
emperor	 n. 皇帝，君主
shorten	 v. 缩短，使变短
modernize	 vt. 使现代化
throne	 n. 王座，王位
Regan	 里根
Goneril	 贡纳莉
Cordelia	 科迪莉亚
duke	 n. 公爵
Albany	 奥尔巴尼
Cornwall	 康沃尔
Kent	 n. 肯特
burden	 n. 负担，担子
hand over	 移交（权力、责任）
responsibility	 n. 责任，职责
boundary	 n. 边界，分界线
allocate	 v. 分派，分配
whichever	 pron. 无论哪一个，任何
darling	 n. 心爱的人 adj. 亲爱的，可爱的
adore	 v. 爱慕；喜爱
pray	 v. 祈祷；恳求，请
care for	 关怀，照顾
majesty	 n. 最高权威，王权；雄伟
lord	 n. 封建领主，地主，统治者；（宗）上帝
bridegroom	 n. 新郎
distribute	 vt. 分发，分配
