Auckland	 n. 奥克兰（新西兰北岛西北岸港口城市）
Maori	 n. （新西兰的）毛利人，毛利语；毛利语
kiwi	 n. 几维鸟（新西兰产的一种无翼鸟）
Stewart Island	 斯图尔特岛（新西兰一岛屿）
tectonic	 adj. 地壳构造上的，起因于地壳运动的
geological	 adj. 地质学的，地质的
geology	 n. 地质学
plateau	 n. 高原
Alps	 n. 阿尔卑斯山
backbone	 n. 脊椎，脊柱
graze	 v. 放牧，吃草
strip	 n. 狭长的地域或水域
Christchurch	 克莱斯特彻奇（新西兰南岛东岸港口城市）
carve	 v. 雕刻，切开
paddle	 v. 用桨划（小船）
uninhabited	 adj. 无人居住的，杳无人迹的
extinction	 n. 绝种，灭绝
fern	 n. 蕨类植物
scarce	 adj. 缺乏的，不足的
warlike	 adj. 好战的，尚武的，善战的
tribe	 n. 部落，部族
wipe out	 清除，垮台
take over	 接管，接收
fence	 n. 栅栏，篱笆，围墙
immunity	 n. 免疫性
immune	 adj. 免疫的，免受（伤害）的
Christianity	 n. 基督教
treaty	 n. 条约，协议，协定
representative	 n. 代表
owenrship	 n. 所有权，物主身份
unrest	 n. 不安的状态，动乱
civilian	 n. 平民
bungee jumping	 蹦极跳
fasten	 v. 系牢，栓紧，使固定
elastic	 adj. 有弹性的
suspension	 n. 悬架，减震装置；悬浮液
appetite	 n. 食欲，胃口
buffet	 n. 自助餐
pasta	 n. 意大利面食（包括通心粉及面条等）
porter	 n. 守门人；行李搬运工
suite	 n. （宾馆中的）套房
lounge	 n. 休息室；起居室
laundry	 n. 洗衣店
helicopter	 n. 直升飞机
brunch	 n. 早午餐
Napier	 内皮尔（新西兰北岛东岸港口城市）；纳皮尔（人名）
Burma	 n. 缅甸
Lake Taupo	 陶波湖（新西兰最大湖）
dairy	 n. 牛奶场；乳品公司
statistics	 n. 统计数据
eco-friendly	 adj. 对生态环境友好的，不妨害生态环境的
subtropical	 adj. 亚热带的
fiord	 n. 峡湾，海湾
not to mention	 不必提及，更不用说
recreation	 n. 娱乐，消遣
raft	 n. 木筏，木排
abseil	 n. （登山运动员）绕绳下降，悬绳滑锁
get around	 到处走动
hemisphere	 n. 半球
schedule	 n. 时间表，进度表
