cultural	 adj. 文化的
relic	 n. 遗物；遗迹；纪念物
rare	 adj. 稀罕的；稀有的；珍贵的
valuable	 adj. 贵重的；有价值的
survive	 v. 幸免；幸存；生还
vase	 n. 花瓶；瓶
dynasty	 n. 王朝；朝代
Taj Mahal	 泰姬陵
ivory	 n. 象牙
dragon	 n. 龙
amber	 n. 琥珀色；琥珀
in search of	 寻找
Frederick William I	 腓特烈•威廉一世（普鲁士国王）
Prussia	 n. （史）普鲁士（位于北欧）
amaze	 v. 使吃惊；惊讶
amazing	 adj. 惊人的，了不起的
select	 v. 挑选；选择
honey	 n. 蜜；蜂蜜
design	 n. 设计；图案；构思 v. 设计；计划；构思
fancy	 adj. 〔酒店、餐厅、汽车等〕昂贵的，豪华的 v. 喜欢，想要
style	 n. 风格；类型；风度
decorate	 v. 装修；装饰
jewel	 n. 珠宝；宝石
artist	 n. 艺术家
belong	 v. 属于；为……的一员
belong to	 属于
Peter the Great	 彼得大帝（俄国皇帝）
in return	 作为报答；回报
Czar	 n. 沙皇
troop	 n. 军队；群；组
St Petersburg	 n. 圣彼得堡（俄罗斯城市）
reception	 n. 接待；招待会；接收
CatherineⅡ	 叶卡捷琳娜二世（俄国女皇）
at war	 处于交战状态
remove	 v. 移动；搬开
less than	 少于
wooden	 adj. 木制的
doubt	 n. 怀疑；疑惑 v. 怀疑；不信
Konigsberg	 n. 哥尼斯堡（俄罗斯港市Kaliningrad的旧称）
the Baltic Sea	 波罗的海
mystery	 n. 神秘；神秘的事物
former	 adj. 以前的；从前的
worth	 prep. 值得的；相当于……的价值 n. 价值；作用 adj. [古]值钱的
rebuild	 v. 重建
local	 adj. 本地的；当地的
apart	 adv. 分离地；分别地
take apart	 拆开
Leningrad	 n. 列宁格勒（苏联城市）
painting	 n. 绘画；画
castle	 n. 城堡
Windsor Castle	 温莎城堡（英国著名城堡）
trial	 n. 审判；审讯；试验
eyewitness	 n. 目击者；证人
evidence	 n. 根据；证据
Jan Hasek	 简•哈兹克（男名）
Czech Republic	 捷克共和国（东欧国家）
explode	 v. 爆炸
entrance	 n. 入口
Hans Braun	 汉斯•布朗（男名）
sailor	 n. 水手；海员；船员
sink	 v. (过去式 sank, 过去分词 sunk; 过去式 sunk, 过去分词 sunken) 下沉；沉下
Anna Petrov	 安娜•帕特罗夫（女名）
maid	 n. 女仆；少女
Berlin	 n. 柏林（德国首都）
think highly of	 看重；器重
Johann Webber	 约翰•韦伯（男名）
informal	 adj. 非正式的
debate	 n. 争论；辩论 v. 争论；辨论
ancient	 adj. 古代的；古老的
compete	 v. 竞争；比赛
competitor	 n. 竞争者
take part in	 参加；参与
medal	 n. 奖章；勋章；纪念章
stand for	 代表；象征；表示
mascot	 n. 吉祥物
Pausanias	 帕萨尼亚斯（男名；古希腊人名）
Greece	 n. 希腊
Greek	 adj. 希腊（人）的；希腊语的 n. 希腊人；希腊语
magical	 adj. 巫术的；魔术的；有魔力的
volunteer	 n. 志愿者；志愿兵 v. 自愿
homeland	 n. 祖国；本国
regular	 adj. 定期的；常规的；规则的
basis	 n. 基础；根据
athlete	 n. 运动员；运动选手
admit	 v. 容许；承认；接纳
slave	 n. 奴隶
nowadays	 adv. 现今；现在
gymnastics	 n. 体操；体能训练
athletics	 n. 体育运动；田径运动
Stadium	 n. （露天大型）体育场
gymnasium	 n. 体育馆；健身房
gym	 n. 体育馆；健身房
as well	 也；又；还
host	 v. 做东；主办；招待 n. 主人
responsibility	 n. 责任；职责
olive	 n. 橄榄；橄榄树；橄榄绿
wreath	 n. 花圈；花冠；圈状物
replace	 v. 取代；代替；替换
motto	 n. 座右铭；格言；警句
swift	 adj. 快的；迅速的
similarity	 n. 相似点
Athens	 n. 雅典（希腊首都）
charge	 v. 收费；控诉 n. 费用；主管
in charge	 主管；看管
physical	 adj. 身体的；物理的
fine	 v. 罚款
poster	 n. 海报；招贴
advertise	 v. 做广告；登广告
Atlanta	 n. 亚特兰大（女名；城市名）
princess	 n. 公主
glory	 n. 光荣；荣誉
bargain	 v. 讨价还价；讲条件 n. 便宜货
prince	 n. 王子
hopeless	 adj. 没有希望的；绝望的
Hippomenes	 n. 希波墨涅斯（男名；古希腊人名）
foolish	 adj. 愚蠢的；傻的
goddess	 n. 女神
pain	 n. 疼痛；痛苦
one after another	 陆续地；一个接一个地
deserve	 v. 应受（报答或惩罚）；值得
striker	 n. （足球的）前锋
abacus	 n. 算盘
calculator	 n. 计算器
PC	 （personal computer）个人电脑；个人计算机
laptop	 n. 手提电脑
PDA	 (personal digital assistant)掌上电脑；个人数码助理
analytical	 adj. 头脑周密的
calculate	 v. 计算
universal	 adj. 普遍的；通用的
simplify	 v. 简化
sum	 n. 金额；总数；算术题
Charles Babbage	 查尔斯•巴比奇（英国数学教授）
operator	 n. 电话接线员；〔机器或设备的〕操作者，操作员
logical	 adj. 合情理的；合逻辑的
logically	 adv. 逻辑上；合逻辑地；有条理地
technology	 n. 工艺；科技；技术
technological	 adj. 科技的
revolution	 n. 革命
artificial	 adj. 人造的；假的
intelligence	 n. 智力；聪明；智能
intelligent	 adj. 聪明的；智能的
Alan Turing	 艾伦•图灵（英国数学家）
solve	 v. 解决；解答
mathematical	 adj. 数学的
from…on	 从……时起
reality	 n. 真实；现实；事实
designer	 n. 设计师
personal	 adj. 私人的；个人的；亲自的
