take place	 发生
beauty	 n. 美；美人
harvest	 n. 收获；收割 v. 收获；收割
celebration	 n. 庆祝；祝贺
hunter	 n. 狩猎者；猎人
starve	 v. (使)饿死；饿得要死
origin	 n. 起源；由来；起因
religious	 adj. 宗教上的；信奉宗教的；虔诚的
seasonal	 adj. 季节的；季节性的
ancestor	 n. 祖先；祖宗
Obon	 n. （日本）盂兰盆节
grave	 n. 坟墓；墓地
incense	 n. 熏香；熏香的烟
in memory of	 纪念；追念
Mexico	 n. 墨西哥（拉丁美洲国家）
feast	 n. 节日；盛宴
skull	 n. 头脑；头骨
bone	 n. 骨；骨头
Halloween	 n. 万圣节前夕；诸圣日前夕
belief	 n. 信心；信任；信仰
dress up	 盛装打扮；装饰
trick	 n. 诡计；恶作剧；窍门 v. 欺骗；诈骗
play a trick on	 搞恶作剧; 开玩笑；诈骗
poet	 n. 诗人
Columbus Day	 哥伦布日
arrival	 n. 到来；到达
Christopher Columbus	 克利斯朵夫•哥伦布（意大利航海家）
gain	 v. 获得；得到
independence	 n. 独立；自主
independent	 adj. 独立的；自主的
gather	 v. 集合；聚集；搜集
agriculture	 n. 农业；农艺；农学
agricultural	 adj. 农业的；农艺的
award	 n. 奖；奖品 v. 授予；判定
produce	 n. 产品；（尤指）农产品
rooster	 n. 雄禽；公鸡
admire	 v. 赞美；钦佩；羡慕
energetic	 adj. 充满活力的；精力充沛的；积极的
look forward to	 期望；期待；盼望
carnival	 n. 狂欢节；（四旬斋前的）饮宴狂欢；嘉年华（会）
lunar	 adj. 月的；月亮的；阴历的
Easter	 n. (耶稣)复活节
parade	 n. 游行；阅兵；检阅
day and night	 日夜；昼夜；整天
clothing	 n. 衣服
Christian	 n. 基督徒；信徒 adj. 基督教的；信基督教的
Jesus	 n. 耶稣
cherry	 n. 樱桃；樱桃树
blossom	 n. 花 v. 开花
as though	 好像
have fun with	 玩得开心
custom	 习惯；风俗
worldwide	 adj. 遍及全世界的；世界性的
rosebud	 n. 玫瑰花蕾
fool	 n. 愚人；白痴；受骗者 v. 干傻事；开玩笑 adj. 傻的
necessity	 n. 必要性；需要
permission	 n. 许可；允许
prediction	 n. 预言；预报；预告
fashion	 n. 时尚；样子；方式
Trinidad	 n. 特立尼达岛
Carla	 n. 卡拉（女名）
Hari	 n. 哈利（男名）
parking	 n. （汽车等）停放
parking lot	 停车场
Valentine’s Day	 n. 圣瓦伦廷节；情人节
turn up	 出现；到场
keep one’s word	 守信用；履行诺言
hold one’s breath	 屏息；屏气
apologize	 v. 道歉；辩白
drown	 v. 淹没；溺死；淹死
sadness	 n. 悲哀，悲伤
obvious	 adj. 明显的；显而易见的
wipe	 v. 擦；揩；擦去
weave	 v. (过去式 wove, 过去分词 woven)（使）迂回
herd	 n. 牧群；兽群
the Milky Way	 银河
magpie	 n. 喜鹊
weep	 v. (过去式 wept, 过去分词 wept) 哭泣；流泪 n. 哭；哭泣
announcer	 n. 广播员；告知者；报幕员
set off	 出发；动身；使爆炸
remind	 v. 提醒；使想起
remind…of…	 使……想起……
forgive	 v. (过去式 forgave, 过去分词 forgiven) 原谅；饶恕
Diet	 n. 日常饮食 v. 节食
spaghetti	 n. 意大利式细面条
nut	 n. 坚果；果仁
muscle	 n. 肌肉
protective	 adj. 给予保护的；保护的
bean	 n. 豆；豆科植物
pea	 n. 豌豆
cucumber	 n. 黄瓜
eggplant	 n. 茄子
pepper	 n. 辣椒；辣椒粉
mushroom	 n. 蘑菇
peach	 n. 桃子
lemon	 n. 柠檬
balance	 v. 平衡；权衡 n. 平衡；天平
balanced diet	 平衡膳食
barbecue	 n. 烧烤；烤肉 v. 烧烤；烤肉
mutton	 n. 羊肉
kebab	 n. (印度)烤腌羊肉串；肉串上的肉块
roast	 adj. 烤制的 v. 烤；烘；烘烤
stir	 v. 摇动；搅和
fry	 v. 油煎；油炸
stir-fry	 v. 用旺火炒（或煎、煸）
ought	 aux. 应当；应该
ought to	 应当；应该
bacon	 n. 熏咸肉；腊肉
cola	 n. 可乐饮料
sugary	 adj. 含糖的；甜的
sign	 n. 牌示；标记；符号
lose weight	 体重减轻；减肥
slim	 v. 变细；减肥 adj. 苗条的；纤细的
curiosity	 n. 好奇心
hostess	 n. 女主人；女主持人
raw	 adj. 生的；未加工的
vinegar	 n. 醋
get away with	 被放过；（做坏事）不受惩罚
lie	 n. 谎话；谎言 v. 说谎
tell a lie	 说谎
customer	 n. 顾客；消费者
discount	 n. 折扣
win…back	 赢回；重新获得
weakness	 n. 缺点；弱点；虚弱
strength	 n. 力量；强项；长处
consult	 v. 咨询；请教；商量
fibre	 n. 纤维；纤维制品
digest	 v. 消化 n. 摘要；概要
poisonous	 adj. 有毒的
carrot	 n. 胡萝卜
scurvy	 n. 坏血病
rickets	 n. 佝偻病
obesity	 n. 过度肥胖
vitamin	 n. 维生素
protein	 n. 蛋白质
earn one’s living	 谋生
debt	 n. 债；债务
in debt	 欠债
glare	 v. 怒目而视；闪耀 n. 怒视；眩目的光
spy	 v. 窥探；秘密监视 n. 间谍；侦探
spy on	 暗中监视；侦查
limit	 v. 限制；限定 n. 界限；限度
limited	 adj. 有限的
benefit	 n. 利益；好处 v. 有益于；有助于；受益
breast	 n. 胸部；乳房
garlic	 n. 大蒜
sigh	 v. 叹息；叹气 n. 叹息；叹息声
combine	 v. （使）联合；（使）结合
cut down	 削减；删节
before long	 不久以后
put on weight	 增加体重
cooperation	 n. 合作；协作
ingredient	 n. （烹调用的）材料；原料；成分
flavour	 n. （食物的）味道与气味；特性
Mark Twain	 马克•吐温(美国作家)
birthplace	 n. 出生地；故乡
Florida	 n. 佛罗里达镇（位于密苏里州）佛罗里达州（美国州名）
bring up	 抚养；培养；教育；提出
Hannibal	 n. 汉尼拔（美国城市）
Missouri	 n. 密苏里州（美国州名）
Mississippi	 n. 密西西比河；密西西比州（美国州名）
novel	 n. 小说；长篇故事 adj. 新奇的；异常的
boyhood	 n. 少年时代
adventure	 n. 奇遇；冒险
Tom Sawyer	 n. 汤姆•索亚（人名）
Huckleberry Finn	 哈克贝利•费恩（人名）
phrase	 n. 短语；词组；惯用语
fathom	 n. 英寻（长度单位，等于六英尺）
author	 n. 著者；作家
Samuel Langhorne Clemens	 塞缪尔•兰霍恩•克莱门斯（人名）
scene	 n. （戏剧）一场；场面；现场；景色
narrator	 n. 讲述者，叙述者
Roderick	 n. 罗德里克（男名）
Oliver	 n. 奥利弗（男名）
bet	 n. 赌；打赌 v. 打赌；赌钱
make a bet	 打赌
penniless	 adj. 贫困的；身无分文的
wander	 v. 漫游；漫步；漂泊
pavement	 n. 人行道
businessman	 n. 商人
permit	 v. 许可；允许；准许 n. 通行证；许可证；执照
ahead	 adv. 在前；向前；提前
go ahead	 前进；（用于祈使句）可以；往下说
by accident	 偶然；无意中；不小心
bay	 n. 海湾
stare	 v. 凝视；盯着看
stare at	 盯着看；凝视
nightfall	 n. 黄昏
fault	 n. 过错；缺点；故障
spot	 v. 发现；认出 n. 地点；斑点；污点
passage	 n. 〔乘船旅行的〕航程；〔书、诗歌、演讲、乐曲等的〕一段；通道
unpaid	 adj. 未付款的；不受报酬的
account	 v. 认为；说明；总计有 n. 说明；理由；计算，帐目
account for	 导致；做出解释
embassy	 n. 大使馆；大使及其官员
seek	 v. 寻找；探索；寻求
patience	 n. 耐性；忍耐
contrary	 n. 反面；对立面 adj. 相反的；相违的
on the contrary	 与此相反；正相反
charity	 n. 慈善（团体）；施舍
envelope	 n. 信封
unbelievable	 adj. 难以置信的
Horace	 n. 霍勒斯（男名）
steak	 n. (供煎、烤的)肉块；鱼排；牛排
pineapple	 n. 菠萝
dessert	 n. 餐后甜点
amount	 n. 数量
take a chance	 冒险
rude	 adj. 粗鲁的；无礼的
manner	 n. 方式；举止；礼貌
scream	 v. 尖声叫 n. 尖叫声；喊叫声
genuine	 adj. 真的；真诚的
issue	 v. 发布（命令）；发行（钞票等） n. 〔杂志或报纸的〕期，号
fake	 n. 假货；欺骗 adj. 假的
rag	 n. 破布；碎布
in rags	 衣衫褴褛
indeed	 adv. 真正地；确实；实在
as for	 关于；至于
bow	 v. 鞠躬；弯腰 n. 鞠躬；弯腰
barber	 n. 理发师
astronomy	 n. 天文学
astronomer	 n. 天文学家
solar	 adj. 太阳的；日光的
system	 n. 系统；体系；制度
solar system	 太阳系
religion	 n. 宗教信仰；宗教
theory	 n. 学说；理论
Big Bang	 宇宙大爆炸；创世大爆炸
atom	 n. 原子
billion	 pron. 亿万 n. 十亿
globe	 n. 地球仪；球体；地球
global	 adj. 全球性的；全世界的
violent	 adj. 强暴的；猛烈的；激烈的
in time	 及时；终于
carbon	 n. 碳
nitrogen	 n. 氮
vapour	 n. 蒸气；水蒸气
atmosphere	 n. 气氛；大气；空气
unlike	 prep. 不同；不像
fundamental	 adj. 基本的；基础的
presence	 n. 出席；到场；存在
dissolve	 v. 溶解；解散
harmful	 adj. 有害的
acid	 n. 酸
chain	 n. 链子；连锁；锁链
reaction	 n. 反应；回应
multiply	 v. 乘；增加
oxygen	 n. 氧
shellfish	 n. 水生有壳动物
amphibian	 n. 两栖动物
reptile	 n. 爬行动物；爬虫
lay eggs	 下蛋
dinosaur	 n. 恐龙
exist	 v. 存在；生存
mammal	 n. 哺乳动物
give birth to	 产生；分娩
thus	 adv. 因此；于是
in one’s turn	 轮到某人；接着
dioxide	 n. 二氧化物
carbon dioxide	 二氧化碳
prevent...from	 阻止；制止
puzzle	 n. 谜；难题 v. （使）迷惑；（使）为难
biology	 n. 生物学
biologist	 n. 生物学家
gravity	 n. 万有引力；重力
satellite	 n. 人造卫星；卫星
gentle	 adj. 温和的；文雅的
geologist	 n. 地质学家
physicist	 n. 物理学家
block out	 挡住（光线）
extinct	 adj. 灭绝的；绝种的
climate	 n. 气候
comet	 n. 慧星
crash	 v. 碰撞；坠落
Isaac Newton	 艾萨克•牛顿（英国科学家）
Albert Einstein	 阿尔伯特•爱因斯坦（德裔美国科学家）
Stephen Hawking	 斯蒂芬•霍金（英国科学家）
spaceship	 n. 宇宙飞船
pull	 v. 拉（力）；拖；牵引 n. 拉（力）；拖；牵引力
lessen	 v. 减少；减轻
cheer up	 感到高兴；感到振奋
float	 v. （使）浮动；（使）漂浮 n. 漂浮物
