achievement	 n. 成就；功绩
Joan of Arc	 圣女贞德（法国民族女英雄）
Elizabeth Fry	 伊丽莎白•弗赖伊（英国慈善家）
Quaker	 n. 教友派信徒；贵格会会员
welfare	 n. 福利；福利事业
project	 n. 项目；工程；规划
institute	 n. 学会；学院；协会
China Welfare Institute	 中国福利基金会
specialist	 n. 专家；专业工作者
specialize	 v. 专攻；专门从事；专注于
Jane Goodall	 简•古道尔(英国动物学家)
chimp	 n. （非洲）黑猩猩
connection	 n. 关系；连接
human being	 人类
Jody Williams	 乔迪•威廉斯（美国诺贝尔和平奖得者）
campaign	 n. 运动；战役 v. 作战；参加运动
landmine	 n. 地雷
organization	 n. 组织；机构；团体
Gombe National Park	 贡贝国家公园(位于坦桑尼亚)
behave	 v. （举止或行为）表现
behaviour	 v. (等于behaior)行为；举止；习性
shade	 n. 荫；阴凉处 v. 遮住光线
move off	 离开；起程；出发
worthwhile	 adj. 值得的；值得做的
nest	 n. 巢；窝
bond	 n. 联系；关系；结合；纽带
observe	 v. 观察；观测；遵守
observation	 n. 观察；观测
childhood	 n. 童年；幼年时代
outspoken	 adj. 直言的；坦诚
respect	 n. 尊敬；尊重；敬意 v. 尊敬；尊重
argue	 v. 争论；讨论；辩论
argument	 n. 争论；争辩；争吵
entertainment	 n. 娱乐；娱乐表演；款待
lead a…life	 过着……的生活
crowd	 n. 人群；观众 v. 挤满；使拥挤
crowd in	 （想法、问题等）涌上心头；涌入脑海
inspire	 v. 鼓舞；激发；启示
inspiration	 n. 灵感；鼓舞
support	 v. 支持；拥护 n. 支持；拥护
look down on	 蔑视；瞧不起
look down upon	 蔑视；瞧不起
refer	 v. 谈到；查阅；参考
refer to	 谈到；查阅；参考
audience	 n. 观众；听众；读者
by chance	 碰巧；凑巧
come across	 （偶然）遇见；碰见
career	 n. 事业；生涯
rate	 n. 比率；速度
sickness	 n. 疾病；恶心
intend	 v. 计划；打算
emergency	 n. 突发事件；紧急情况
generation	 n. 一代；一辈
determination	 n. 决心
kindness	 n. 仁慈；好意
considerate	 adj. 考虑周到的
consideration	 n. 考虑
deliver	 v. 递送；生（小孩儿）；接生；发表（演说等）
carry on	 继续；坚持
modest	 adj. 谦虚的；谦让的；适度的
statistic	 n. [pl]统计数字；统计资料；[sg]数据；统计；
sunburnt	 adj. 晒黑的(等于sunburned)
struggle	 v. 拼搏；努力；斗争
decade	 n. 十年；十年期
super	 adj. 特级的；超级的
hybrid	 adj. 混合的；杂种的 n. 杂交种；混血儿
output	 n. 产量；输出量
strain	 n. 品种；种类
crop	 n. 庄稼；农作物
hunger	 n. 饥饿；欲望 v. （使）饥饿
disturbing	 adj. 引起烦恼的；令人不安的
expand	 v. 使变大；扩展
circulate	 v. 循环；流传
Vietnam	 n. 越南（东南亚国家）
thanks to	 幸亏；由于；因为
battle	 n. 战役；战斗；较量；斗争 v. 搏斗；奋斗
rid	 v. 摆脱；除去
rid…of	 摆脱；除去
be satisfied with	 对……感到满意
freedom	 n. 自由；自主
would rather	 宁愿；宁可
therefore	 adv. 因为；所以；因而
equip	 v. 配备；装备
sorghum	 n. 高粱
grain	 n. 谷物；粮食；颗粒
peanut	 n. 花生
export	 v. 出口；输出
nationality	 n. 国籍
occupation	 n. 工作；职业；占领
personality	 n. 性格；个性；人格
confuse	 v. 使迷惑
regret	 v. 遗憾；惋惜 n. 遗憾；懊悔
chemical	 adj. 化学的；关于化学的
organic	 adj. 有机的；器官的
fertile	 adj. 肥沃的；富饶的
fertilizer	 n. 肥料；化肥
production	 n. 生产；制造
bacteria	 n. （bacterium的复数形式）细菌
pest	 n. 害虫；害兽；害鸟
build up	 逐渐增强；建立；开发
lead to	 导致；造成（后果）
nutrition	 n. 营养;滋养
mineral	 n. 矿物；矿石
discovery	 n. 发现；发觉
focus	 n. 焦点；中心点 v. 集中
focus on	 集中（注意力、精力等）于
soil	 n. 土壤
reduce	 v. 减少；减缩
keep…free of	 使……免受（影响；害等）；使……不含（有害物）
keep…free from	 使……免受（影响；害等）；使……不含（有害物）
soybean	 n. (等于soyabean) 大豆
root	 n. 根；根源
skim	 v. 浏览；略读
underline	 v. 画底线标出；强调
summary	 n. 总结；摘要；概要
comment	 n. 评论；议论 v. 表达意见；作出评论
producer	 n. 制片人；生产者
industrial	 adj. 工业的；产业的
humour	 n. 幽默；滑稽
punchline	 n. 故事、笑话等中的妙语；关键语
verbal	 adj. 口头的
nonverbal	 adj. 不用语言的
mime	 n. 哑剧
Charlie Chaplin	 查理•卓别林（英国喜剧大师）
Edward Lear	 爱德华•李尔（英国作家、画家）
comedy	 n. 喜剧
Victor Hugo	 维克多•雨果（法国文学家）
up to now	 直到现在
brighten	 v. 使更明亮
depressed	 adj. 忧愁的；沮丧的
content	 adj. 满足的；满意的 n. 满足 v. 使满足
feel content with	 对……满足
be content with	 对……满足
performer	 n. 表演者；演出者
astonish	 v. 使惊诧
astonishing	 adj. 令人感到惊讶的
fortunate	 adj. 幸运的；吉利的
unfortunately	 adv. 不幸地
badly off	 穷的；缺少的
teens	 n. 十几岁（13至19岁的年龄）
ordinary	 adj. 平常的；普通的
bored	 adj. 厌烦的
subtle	 adj. 微妙的，细微的
entertain	 v. 款待；使欢乐
entertaining	 adj. 愉快的；有趣的
charming	 adj. 迷人的；有魅力的
tramp	 n. 流浪汉；行乞者
throughout	 prep&adv. 遍及；在…各处；在整个期间，自始至终
homeless	 adj. 无家的；无家可归的
moustache	 n. 小胡子
worn	 adj. 用旧的；用坏的；破烂的
worn-out	 adj. 磨破的；穿旧的
stiffly	 adv. 僵硬地
failure	 n. 失败
optimism	 n. 乐观；乐观主义
overcome	 v. 战胜；克服
underdog	 n. 失败者；处于劣势的一方
snowstorm	 n. 暴风雪
leather	 n. 皮革
pick out	 辨别出；挑出
lace	 n. 花边；鞋带
cut off	 切断
chew	 v. 嚼碎；咀嚼（食物）
mouthful	 n. 一口；满口
enjoyment	 n. 享受；欢乐；乐趣
convince	 v. 使信服
convincing	 adj. 令人信服的
direct	 v. 导演；指示；指挥 adj. 直接的；笔直的；率直的，坦率的
star in	 担任主角；主演
Oscar	 n. 奥斯卡
outstanding	 adj. 杰出的；显著的；突出的
Switzerland	 n. 瑞士（欧洲中部国家）
confidence	 n. 信心；信念
costume	 n. 戏装；服装
gesture	 n. 手势；姿态 v. 做手势
particular	 adj. 特殊的；特别的 n. 细节
particularly	 adv. 特别，尤其
occasion	 n. 时刻
budget	 n. 预算；开支
actress	 n. 女演员
slide	 v. （使）滑动；（使）滑行 n. 滑梯；下降，跌落；幻灯片
amuse	 v. 使发笑；使愉快
amusing	 adj. 好笑的；有趣的
pancake	 n. 烙饼；薄饼
explanation	 n. 解释
detective	 n. 侦探
Sherlock Holmes	 n. 夏洛克•福尔摩斯
mountainous	 adj. 多山的；山一般的
whisper	 n. 耳语；低语 v. 低语；小声说
vast	 adj. 巨大的；辽阔的
rhythm	 n. 节奏
mess	 n. 脏或乱的状态
react	 v. 作出反应；回应
porridge	 n. 粥；麦片粥
drunk	 adj. 醉的
statement	 n. 陈述；说明
greet	 v. 迎接；问候
represent	 v. 代表；象征
association	 n. 社团；联系；联想
dormitory	 n. 宿舍
canteen	 n. 食堂
flight	 n. 航班；飞行
curious	 adj. 好奇的
curiously	 adv. 好奇地
Garcia	 加西亚（姓）
Colombia	 n. 哥伦比亚（南美洲国家）
approach	 v. 接近；靠近；走近 n. 接近；方法
cheek	 n. 面颊
defend	 v. 保护；保卫
defend against	 保卫……以免受
defence	 n. 防御；保卫
major	 adj. 主要的
misunderstand	 v. 误解，误会
misunderstanding	 n. 误解；误会
Akira Nagata	 永田明
Ahmed Aziz	 艾哈迈德•阿齐兹
Jordan	 n. 约旦（西亚国家）
Darlene Coulon	 达琳•库隆
dash	 v. 猛冲；突进
adult	 n. 成人；成年人 adj. 成人的；成熟的
simply	 adv. 简单地；只
Muslim	 n & adj. 穆斯林（的）；伊斯兰教信徒（的）
spoken	 adj. 口语的
unspoken	 adj. 未说出口的；非口语的
posture	 n. 姿态；体态
Spain	 n. 西班牙（欧洲国家）
Italy	 n. 意大利（欧洲国家）
likely	 adj. 可能的
be likely to	 很可能……；有希望……
in general	 总的来说；通常
crossroads	 n. 十字路口
employee	 n. 雇员
frown	 v. 皱眉；蹙额
misread	 v. 误解；读错
facial	 adj. 面部的
function	 n. 作用；功能；职能 v. 起作用；运转
ease	 n. 安逸；舒适 v. 减轻（痛苦；忧虑）
at ease	 舒适；快活；自由自在
truly	 adv. 真实地；真诚地
false	 adj. 假的；错误的
anger	 n. 怒气；怒火
lose face	 丢脸
turn one’s back to	 背对；背弃
fist	 n. 拳头
yawn	 v. 打呵欠
respectful	 adj. 恭敬的
subjective	 adj. 主观的
hug	 v. 拥抱
rank	 n. 等级；军衔
cassette	 n. 磁带
theme	 n. 题目；主题（曲）
Camelot Park	 卡默洛特公园（位于英国）
central	 adj. 中心的；中央的
Central Park	 中央公园（位于美国纽约）
Dollywood	 n. 多莱坞（公园名，位于美国）
