characteristic	 n. 特征；特性
radium	 n. 镭
painter	 n. 画家；油漆匠
put forward	 提出
scientific	 adj. 科学的
conclude	 v. 推断出；结束
conclusion	 n. 结论；结束
draw a conclusion	 提出结论
analyse	 v. 分析
infect	 v. 传染；感染
infectious	 adj. 传染的
cholera	 n. 霍乱
defeat	 v. 打败；战胜；使受挫 n. 失败
expert	 adj. 内行的 n. 专家；行家
attend	 v. 参加; 出席；照顾；护理
physician	 n. 医生；内科医师
expose	 v. 暴露；揭露；使曝光
expose…to	 使显露；暴露
deadly	 adj. 致命的
cure	 n. 治愈；痊愈 v. 治愈；治疗
outbreak	 n. 爆发；发作（尤指疾病或战争）
challenge	 n. 挑战 v. 向……挑战
victim	 n. 受害者
absorb	 v. 吸收；吸引；使专心
suspect	 v. 怀疑 n. 被怀疑者；嫌疑犯
enquiry	 n. 询问
neighbourhood	 n. 附近(的居民)；邻近(的居民)
severe	 adj. 严重的；严厉的
clue	 n. 线索；提示
pump	 n. 泵；抽水机 v. （用泵）抽（水）
Cambridge	 剑桥大学
foresee	 v. 预见；预知
investigate	 v. 调查
investigation	 n. 调查
blame	 v. 责备；谴责 n. 过失；责备
pollute	 v. 污染；弄脏
handle	 n. 柄；把手 v. 处理；操纵
germ	 n. 微生物；细菌
link	 v. 连接；联系 n. 连接；联系
link…to…	 将……和……联系或连接起来
announce	 v. 宣布；通知
certainty	 n. 确实
instruct	 v. 命令；指示；教导
responsible	 adj. 有责任的；负责的
construct	 v. 建设；修建
construction	 n. 建造，建筑
contribute	 v. 捐献；贡献；捐助
apart from	 除……之外；此外
firework	 n. 烟火
chart	 n. 图表
creative	 adj. 创造性的；有创造力的
co-operative	 adj. 合作的
positive	 adj. 积极的；肯定的
（be）strict with…	 对……严格的
Nicolaus Copernicus	 尼古拉•哥白尼（波兰天文学家）
revolutionary	 adj. 革命的；重大变革的
movement	 n. 移动；运动；动作
make sense	 讲得通；有意义
backward	 adj. 向后的；相反的；退步的 adv. 向后地；相反地；退步地
loop	 n. 圈；环
privately	 adv. 私下地
spin	 v. (使)旋转；纺（线或纱）
brightness	 n. 明亮；亮度；聪颖
enthusiastic	 adj. 热情的；热心的
cautious	 adj. 小心的；谨慎的
reject	 v. 拒绝；不接受
universe	 n. 宇宙；世界
unite	 v. 联合；团结
kingdom	 n. 王国
consist	 v. 组成；在于
consist of	 由……组成
London Heathrow Airport	 伦敦希思罗机场
province	 n. 省；行政区
River Avon	 埃文河
River Thames	 泰晤士河
River Severn	 塞文河
divide…into	 把……分成
Wales	 威尔士（英）
Scotland	 苏格兰（英）
Northern Ireland	 北爱尔兰（英）
clarify	 v. 澄清；阐明
accomplish	 vt. 完成；达到；实现
conflict	 n. 矛盾；冲突
unwilling	 adj. 不愿意（的）；不乐意（的）
break away	 挣脱（束缚）；脱离
break away from	 挣脱（束缚）；脱离
union	 n. 工会；；联盟；协会；联合
the Union Jack	 英国国旗
credit	 n. 赊购；信贷；赞扬；信任；学分
to one’s credit	 为……带来荣誉；值得赞扬；在……名下
currency	 n. 货币；通货
institution	 n. 社会公共机构；制度；设立，制定
educational	 adj. 教育的
convenience	 n. 便利；方便
rough	 adj. 粗糙的
roughly	 adv. 粗略地
Midlands	 英格兰中部地区（英）
nationwide	 adj. 全国性的；全国范围的
attract	 v. 吸引；引起注意
historical	 adj. 有关历史的；历史（上）的
architecture	 n. 建筑学；建筑艺术
Roman	 n. (古)罗马人 adj. （古）罗马的
collection	 n. 收藏品
administration	 n. 管理；行政部门
port	 n. 港口（城市）
Anglo-Saxon	 n. 盎格鲁-撒克逊人 adj. 盎格鲁撒克逊时期的
Norman	 n. 诺曼人 adj. 诺曼的
Viking	 n. 北欧海盗；维京人
countryside	 n. 乡下；农村
enjoyable	 adj. 令人愉快的；使人高兴的
leave out	 省去；遗漏；不考虑
opportunity	 n. 机会；时机
description	 n. 描写；描述
fax	 n. 传真（机） v. 用传真传输（文件）
possibility	 n. 可能（性）
