realistic	 adj. 现实主义的；现实的；逼真的
abstract	 adj. 抽象的；深奥的 n. 摘要
sculpture	 n. 雕塑
sculptor	 n. 雕刻家；雕塑家
gallery	 n. 美术陈列室；画廊
faith	 n. 信任；信心；信念
faithfully	 adv. 忠实地
consequently	 adv. 所以；因而
aim	 n. 目标；目的 v. 瞄准；（向某方向）努力
conventional	 adj. 常规的；传统的；因循守旧的
typical	 adj. 典型的；有代表性的
evident	 adj. 明显的；明白的
Giotto di Bondone	 乔托（意大利画家、雕刻家、建筑师）
renaissance	 n. 新生；复兴；复活
the Renaissance	 文艺复兴（时期）
adopt	 v. 收养；采用；采纳
humanistic	 adj. 人道主义的
possess	 v. 拥有；具有；支配
possession	 n. （尤作复数）所有；财产
superb	 adj. 卓越的；杰出的；极好的
perspective	 n. 观点；透视画法；透视图
technique	 n. 技术；方法；技能
Masaccio	 马萨乔（意大利画家）
coincidence	 n. 巧合（的事）
by coincidence	 巧合地
masterpiece	 n. 杰作；名著
impressionism	 n. 印象主义；印象派
impressionist	 adj. 印象派的 n. 印象派艺术家
post-impressionist	 adj. 后印象派的 n. 后印象派艺术家
a great deal	 大量
shadow	 n. 影子；阴影
ridiculous	 adj. 荒谬的；可笑的
controversial	 adj. 争论的；争议的
attempt	 n. 尝试，试图 v. 尝试，试图
on the other hand	 (可是)另一方面
predict	 v. 预言；预告；预测
landscape	 n. 风景；景色
specific	 adj. 特定的；确切的
figure	 n. 数字；画像；身材
clay	 n. 黏土
critic	 n. 评论家；批评者
bronze	 n. 青铜
marble	 n. 大理石
Mona Lisa	 蒙娜•丽莎（达•芬奇所作的一幅著名肖像画）
Leonardo da Vinci	 列奥纳多•达•芬奇（意大利著名画家）
carve	 v. 雕刻；刻记
delicate	 adj. 脆弱的；容易生病的；精致的
Michelangelo	 米开朗基罗（意大利文艺复兴雕刻家、画家、建筑师和诗人）
canvas	 n. 帆布；画布
Picasso	 毕加索（西班牙画家）
café	 n. 咖啡馆；小餐馆
allergic	 adj. 过敏性的；对……过敏的
effectively	 adv. 有效地
exhibition	 n. 展览；陈列；展览会
aggressive	 adj. 敢作敢为的；侵略的；好斗的
scholar	 n. 学者
flesh	 n. 肉
in the flesh	 本人
Matisse	 马蒂斯（法国画家）
geometry	 n. 几何学
bunch	 n. 束；串
Manhattan	 n. 曼哈顿岛；曼哈顿区（纽约市中心）
avenue	 n. 道路；大街；林荫道
preference	 n. 喜爱；偏爱
Guggenheim  Museum	 古根海姆博物馆
display	 v. 展示；陈列
appeal	 n. 呼吁 v. 吸引；呼吁；恳请，恳求
appeal to	 （对某人）有吸引力；（使某人）感兴趣
fragile	 adj. 精细的；易碎的；脆弱的
circular	 adj. 圆(形)的,环形的；循环的；环行的
metropolitan	 adj. 主要都市的；大城市的
reputation	 n. 名声；名誉
civilization	 n. 文明；文化；文明社会
Egypt	 n. 埃及（东北非国家）
Egyptian	 adj. 埃及的；埃及人的
visual	 adj. 视觉的；看得见的
fragrant	 adj. 香的
Monet	 莫奈（法国画家）
Whitney	 惠特尼
Madison	 n. 麦迪逊
contemporary	 adj. 当代的；同时代的
permanent	 adj. 永久的；持久的
district	 n. 区；区域；行政区
committee	 n. 委员会
signature	 n. 署名；签字
