disability	 n. 伤残；无力；无能
disabled	 adj. 伤残的
hearing	 n. 听力；听觉
eyesight	 n. 视力
syndrome	 n. 综合病征；综合症状
infantile paralysis	 小儿麻痹
Rosalyn	 n. 罗莎琳（女名）
lap	 n. （人坐着时）大腿的上方；跑道的一圈
ambition	 n. 雄心；野心
ambitious	 adj. 有雄心的；有野心的
dictation	 n. 口授；听写（的文字）
Sally	 n. 萨利（女名）
noisy	 n. 吵闹的；嘈杂的
suitable	 adj. 适合的；适宜的
entry	 n. 进入；〔词典等的〕条目；入口
beneficial	 adj. 有益的；受益的
Marty	 马蒂•菲尔丁
in other words	 换句话说
clumsy	 adj. 笨拙的
bump	 v. 碰撞；撞击
outgoing	 adj. 外向的；友好的；外出的；离开的
adapt	 v. 使适应；改编
adapt to	 使适合
bench	 n. 长凳
cut out	 切去；省略；停止（做某事）
microscope	 n. 显微镜
out of breath	 上气不接下气
absence	 n. 缺席；不在某处
fellow	 adj. 同伴的；同类的 n. 同伴；同志；伙伴
annoy	 v. 使……不悦；惹恼
annoyed	 adj. 颇为生气的
annoyance	 n. 烦恼
all in all	 总而言之
firm	 n. 公司 adj. 结实的；坚固的；坚定的
software	 n. 软件
sit around	 闲坐着
as well as	 和；也
parrot	 n. 鹦鹉
tank	 n. （盛液体、气体的）大容器；缸；大桶
tortoise	 n. 陆龟；龟
in many ways	 在很多方面
psychology	 n. 心理（学）
psychologically	 adv. 心理（学）地；精神上地
make fun of	 取笑
encouragement	 n. 鼓励；奖励
conduct	 n. 行为；品行 v. 指挥；管理；主持
mainstream	 n. 主流；主要倾向
fulfilling	 adj. 令人满意的；令人愉快的
never mind	 不必担心
politics	 n. 政治
abolish	 v. 废除；废止
abolition	 n. 废除；废止
resign	 v. 辞职；辞去（工作、职位等）
slavery	 n. 奴隶制
literature	 n. 文学（作品）；著作；文献
Barry Minto	 巴里•明托
Mount Kilimanjaro	 n. 乞力马扎罗山（位于坦桑尼亚；非洲最高山）
companion	 n. 同伴；伙伴
assistance	 n. 协助；援助
congratulate	 v. 祝贺；庆贺
congratulation	 n. 祝贺；贺词
bowling	 n. 保龄球
graduation	 n. 毕业；毕业典礼
certificate	 n. 证书
all the best	 （口语）（祝你）一切顺利
architect	 n. 建筑师
Sanders	 n. 桑德斯（姓）
adequate	 adj. 足够的；充分的
access	 n. 通路；进入；到达；面见〔的难易度〕；进入权
accessible	 adj. 可接近的；可进入的；可使用的
wheelchair	 n. 轮椅
handy	 adj. 方便的；有用的
earphone	 n. 耳机
impair	 v. 削弱；损伤
row	 n. 一行；一排 v. 划（船）
basement	 n. 地下室
outwards	 adv. 向外
exit	 n. 出口；离开；退场
meet with	 遇到；经历；会晤
approval	 n. 认可；赞成
dignity	 n. 尊严；高贵的品质
profit	 n. 收益；利润；盈利
italics	 n. 斜体（字）
community	 n. 社区；团体；社会
household	 adj. 家庭的；家用的 n. 一家人；家庭
fiction	 n. 小说；虚构或想象出来的事
desire	 n. 渴望；欲望；渴求 v. 希望得到；想要
Isaac Asimov	 艾萨克•阿西莫夫
satisfaction	 n. 满意；满足
Larry Belmont	 拉里•贝尔蒙特
test out	 试验；考验
Claire	 n. 克莱尔（女名）
bonus	 n. 额外津贴；奖金；红利
alarm	 v. 使警觉；使惊恐；惊动 n. 警报器；惊恐
alarmed	 adj. 担心的；害怕的
apron	 n. 围裙
sympathy	 n. 同情（心）
overweight	 adj. 超重的；体重超常的
elegant	 adj. 优雅的；高雅的；讲究的
Gladys Claffern	 格拉迪斯•克拉芬
favour	 n. 恩惠；喜爱 v. 偏袒；喜爱
pile	 n. 堆；摞；叠 v. 堆起；堆积；把……堆起；积聚
scan	 v. 细看；仔细检查；粗略地看；浏览；扫描
fingernail	 n. 手指甲
absurd	 adj. 荒谬的；可笑的
haircut	 n. 理发；发型
makeup	 n. 化妆品
accompany	 v. 陪伴；伴奏
cushion	 n. （坐、跪时用的）软垫；靠垫；垫子
bedding	 n. 寝具；铺盖
necklace	 n. 项链
clerk	 n. 售货员；职员；旅馆接待员
counter	 n. 柜台；计数器
ring up	 给……打电话
turn around	 转向；回转
awful	 adj. 极坏的；极讨厌的；可怕的；（口语）糟透的
affair	 n. 事务；事情；暖昧关系
armchair	 n. 扶手椅；单座沙发
declare	 v. 宣布；声明；表明；宣称
cuisine	 n. 烹饪（风味）；菜肴
envy	 v. 忌妒；羡慕
leave…alone	 不管；别惹；让……一个人待着；和……单独在一起
digital	 adj. 数字的；数码的；手指的；脚趾的
mailbox	 n. （美）邮筒；信箱
state	 v. 陈述；宣布
aside	 adv. 在一边；向一边
set aside	 将……放在一边；为……节省或保留（钱或时间）
grand	 adj. 雄伟的；豪华的；大的
Marion	 n. 玛丽安（女名）
alphabetical	 adj. 字母（表）的；按字母顺序的
receiver	 n. 电话听筒；〔破产企业或公司的〕管理人，接管人；接收机
in all	 一共；总计
affection	 n. 喜爱；爱；感情
bound	 adj. 一定的；密切相关的
be bound to	 一定做……
biography	 n. （由他人撰写的）传记；传记文学
holy	 adj. 神的；上帝的；圣洁的
imagination	 n. 想象（力）；创造力；幻想物
transfusion	 n. 输血
part-time	 adj. 兼职的
master’s degree	 硕士学位
staff	 n. 全体员工；手杖
Philadelphia	 n. 费城（美国宾西法尼亚州重要港口）
navy	 n. 海军；海军部队
junior	 adj. 较年幼的；资历较浅的；地位较低的 n. 年少者；晚辈；等级较低者
PhD=Doctor of Philosophy	 哲学博士学位；博士学位
biochemistry	 n. 生物化学
Boston	 n. 波士顿（美国东北部城市）
talent	 n. 特殊能力；才干；天才
chapter	 n. （书中的）章；篇；回
the Foundation	 《基地》三部曲
empire	 n. 帝国
theoretical	 adj. 理论（上）的；假设的
framework	 n. 框架；结构
thinking	 n. 思想；思考
divorce	 n. 离婚；断绝关系 v. 与……离婚；与……脱离
obey	 v. 服从；顺从
disobey	 v. 不服从；违抗
assessment	 n. 评价；评定
snorkel	 v. 戴潜水通气管潜泳 n. （潜水艇或潜水者的）通气管
aquarium	 n. 水族箱；养鱼缸；水族馆
anecdote	 n. 轶事；奇闻
Clancy	 n. 克兰西（男名）
baleen	 n. 鲸须
baleen whale	 须鲸
annual	 adj. 每年的；按年度计算的 n. 年刊；年鉴
migration	 n. 迁居；移居；迁徙
witness	 v. 当场见到；目击 n. 目击者；证人
accommodation	 n. 住所；住宿
shore	 n. 岸；海滨
offshore	 adj. 近海（的）；离岸（的）；离岸（的）
opposite	 prep. 在……对面 adj. 相对的；相反的
yell	 v. 大叫；呼喊 n. 叫声；喊声
pause	 v. 暂停；中止 n. 暂停；中止
oar	 n. 桨；橹
telescope	 n. 望远镜
teamwork	 n. 协作；配合
blow-hole	 n. （隧道的）通风口；（鲸鱼的）鼻孔
dive	 v. 跳水；潜水；俯冲 n. 跳水（的动作）；潜水（的动作）；俯冲
flee	 v. 逃避；逃跑；逃离
harpoon	 n. （捕鲸用的）鱼叉
drag	 v. 拖；拉；扯
depth	 n. 深（度）；深处
meantime	 adv. 其间；同时
in the meantime	 在此期间；与此同时
lip	 n. 一片嘴唇；（容器或洞的）边，口
overboard	 adv. 越过船舷进入水中
urge	 v. 催促；极力主张；驱策
abandon	 v. 遗弃；抛弃；放弃
shark	 n. 鲨鱼
Help (…) out	 帮助（某人）摆脱困境或危难
relationship	 n. 关系；交往；血缘关系
conservation	 n. 保护；保存
iceberg	 n. 冰山
jog	 v. 慢跑；轻推；轻撞
seaside	 n. 海边；海滨 adj. 海边（的）；海滨（的）
net	 n. 网络；网；网状物
target	 n. 目标；靶；受批评的对象
tide	 n. 潮（汐）；潮水；潮流
driftnet	 n. 流网
dimension	 n. 方面；侧面；维（数）
reflect	 v. 思考；映射；反射
pure	 adj. 纯的；纯粹的；纯洁的
cell	 n. 细胞；（蜂房的）巢室
aware	 adj. 意识到的；知道的
become aware of	 对……知道、明白；意识到……
be aware of	 对……知道、明白；意识到……
vivid	 adj. 生动的；鲜明的；鲜艳的
neat	 adj. （口）好的；整齐的；匀称的
seaweed	 n. 海草；海藻
