California	 加利福尼亚（州）
Californian	 加利福尼亚（州）人
illustrate	 v. 说明；阐明
distinct	 adj. 明显不同的，截然不同的，不同种类的；清晰的；明显的；明确的
distinction	 n. 差别；区分；卓著
immigrant	 n. （从外国移入的）移民
live on	 靠 (某数额的钱) 过活
strait	 n. 海峡
Bering	 白令海峡
Arctic	 adj. 北极的；北极区的
the Arctic	 北极
means	 n. 手段；方法
by means of…	 用……办法；借助……
prehistoric	 adj. 史前的
majority	 n. 大多数；大半
ministry	 n. （政府的）部；；（全体）牧师；牧师的职责
Catholic	 adj. 天主教的 n. 天主教徒
Alaska	 n. 阿拉斯加（州）
San Francisco	 n. 圣弗朗西斯科（也称旧金山）
adventurer	 n. 冒险家
make a life	 习惯于新的生活方式、工作等
despite	 prep. 尽管；不管
hardship	 n. 苦难；困苦
elect	 v. 选举某人；选择；决定做某事
federal	 adj. 联邦制的；；联邦政府的
rail	 n. 铁路；；扶手；（护栏的）横条
percentage	 n. 百分比；百分率
Los Angeles	 n. 洛杉矶
Italy	 n. 意大利
Italian	 n. 意大利人；意大利语 adj. 意大利人的；意大利语的
Denmark	 n. 丹麦（北欧国家）
keep up	 跟上
Hollywood	 n. 好莱坞；美国电影业
boom	 n. （人口、贸易的）繁荣 v. 处于经济迅速发展时期
aircraft	 n. 飞行器；航空器；飞机
Cambodian	 n. 柬埔寨人；柬埔寨语
Korea	 n. 韩国；朝鲜
Korean	 n. 韩国/朝鲜人；朝鲜/韩语 adj. 韩国（人/语）的；朝鲜（人/语）的
Pakistan	 n. 巴基斯坦
Pakistani	 adj. 巴基斯坦（人）的 n. 巴基斯坦人
immigrate	 v. 移入（外国定居）
immigration	 n. 移民人数；移民入境
racial	 adj. 人种的；种族的
crossing	 n. 横渡；横越；十字路口；人行横道
vice	 adj. 代理的；副职的 n. 罪恶，罪行
nephew	 n. 侄子；外甥
pole	 n. 地极；电极；磁极
applicant	 n. 申请人
customs	 n. 海关；
socialist	 n. 社会主义者；社会党人 adj. 社会主义者的
socialism	 n. 社会主义
occur	 v. 发生；出现
cattle	 n. 牛（总称）
Hispanic	 n. （美）讲西班牙语的美国人
indicate	 v. 表明；暗示；指出；指示
back to back	 背靠背
luggage	 n. 行李（<美>baggage）
shave	 v. 刮；剃
cable	 n. 电缆；缆绳
cable car	 缆车；（美）有轨缆车
Andrew Hallidie	 安德鲁•海利迪
tram	 n. （有轨）电车
apparent	 adj. 显而易见的；显然的；表面上的
apparently	 adv. 据说
brake	 n. 闸；刹车；制动器 V. 刹（车）；用制动器减速
conductor	 n. （乐队）指挥；（公车）售票员；列车员
slip	 v. 滑动；滑行；滑跤 n. 滑动；滑倒
wharf	 n. 码头
bakery	 n. 面包房；面包厂
ferry	 n. 渡船；渡口 v. 摆渡；渡运
Angel Island	 天使岛
team up with	 与……合作或一起工作
hire	 v. 租用；雇用 n. 租用；雇用
fascinating	 adj. 迷人的；吸引人的
mark out	 划线；标出……界线
seagull	 n. 海鸥
take in	 吸收
angle	 n. 角；角度
a great many	 许多；很多
a good many	 许多；很多
apply for	 申请；请示得到
nowhere	 adv. 无处；到处都无
miserable	 adj. 痛苦的；悲惨的
punishment	 n. 惩罚；处罚
justice	 n. 公正；公平
mourn	 v. 哀悼；悼念；表示悲痛
civil	 adj. 公民的；国内的；民间的
authority	 n. 权力；当局；官方；权威
reform	 v. 改革；革新 n. 改革；改造；改良
grasp	 v. 抓住；抓紧；掌握；领会 n. 抓住；抓紧；理解力，领悟力
thoughtful	 adj. 关切的；体贴的；深思的
thankful	 adj. 感激的；感谢的
insert	 v. 插入；嵌入
differ	 v. 不同；相异
exact	 adj. 精确的；准确的
cutting	 n. 剪枝；剪报
twin	 n. 双胞胎之一；孪生儿之一 adj. 成对的；成双的
