hurdling	 n. 跨栏运动
boxing	 n. 拳击
hula hooping	 玩呼啦圈
pogo stick jumping	 弹簧单高跷游戏
jumping jack	 跳爆竹
somersaulting	 n. 翻筋斗
lunge	 n. 刺 v. 越近，前冲
Ashrita Furman	 阿什里塔.弗曼
Guinness	 吉尼斯
Guiness Book of World Records	 《吉尼斯世界纪录大全》
approximate	 adj. 近似的，大概的
approximately	 adv. 近似地，大约地
conventional	 adj. 传统的；习俗的
laughter	 n. 笑，笑声
reality	 n. 真实，事实
in reality	 实际上，现实
ajustment	 n. 调节，调整
tough	 adj. 困难的；强硬的 adv. 顽强地
extreme	 adj. 极端的，偏激的
vomit	 n. 呕吐物
gymnastics	 n. 体操，体能训练
gymnastically	 adv. 体能训练方面
unfit	 adj. 不太健康的；不适宜的
fascinate	 vt. 使着迷，入迷
meditation	 n. 沉思，冥想
Sri chinmoy	 斯里琴摩
spiritual	 adj. 精神上的
marathon	 n. 马拉松赛跑
urge	 v. 催促，力劝
accomplish	 v. 完成，实现
motivation	 n. 动机
devotion	 n. 热爱，投入
soul	 n. 灵魂，心灵，精神
sacred	 adj. 宗教的，庄严的
deed	 n. 行为，行动
conception	 n. 主意；计划
tact	 n. 机敏，乖巧，老练，技巧
regret	 v. 后悔；感到抱歉
repentance	 n. 后悔
wisdom	 n. 智慧
virtue	 n. 美德
noble	 adj. 高尚的；贵族的
doom	 v. 注定
bid	 v. 出价；投标
juggle	 v. 耍把戏，玩杂耍
triathlon	 n. 三项全能运动
triathlete	 n. 三项全能运动员
amateur	 n. 业余爱好者
champion	 n. 冠军，优胜者
therefore	 adv. 因此，所以
Barcelona	 巴塞罗那（西班牙东北部港口城市）
springboard	 n. 跳板；(游泳或体操运动中的) 跳板
economics	 n. 经济学
Slovenia	 斯洛文尼亚（国名）
entire	 adj. 全部的，完整的
the Danube River	 多瑙河（位于欧洲）
attain	 v. 获得；达到
the Parana River	 巴拉那河(位于南美洲中南部，该州第二大河)
profile	 n. （人物或事物之）简介；侧面，轮廓
courageous	 adj. 勇敢的，有胆量的
appreciate	 v. 鉴赏，感激
appreciation	 n. 感谢，感激；欣赏
accountant	 n. 会计
receptionist	 n. 招待员
lawyer	 n. 律师
politician	 n. 政客，政治家
scarf	 n. 围巾，头巾，领巾
zip	 n. 拉链
underwear	 n. 内衣裤
overcoat	 n. 外套大衣，长大衣
salary	 n. 薪水
wage	 n. 工资
Marco Polo	 马可.波罗
latitude	 n. 纬度
voyage	 n. 航海，航行
mercy	 n. 仁慈，宽恕，怜悯
at the mercy of	 受……支配
encyclopedia	 n. 百科全书
alongside	 prep. 靠着，沿着； adv. 在旁边，沿着边
exploration	 n. 探险，探测
minimum	 adj. 最小的，最低的
celestial	 adj. 天上的
pole	 n. 极地，柱，杆
equator	 n. 赤道
horizon	 n. 地平线；视野
overhead	 adj. 在头上的
seaweed	 n. 海草，海藻
nowhere	 adv. 无处
offshore	 adj. 离岸的，海面上的
outward	 adj. 外面的；向外的
tide	 n. 潮，潮汐；潮流，趋势
secure	 adj. 安全的，可靠的
knot	 n. 节 v. 打结
log	 n. 原木，木材
nautical	 adj. 海上的，航海的
nautical mile	 海里
magnetic	 adj. 磁的，有磁性的
bearing	 n. 方位
random	 adj. 任意的，随便的
astrolabe	 n. 古代的天体观测仪，星盘
awkward	 adj. 难使用的；笨拙的
reference	 n. 参考
quadrant	 n. 象限，四分仪
precise	 adj. 精确的，准确的
simplify	 v. 单一化，简单化
portable	 adj. 轻便的，手提的，便携的
shortcoming	 n. 缺点,短处
sextant	 n. 六分仪
update	 v. 更新
tendency	 n. 趋向，倾向
reliable	 adj. 可靠地，可信赖的
Samuel	 塞缪尔
swoop	 v. 突降，猛扑
parcel	 n. 包裹；邮包
peck	 v. 啄食
cliff	 n. 悬崖，峭壁
expedition	 n. 远征
compulsory	 adj. 必须做的，必修的
reform	 n. 改革，革新
survival	 n. 生存，幸存
Captain Bligh	 布莱船长
Tahiti	 塔西提岛（位于太平洋）
incident	 n. 事件，事变
departure	 n. 出发，离开
crew	 n. （轮船、飞机等上的）工作人员，（工作）队
deposit	 v. 放；（把钱）存入银行
dilemma	 n. 进退两难的局面
drawback	 n. 缺点，障碍
dusk	 n. 薄暮，黄昏
routine	 n. 常规，日常事务
reckon	 v. 估算，估计
reckoning	 n. 估算，估计
starvation	 n. 挨饿，饿死
psychology	 n. 心理学
tension	 n. 紧张，不安；张力
gradual	 adj. 逐渐的，逐步的
foresee	 v. 预知，预见
thirst	 n. 渴，口渴
Timor	 帝汶岛（位于东南亚）
set loose	 出发，开始
tear	 v. 扯破，撕破
hardship	 n. 困苦，艰难
jaw	 n. 颚，颌；下巴
jaws of death	 鬼门关，死神
Greenland	 格林兰（位于北美洲东北部，世界第一大岛）
Shetland Islands	 设得兰群岛（位于英国苏格兰北部）
the Faroe Islands	 法罗群岛（位于丹麦北大西洋）
roar	 v. 咆哮；〔车辆〕轰鸣着疾驶
background	 n. 背景；后台
associate	 v. 使发生关系，使联合；结交
associate with	 与……联系
Perth	 珀思（澳大利亚西南部港口城市）
Kakadu	 卡卡杜湾
Canberra	 堪培拉（澳大利亚首都）
Uluru	 乌卢鲁，埃尔斯岩（Ayres Rock）的土著名
barrier	 n. 障碍物，栅栏；屏障
Great Barrier Reef	 大堡礁
brochure	 n. （介绍或宣传用的）小册子
Commonwealth	 n. 联邦
Kosciuszko	 科西阿斯科山（位于澳大利亚东南部）
Oceania	 n. 大洋洲
adequate	 adj. 适当的，足够的
Melbourne	 墨尔本（澳大利亚东南部港市，维多利亚州首府）
ecology	 n. 生态学
autonomous	 adj. 自治的
federal	 adj. 联邦的，联合的，联邦制的
defence	 n. 防卫；辩护
policy	 n. 政策，方针
tax	 n. 税，税款
taxation	 n. 征税；税款
nation	 n. 国家；民族
citizen	 公民，市民
citizenship	 n. 公民身份，公民的职责和权力
celebration	 n. 庆典
birthplace	 n. 诞生地
tolerate	 v. 忍受，容忍
tolerance	 n. 宽容，忍受
migrant	 n. 移居者，移民；候鸟
homeland	 n. 祖国，本国
via	 prep. 经由，经；通过
Adelaide	 阿德莱德（澳大利亚东南部港市，南澳大利亚前首府）
superb	 adj. 卓越的，杰出的，极好的
Nullarbor	 纳拉伯平原（位于澳大利亚西南部，火箭制造基地和试验场）
rust	 n. 铁锈
rusty	 adj. 生锈的
tropical	 adj. 热带的
splendour	 n. 壮观，杰出，壮丽
timetable	 n. 时间表，时刻表
heritage	 n. 遗产，继承物
aboriginal	 adj. 土著的，土生的 n. 澳大利亚的土著居民
out of respect	 出于尊敬
fortnight	 n. 两个星期
reservation	 n. 保留，预定
Hobart	 奥巴特（澳大利亚塔斯马尼亚岛东南岸港市）
highway	 n. 公路，大路，（美）高速公路
cradle	 n. 摇篮；发源地
rainfall	 n. 降雨，降雨量
agriculture	 n. 农业，农学
sow	 v. 播种；传播
bachelor	 n. 单身汉；（文理）学士
correspond	 v. 符合；通信
correspond with	 与……通信
owe	 v. 欠（债等）；感激
owe to	 把……归功于
enclosure	 n. 围地,（用于特定目的的）围场
authority	 n. 权力，权威；当局
desperate	 adj. 不顾一切的，绝望的
shrink	 v. 收缩，（使）皱缩，缩短
barbecue	 n. 烧烤野餐；金属烤架
talk… into…	 说服某人做某事
wind	 v. 绕，缠
limb	 n. 肢，翼；（树的）大枝，主枝
venom	 n. 恶意，怨恨；毒液
venomous	 adj. 有毒的，分泌毒液的
anti-venom	 n. 抗毒
paralyze	 v. 使瘫痪，使麻痹
sickness	 n. 疾病；恶心
recover	 v. 痊愈；复原
funnel	 n. 漏斗
funnelweb spider	 n. 漏斗网蜘蛛
snatch	 v. 抢走
amongst	 prep. 在……中间，在……之中
vinegar	 n. 醋
unconscious	 adj. 不省人事的，未发觉的；无意识的
pollinate	 v. 对……授粉
pollinator	 n. 虫媒
courtyard	 n. 庭院，院子，天井
balcony	 n. 阳台，包厢
