ruler	 尺子
pencil	 铅笔
eraser	 橡皮
crayon	 蜡笔
bag	 包
pen	 钢笔
pencil box	 铅笔盒
book	 书
no	 不
your	 你（们）的
red	 红色；红色的
green	 绿色；绿色的
yellow	 黄色；黄色的
blue	 蓝色；蓝色的
black	 黑色；黑色的
brown	 棕色；棕色的
white	 白色；白色的
orange	 橙色；橙色的
OK	 好；行
mum	 妈妈
face	 脸
ear	 耳朵
eye	 眼睛
nose	 鼻子
mouth	 嘴
arm	 胳膊
hand	 手
head	 头
body	 身体
leg	 腿
foot	 脚
school	 学校
duck	 鸭子
pig	 猪
cat	 猫
bear	 熊
dog	 狗
elephant	 大象
monkey	 猴子
bird	 鸟
tiger	 老虎
panda	 大熊猫
zoo	 动物园
funny	 滑稽的；好笑的
bread	 面包
juice	 果汁
egg	 蛋
milk	 牛奶
water	 水
cake	 蛋糕
fish	 鱼
rice	 米饭
one	 一
two	 二
three	 三
four	 四
five	 五
six	 六
seven	 七
eight	 八
nine	 九
ten	 十
brother	 兄；弟
plate	 盘子
