eat breakfast	 吃早饭
have...class	 上⋯⋯课
play sports	 进行体育运动
exercise	 活动
do morning exercise	 做早操
eat dinner	 吃晚饭
clean my room	 打扫我的房间
go for a walk	 散步
go shopping	 购物
take	 上（课）
dancing	 跳舞
take a dancing class	 上舞蹈课
when	 什么时候
after	 在⋯⋯之后
start	 开始
usually	 通常地
Spain	 西班牙
late	 晚
a.m.	 上午
p.m.	 下午
why	 为什么
shop	 购物
work	 工作
last	 上一个的
sound	 听起来好像
also	 还
busy	 忙的
need	 需要
play	 戏剧
letter	 信
live	 居住
island	 岛
always	 总是
cave	 山洞
go swimming	 去游泳
win	 获胜
spring	 春天
summer	 夏天
autumn	 秋天
winter	 冬天
season	 季节
picnic	 野餐
go on a picnic	 去野餐
pick	 摘
pick apples	 摘苹果
snowman	 雪人
make a snowman	 堆雪人
go swimming.	 去游泳
which	 哪一个
best	 最
snow	 雪
good job	 做得好
because	 因为
vacation	 假期
all	 完全
pink	 粉色
lovely	 可爱的
leaf	 叶子
fall	 落下
paint	 绘画
January	 一月
February	 二月
March	 三月
April	 四月
May	 五月
June	 六月
July	 七月
August	 八月
September	 九月
October	 十月
November	 十一月
December	 十二月
few	 不多
a few	 一些
thing	 事情
meet	 集会
sports meet	 运动会
Easter	 复活节
trip	 旅行
year	 年
plant	 种植
contest	 比赛
the Great Wall	 长城
national	 国家的
National Day	 国庆日
American	 美国的
Thanksgiving	 感恩节
Christmas	 圣诞节
holiday	 节日
game	 游戏
roll	 滚动
look for	 寻找
chocolate	 巧克力
bunny	 兔子
RSVP	 请赐复
by	 在⋯⋯之前
first	 第一
second	 第二
third	 第三
fourth	 第四
fifth	 第五
twelfth	 第十二
twentieth	 第二十
twenty-first	 第二十一
twenty-third	 第二十三
thirtieth	 第三十
special	 特殊的
fool	 蠢人
kitten	 小猫
diary	 日记
still	 仍然
noise	 噪音
fur	 动物皮毛
open	 开着的
walk	 行走
mine	 我的
yours	 你的
his	 他的
hers	 她的
theirs	 他们的
ours	 我们的
climbing	 攀登
eating	 吃
playing	 玩
jumping	 跳
drinking	 喝
sleeping	 睡觉
each	 每个
other	 其他
each other	 相互
excited	 兴奋地
like	 像⋯⋯那样
doing morning exercises	 做早操
having...class	 上⋯⋯课
eating lunch	 吃午饭
reading a book	 看书
listening to music	 听音乐
keep	 保持
keep to the right	 靠右
keep your desk clean	 保持课桌干净
talk quietly	 小声讲话
turn	 顺序
take turns	 按顺序来
bamboo	 竹子
its	 它的
show	 指导，引导
anything	 任何事物
else	 另外
exhibition	 展览
say	 说；讲
have a look	 看一看
sushi	 寿司
teach	 教
sure	 当然
Canadian	 加拿大的
Spanish	 西班牙的
