younger	 更年轻的
older	 更年长的
taller	 更高的
shorter	 更矮的
longer	 更长的
thinner	 更瘦的
heavier	 更重的
bigger	 更大的
smaller	 更小的
stronger	 更强壮的
dinosaur	 恐龙
hall	 大厅
metre	 米
meter	 米
than	 比
both	 两个都
kilogram	 千克
countryside	 乡村
lower	 更低地
shadow	 影子
smarter	 更聪明的
become	 变成
cleaned	 打扫
stayed	 待
washed	 洗
watched	 看
had	 得病（例如 had a cold 得了感冒）
had a cold	 感冒
slept	 睡觉
read	 读
saw	 看
last	 最近
yesterday	 昨天
before	 在⋯⋯之前
drank	 喝
show	 演出
magazine	 杂志
better	 更好的
faster	 更快的
hotel	 旅馆
fixed	 修理
broken	 破损的
lamp	 台灯
loud	 大声的
enjoy	 享受⋯⋯的乐趣
stay	 暂住
went	 去
camp	 野营
went camping	 去野营
fish	 钓鱼
went fishing	 去钓鱼
rode	 骑
hurt	 受伤
ate	 吃
took	 拍照
took pictures	 照相
bought	 买
gift	 礼物
fell	 摔倒
off	 落下
Labour Day	 劳动节
mule	 骡子
Turpan	 吐鲁番
could	 能
till	 直到
beach	 沙滩
basket	 篮子
part	 角色
licked	 舔
laughed	 笑
dining hall	 饭厅
grass	 草坪
gym	 体育馆
ago	 以前
cycling	 骑自行车运动
go cycling	 去骑自行车
ice-skate	 滑冰
badminton	 羽毛球运动
star	 星
easy	 容易的
look up	 查阅
Internet	 互联网
different	 不同的
active	 活跃的
race	 赛跑
nothing	 没有什么
thought	 想
felt	 感觉
cheetah	 猎豹
trip	 绊倒
woke	 醒
dream	 梦
straight	 笔直的
right	 右
ask	 问
sir	 先生
interesting	 有趣的
Italian	 意大利的
restaurant	 餐馆
pizza	 比萨饼
street	 大街
get	 到达
GPS	 全球（卫星）
gave	 提供
feature	 特点
follow	 跟着
far	 较远的
tell	 告诉
