pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
toilsome	 adj. 辛苦的；劳苦的；费力的
efface	 v. 抹去，抹掉；使自己不受人注意
plastic	 adj. 塑料的；（外科）造型的；可塑的 n. 塑料制品；整形；可塑体
advocacy	 n. 主张；拥护；辩护
clutter	 n. 杂乱，混乱 v. 使凌乱；胡乱地填满
profession	 n. 职业，专业；声明，宣布，表白
parsimonious	 adj. 吝啬的；过于节俭的；质量差的
Phosphorus	 n. 磷
bravo	 n. 喝彩；亡命徒 v. 喝彩 int. 好极了
alkali	 n. 碱；可溶性无机盐 adj. 碱性的
augment	 v. 增加；增大 n. 增加；增大
quarrelsome	 adj. 喜欢吵架的；好争论的
upheave	 v. 鼓起；举起；使隆起
unaccountable	 adj. 无责任的；莫名其妙的；不可理解的
surmise	 v. 猜测；推测 n. 推测；猜度
celebrity	 n. 名人；名声
laborious	 adj. 勤劳的；艰苦的；费劲的
petulant	 adj. 暴躁的；任性的；难以取悦的
volant	 adj. 迅速的；会飞的；飞行的 n. (Volant)人名；(法)沃朗
degenerate	 v. 使退化；恶化 adj. 退化的；堕落的 n. 堕落的人
chimerical	 adj. 空想的，妄想的；荒唐的
slope	 n. 斜坡；倾斜；斜率；扛枪姿势 v. 倾斜；逃走
scathe	 vt. 损伤；损害 n. 损伤；危害；损害
generation	 n. 一代；产生；一代人；生殖
brigade	 n. 旅；大部队；队列 v. 把…编成旅；把…编成队
alternate	 v. 交替；轮流 adj. 交替的；轮流的 n. 替换物
triennial	 adj. 每三年的；连续三年的 n. 三年生植物
impugn	 v. 指责，非难；抨击；反驳；对…表示怀疑
altimeter	 n. 测高仪，高度计
orthodoxy	 n. 正统；正教；正统说法
gasoline	 n. 汽油
hindrance	 n. 障碍；妨碍；妨害；阻碍物
flaunt	 v. 炫耀；飘扬 n. 炫耀；飘扬；招展
evolution	 n. 演变；进化论；进展
toll	 n. 通行费；代价；钟声；伤亡人数 v. 征收；敲钟
assertive	 adj. 肯定的；独断的；坚定而自信的
median	 n. n中值，中位数；三角形中线；梯形中位线 adj. 中值的；中央的
salient	 adj. 显著的；突出的；跳跃的 n. 凸角；突出部分
constructive	 adj. 建设性的；推定的；构造上的；有助益的
anathema	 n. 诅咒；革出教门；被诅咒者；令人厌恶的人
retrograde	 adj. 倒退的；退化的；次序颠倒的 v. 逆行；倒退；退步 adv. 倒退地；向后地
wherever	 adv. 无论什么地方；究竟在哪里 conj. 无论在哪里；无论什么情况下
effeminate	 adj. 柔弱的；女人气的 n. 女子气的男人 vt. 使柔弱；使无男子汉气概 vi. 变得无男子汉气概；变得柔弱
torrid	 adj. 晒热的；热情的
dynamic	 adj. 动态的；动力的；动力学的；有活力的 n. 动态；动力
resignation	 n. 辞职；放弃；辞职书；顺从
literacy	 n. 读写能力；精通文学
dissipate	 v. 浪费；使…消散
imaginary	 adj. 虚构的，假想的；想像的；虚数的
symptomatic	 adj. 有症状的；症候的
purposeful	 adj. 有目的的；有决心的
pervade	 v. 遍及；弥漫
aesthetic	 adj. 美的；美学的；审美的，具有审美趣味的
caustic	 adj. [化学] 腐蚀性的；[化学] 苛性的；刻薄的；焦散的 n. [助剂] 腐蚀剂；苛性钠；焦散曲线
timer	 n. [电子] 定时器；计时器；计时员，记时员；跑表；延时调节器
helix	 n. 螺旋，螺旋状物；[解剖] 耳轮
advantageous	 adj. 有利的；有益的
lucrative	 adj. 有利可图的，赚钱的；合算的
canonical	 adj. 依教规的；权威的；牧师的 n. 牧师礼服
guise	 n. 伪装；装束；外观 vt. 使化装 vi. 伪装
censorship	 n. 审查制度；审查机构
illegal	 adj. [法] 非法的；违法的；违反规则的 n. 非法移民，非法劳工
consultant	 n. 顾问；咨询者；会诊医生
burgeon	 n. 芽, 嫩枝 v. 萌芽, 发芽
automaton	 n. 自动机；机器人；自动机器
analyze	 v. 对…进行分析，分解（等于analyse）
resonate	 v. 共鸣；共振
safeguard	 n. [安全] 保护；保卫；保护措施 v. [安全] 保护，护卫
rectify	 v. 改正；精馏；整流
debut	 n. 初次登台；开张 v. 初次登台
braze	 v. 用黄铜制；使成黄铜色 n. 铜焊
pestilence	 n. 瘟疫（尤指鼠疫）；有害的事物
medieval	 adj. 中世纪的；原始的；仿中世纪的；老式的
suspend	 v. 延缓，推迟；使暂停；使悬浮
demolition	 n. 拆除（等于demolishment）；破坏；毁坏
soliloquy	 n. 独白；自言自语
exemplary	 adj. 典范的；惩戒性的；可仿效的
paradigm	 n. 范例；词形变化表
dilate	 v. 扩大；膨胀；详述
entity	 n. 实体；存在；本质
