misdeed	 n.  罪行， 犯罪
recline	 v.  向后靠， 斜倚
belligerent	 adj.  好战的， 好斗的； 交战国的； 交战的
supplant	 v.  排挤掉， 代替
abrupt	 adj.  突然的， 意外的；  唐突的， 鲁莽的
oversee	 v.  监视； 检查； 视察
spontaneous	 adj.  自发的， 自然产生的
pretend	 v.  假装；  装扮； 骗…说
licit	 adj.  合法的， 正当的
gloomy	 adj.  令人沮丧的， 抑郁的； 阴沉的， 阴暗的
warrant	 v.  保证， 担保 n. 正当理由；许可证，委任状
scanty	 adj.  缺乏的， 不足的
energy	 n.  能量
deference	 n.  顺从， 尊重
solid	 adj. 固体的；坚硬的 n. 固体
opulent	 adj.  富裕的， 丰富的
narrative	 adj. 叙述的；有故事性的 n.  叙述， 记叙文
coincide	 v.  一致， 符合
circular	 adj.  圆形的； 环形的
prankster	 n.  顽皮的人， 爱开玩笑的人
compassionate	 adj.  富于同情心的
perspicacity	 n.  聪明； 敏锐； 洞察力
irritable	 adj.  易怒的， 急躁的
triple	 adj. 三部分的，三方的；三倍的，三重的 v.  使增至三倍
reserved	 adj.  保留的， 留作专用的； 缄默的， 有节制的， 冷淡的
temper	 n. 脾气，情绪 vt.  调和， 调节
munificence	 n.  宽宏大量； 慷慨
legible	 adj.  清楚的， 易读的
resumption	 n.  恢复， 再开始
resurgent	 adj.  复活的
frantic	 adj.  狂乱的， 疯狂的
grandiloquent	 adj.  夸张的， 浮夸的， 华而不实的
statute	 n.  成文法； 法令， 法规； 章程， 规则； 条例
cardiac	 adj.  心脏的
object	 n.  物体
accessible	 adj.  易接近的， 可达到的； 易受影响的； 可理解的
indigence	 n.  贫乏； 穷困
notable	 adj.  值得注意的； 显著的， 著名的
concede	 vt.   承认， 承认…为真  ；  承认失败； 允许， 让予
unparalleled	 adj.  无比的， 无双的， 空前的
midway	 n.  中途
venous	 adj.  静脉的
reprimand	 n.  严责， 惩戒
wreak	 v.  发泄； 报仇
evaporate	 vt.   蒸发
commission	 n. 委任，委托，代办，代理；犯；佣金 vt.  委任， 任命， 委托； 委托制作
multiplication	 n.  乘法
rational	 adj.  理性的； 合理的
rescind	 v.  废除； 取消
provocative	 adj.  挑衅的； 惹人讨厌的
glucose	 n.  葡萄糖
Oxygen	 n.  氧
salt	 n.  盐
impassioned	 adj.  热情洋溢的
truncated	 adj.  缩短了的； 截形的
artistic	 adj.  艺术  的， 美术  的； 有美感的； 风雅的
effrontery	 n.  厚颜无耻
decagon	 n.  十角形， 十边形
ramble	 v.  漫游； 漫谈， 闲聊
vocation	 n.  职业， 业务
preponderant	 adj.  占有优势的
stature	 n.  身高， 身材
quarantine	 n.  检疫期
