crayon	 n. 蜡笔
eraser	 n. 橡皮擦
glove	 n. 手套
wallet	 n. 钱包
watch	 n. 表；（通常指）手表
whose	 pron. 谁的
first of all	 首先；第一
lose	 v. (lost) 失去
find	 v. (found) 发现；找到
lost and found box	 失物招领箱
mine	 pron. 我的
yours	 pron. 你（们）的
tape	 n. 录音带；录像带
purple	 adj. 紫色的；紫红色的 n. 紫色；紫红色
hers	 pron. 她的
careful	 adj. 仔细的；认真的；小心的
be careful with	 小心（对待）⋯⋯
on	 adv. 从某时刻起；在使用中；开着的 prep. 在⋯⋯时候 prep. 在⋯⋯河边
from now on	 从现在开始
here is/are ⋯	 （用于刚找到某人或某物时）在这儿
camera	 n. 照相机
phone	 n. 电话；电话机
mobile phone	 移动电话；手机
lost and found office	 失物招领处
in a hurry	 匆匆忙忙
leave	 v. (left) 丢下；遗忘
plane	 n. 飞机
taxi	 n. 出租车
why	 adv. 为什么
airport	 n. 机场；航空港
hundred	 num. 百
hundreds of	 几百；成百上千
look for	 寻找
thousand	 num. 千
strange	 adj. 奇怪的
boat	 n. 船
duck	 n. 鸭
pig	 n. 猪
sausage	 n. 香肠；腊肠
play	 v. 演奏；弹奏
tennis	 n. 网球
piano	 n. 钢琴
ride	 v. (rode) 骑；乘
club	 n. 俱乐部
term	 n. 学期
board	 n. 布告板
would like	 想要；希望
well	 int. 噢；喔
all	 adj. 所有的；全部的
that's all	 仅此而已
worry	 v. 焦虑；担心
worry about	 担心⋯⋯
teach	 v. (taught) 教；讲授
then	 adv. 那么；就
monitor	 n. 班长；监督员
start	 n. 开始；开端
get on well with sb.	 与某人相处融洽
ready	 adj. 乐意的
ready to do sth.	 乐于做某事
promise	 v. 承诺；保证
fast	 adv. 快地；快速地 adj. 快的；快速的
fit	 adj. 健康的；强健的
just	 adv. 就；正好
ball	 n. 球；球类游戏
game	 n. 运动项目
team	 n. 队伍；球队
best	 adj. 最好的
score	 n. 得分；成绩
tidy	 adj. 整齐的；整洁的；爱整洁的；爱整齐的 v. 收拾；整理
sure	 adj. 确信的；有把握的
everybody	 pron. 每个人
just like	 正如；正像
beautiful	 adj. 美的；美丽的
fly	 v. (flew) 放飞（风筝）；飞行；乘飞机
kite	 n. 风筝
swim	 v. (swam) 游泳
go over	 复习；练习
picnic	 n. 野餐
housework	 n. 家务劳动
else	 adv. 其他；另外
nobody	 pron. 没有人
at	 prep. 在⋯⋯点钟
nothing	 pron. 没有什么；没有东西
silly	 adj. 愚蠢的；傻气的
fantastic	 adj. 极好的
forward	 adv. 面向未来的；向前
look forward to	 盼望
fan	 n. 迷；支持者
make friends	 交朋友
shirt	 n. 球衣；（男式）衬衫
cheer	 v. 为⋯⋯喝彩
player	 n. 运动员；选手
hope	 v. 希望
win	 v. (won) 赢；获胜
enjoy oneself	 过的愉快
myself	 pron. 我自己
during	 prep. 在⋯⋯期间
May	 n. 5月
May Day	 五一劳动节
late	 adv. 迟；晚 adj. 迟的；晚的
walk	 n. 步行；走
take a walk	 散步
country	 n. 乡下；乡村
second	 num. 第二
collect	 v. 收集
litter	 n. 垃圾
fun	 n. 娱乐；乐趣
summer holiday	 暑假
camp	 n. 营地；帐篷
Australian	 adj. 澳大利亚的
sightseeing	 n. 观光；游览
go sightseeing	 观光
beach	 n. 海滨；海滩
early	 adv. 早；提前 adj. 早的
chalk	 n. 粉笔
ruler	 n. 直尺
carry	 v. 拿；带
change	 v & n. 改变；变化
everything	 pron. 每样事物；每件事；所有事物
future	 n. 将来；未来
in the future	 将来
life	 n. 生活；生命
need	 v & v aux. 需要
will	 v aux. (would) 将；将要；将会
maybe	 adv. 也许
ask	 v. 询问；问
question	 n. 问题
by	 prep. 用；靠；乘（交通工具）
