pair	 n. （相关的）两个人，一对
correct	 v. 改正；纠正 adj. 正确的；对的
spelling	 n. 拼写
word	 n. 词；单词；字
practise	 v. 练习
match	 v. 找到与⋯⋯相配之物，使相配；使成对
meaning	 n. 意义；意思
complete	 v. 把⋯⋯填完整；使完全
sentence	 n. 句子
dictionary	 n. 词典；字典
grammar	 n. 语法
letter	 n. 字母
look up	 查；查找
mistake	 n. 错误；过错
make a mistake	 犯错误
understand	 v. (understood) 理解；明白
advice	 n. 意见；建议
should	 v aux. 应该
possible	 adj. 可能的
write down	 写下；记下
notebook	 n. 笔记本
forget	 v. (forgot) 忘；忘记
pronounce	 v. 发⋯⋯的音
aloud	 adv. 大声地；出声地
radio	 n. 电台；广播
pronunciation	 n. 发音
key	 adj. 关键性的，非常重要的
main	 adj. 主要的；最大的
excellent	 adj. 极好的；优秀的
agree	 v. 赞同
agree with sb.	 同意某人
vocabulary	 n. 词汇；词汇量
ask for	 请求（给予）
improve	 v. 改进；改善
basic	 adj. 主要的；基础的
time	 n. 次；回
advise	 v. 向⋯⋯提出意见；忠告；建议
shy	 adj. 羞怯的；腼腆的
conversation	 n. 谈话；交谈
quickly	 adv. 快地；迅速地
natural	 adj. 合理的；合乎常情的
suggest	 v. 建议；提议
place	 v. 放置
hill	 n. 小山；小丘
population	 n. （某一地区的）人口，全体居民
wide	 adj. 宽的；宽阔的
million	 num. 百万
pretty	 adv. [主口]相当地；非常；很
pretty good	 相当好；很好
than	 prep. 比
get	 v. 成为；变成
north	 n. 北；北方 adj. 在北方的；朝北的
south	 n. 南；南方 adj. 在南方的；朝南的
west	 n. 西；西方 adj. 在西方的；朝西的
home town	 故乡；家乡
especially	 adv. 尤其
be famous for	 因⋯⋯而闻名
university	 n. 大学
island	 n. 岛；岛屿
area	 n. 地区；区域
low	 adj. 矮的；低的
mountain	 n. 山；山岳
countryside	 n. 农村地区；乡下
umbrella	 n. 雨伞
baseball	 n. 棒球
volleyball	 n. 排球
boring	 adj. 烦人的；无聊的
exciting	 adj. 令人激动的；使人兴奋的
relaxing	 adj. 令人愉悦的；使人放松的
score	 v. （体育比赛中）得（分）
already	 adv. 已经；早已
matter	 n. 问题；麻烦
What's the matter?	 怎么了？
hurt	 v. (hurt) （使）疼痛；（使）受伤
enjoyable	 adj. 令人愉快的；有乐趣的
Olympics	 n. 奥林匹克运动会
stadium	 n. 体育场
miss	 v. 未击中；未达到
mind	 v. 介意；讨厌；反对
plenty	 pron. 大量；众多
