man-made	 adj. 人造的
natural	 adj. 大自然的
wonder	 n. 奇观；奇迹
discussion	 n. 讨论；商讨
eastern	 adj. 在东边的；来自东边的
though	 conj. 虽然；但是
loud	 adj. （声音）响亮的
wow	 int. 呀；哇（用于表示惊讶或赞叹）
opinion	 n. 看法；主张
in one's opinion	 按某人的意见；据某人看来
more than	 超过
electricity	 n. 电
millions of	 大量的；无数的
below	 prep. 在下面；在⋯⋯以下
shine	 v. (shone, shone; shined, shined) 照耀
sign	 n. 迹象；标志；招牌
silent	 adj. 寂静的
silver	 adj. 银灰色的；银制的
sky	 n. 天；天空
grey	 adj. 灰色的；（天气）阴沉的
go through	 穿过
beside	 prep. 在⋯⋯旁边；在⋯⋯附近
reply	 v. 回答；答复
clear	 v. （烟雾等）开始消失
fall away	 突然向下倾斜
stream	 n. 小河；小溪
nearly	 adv. 几乎；差不多
on top of	 在⋯⋯上面；盖住
canyon	 n. 峡谷
remain	 v. 逗留；留下
by	 prep. 在⋯⋯旁边；靠近
found	 v. 创立；创建
since then	 从那以后
flag	 n. 旗；旗帜
until	 prep. 直到⋯⋯为止 conj. 直到⋯⋯为止
off	 adv. 不上课；休息；不工作
all kinds of	 各种各样的
vacation	 n. 假期；假日
take a vacation	 去度假
season	 n. 度假旺季；节期
kid	 n. 小孩
have fun	 玩得高兴；有乐趣
band	 n. 乐队
UK	 英国
as soon as	 一⋯⋯就⋯⋯
fourth	 num. 第四
sixth	 num. 第六
seventh	 num. 第七
eighth	 num. 第八
ninth	 num. 第九
tenth	 num. 第十
twelfth	 num. 第十二
twentieth	 num. 第二十
among	 prep. 在⋯⋯之中
speech	 n. 演说；讲演
pioneer	 n. 开拓者；先驱者
grow	 v. 种植，栽培（植物）
corn	 n. 谷物；玉米
following	 adj. 接着的；接下来的
lay	 v. (laid, laid) 摆放（餐桌）
lay the table	 摆放餐桌
over	 adj. 完了的；结束的
dish	 n. 盘；碟
parade	 n. （庆祝）游行
ourselves	 pron. 我们自己
including	 prep. 包含；包括
medal	 n. 奖牌；奖章
attend	 v. 上（学）；出席，参加（事件或活动）
broad	 adv. 在国外；到国外
once again	 再一次
doctor	 n. 博士
degree	 n. 课程；学位
whatever	 pron. 无论什么；不管什么
give up	 放弃（努力）
amazing	 adj. 惊人的；极好的
will	 n. 意志；决心
victory	 n. 成功；胜利
simply	 adv. 实在；的确
Canadian	 adj. 加拿大的；加拿大人的
sick	 adj. （感觉）不适的，生病的
soldier	 n. 军人；士兵
treat	 v. 医治；治疗
war	 n. 战争
wound	 n. 伤；伤口
die for	 为⋯⋯而死
wounded	 adj. 受伤的
realise	 v. 了解；意识到
dying	 adj. 垂死的；即将死亡的
care	 n. 照顾；照料
take care of	 照顾；护理
tool	 n. 工具；器械
invention	 n. 发明；发明物
at that time	 那时候
on one's own	 独自一人
useful	 adj. 有用的；有益的
rest	 v. 休息；睡眠
himself	 pron. 他自己
manage	 v. 做成；（尤指）设法完成
operation	 n. 手术
continue	 v. （使）继续
die of	 死于⋯⋯
Canada	 加拿大
platform	 n. （供上下火车用的）月台；站台
meeting	 n. 会议；集会
miss	 v. 未出席；未出现
shut	 v. (shut, shut) 关上；合上
lock	 v. 锁；锁住
simple	 adj. 简单的；容易的
anybody	 pron. 任何人
clock	 n. 钟；时钟
ring	 v. (rang, rung) 鸣响；发出铃声
passenger	 n. 乘客；旅客
address	 n. 地址
text	 n. 文本；正文
text message	 短信
couple	 n. 一对；两个
a couple of	 两个
actually	 adv. 事实上
Manage	 v. 管理；支配
unhappy	 adj. 不高兴的
turn off	 关掉；关闭（设备）
order	 n. 命令；指示
be worried about	 担心
business	 n. 工作
on business	 出差
sofa	 n. （长）沙发
snack	 n. 点心；小吃
midnight	 n. 午夜；子夜
wake up	 醒；醒来
hand in	 提交；上交
empty	 adj. 空的
