flight	 n. 航班；飞行
because of	 因为；由于
direct	 adv. 径直地；直接地
pilot	 n. 飞行员
succeed	 v. 成功；做成
as long as	 只要
school-leaver	 n. [英] 毕业生
exactly	 adv. 确切地；完全；[口]（表示赞同）确实如此
take care	 （告别用语）多保重
sir	 n. 先生；长官
officer	 n. 军官；官员；警察
stupid	 adj. 笨的；糊涂的
take off	 脱去
jacket	 n. 短上衣；夹克
ours	 pron. 我们的
tie	 n. 领带
row	 n. 一排；一行；一列
pool	 n. 水池；游泳池
pass	 v. 及格；通过（考试或检查）
secondary	 adj. （教育）中等的；次要的；间接的
secondary school	 中学
absent	 adj. 缺席的；不在的
bell	 n. 钟；铃
wealthy	 adj. 富有的；富裕的
fear	 n. 担心；害怕
used to	 （用于表示过去真实或经常性的行为，特别强调现在不那样了）过去
wealth	 n. 财富；财产
double	 v. 使加倍；把⋯⋯增加一倍 adj. （成）双的；两个⋯⋯
seldom	 adv. 很少地；不常
spare	 adj. 空余的；备用的
spare time	 业余时间；闲暇
speak up	 大声说
deaf	 adj. 聋的
tiny	 adj. 微小的；极小的
electric	 adj. 用电的；电动的
light	 n. 电灯
candle	 n. 蜡烛
postman	 n. 邮递员
cold	 n. 寒冷；冷空气
heat	 n. 高温；热度
full-time	 adj. 专职的；全日制的
role	 n. 作用；职责；角色
education	 n. （个人的）教育；学业
transport	 n. 运输业；交通
set off	 动身；出发
sock	 n. 短袜
whenever	 conj. 每当；无论什么时候
proper	 adj. 合适的；恰当的
edge	 n. 边；边缘
yourself	 pron. (pl. yourselves) 你自己
go off	 离开
starve	 v. 挨饿；饿死
go	 n. 尝试；努力
in one go	 一口气；一下子
rock	 n. 岩；岩石
rock climbing	 攀岩
stone	 n. 石头
fairly	 adv. 相当；还算
smooth	 adj. 无困难的；顺利的；光滑的；平坦的
straight	 adj. 直的；笔直的
tent	 n. 帐篷
fall	 v. 变成，进入（某种状态）
fall asleep	 入睡；睡着
hang	 v. (hung, hung) 悬挂；吊
sudden	 adj. 突然的；急剧的
gun	 n. 枪
soft	 adj. 软的；柔软的
still	 adj. 静止的；不动的
wood	 n. （小）树林；林地
blood	 n. 血；血液
catch up	 赶上
agreement	 n. 协议；协定
blind	 adj. 失明的；瞎的
ouch	 int. 哎哟（用于表示突然的疼痛）
call off	 取消；决定终止
thanks to	 多亏；归功于
health care	 医疗保健（服务）
expect	 v. 预料；预计
require	 v. 需要
physical	 adj. 身体的；体力的
effort	 n. 力气；精力
once in a while	 偶尔；有时；间或
harm	 v. 损害；伤害
invitation	 n. 邀请；请柬
calendar	 n. 日历；历书
balloon	 n. 气球
paint	 v. 绘画
Heat	 v. 使变热；给⋯⋯加热
heat up	 使变热；给⋯⋯加热
knife	 n. (pl knives) 餐刀；刀具
fork	 n. 餐叉
spoon	 n. 匙；勺子
cheeseburger	 n. 干酪汉堡包
Italian	 adj. 意大利的；意大利语的；意大利人的 n. 意大利语；意大利人
Westerner	 n. 西方人
West	 n. 西方（尤指西欧和北美）
serve	 v. 端上（食物和饮料）；服侍⋯⋯进餐
similar	 adj. 相似的
wing	 n. 翅膀；翼
lady	 n. 女士；夫人；小姐
gentleman	 n. 先生；男士
help yourself	 随便做（或用）吧；请自便
cross	 adj. 生气的
achieve	 v. 成功；实现
including	 prep. 包括；包含
speaker	 n. 说某种语言的人
boss	 n. 老板；上司
secretary	 n. 秘书
quarter	 n. 四分之一
industry	 n. 制造业；工业
zero	 n. （数字）零
Indian	 n. 印度人 adj. 印度的；印度文化的
type	 n. 种；类；类型
handbag	 n. （女用）小提包
beat	 n. 节拍；拍子
pardon	 int. [口] 对不起，请原谅（用于礼貌地请求别人重复自己没听清或不理解的话）
intend	 v. 计划；打算
fetch	 v. （去）取来；拿来
pancake	 n. 薄烤饼；薄煎饼
rose	 n. 玫瑰；蔷薇
laugh at	 嘲笑；对⋯⋯一笑置之
kindness	 n. 善举；好意
give up	 放弃（努力）
try one's best	 尽某人最大的努力
disappointed	 adj. 失望的；沮丧的
bedside	 n. 床边；床头
note	 n. 短笺；便条
whom	 pron. ⋯⋯的人，那个人，那些人（用于提供关于正在谈论的某人的信息或补充信息）
