|序号|图片|标题|单词数量|文件大小|背诵人数|下载地址|id|标签|
|---|---|---|---|---|---|---|---|
|1|![四级真题核心词（图片记忆）](https://nos.netease.com/ydschool-online/1496632727200CET4luan_1.jpg)|四级真题核心词（图片记忆）|1162|788457|875260|[本地地址](book/1523620217431_CET4luan_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1523620217431_CET4luan_1.zip)|CET4luan_1|四级、有道|
|2|![六级真题核心词（图片记忆）](https://nos.netease.com/ydschool-online/1496655382926CET6luan_1.jpg)|六级真题核心词（图片记忆）|1228|591417|218418|[本地地址](book/1521164660466_CET6luan_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164660466_CET6luan_1.zip)|CET6luan_1|六级、有道|
|3|![考研必考词汇](https://nos.netease.com/ydschool-online/1496632762670KaoYanluan_1.jpg)|考研必考词汇|1341|771889|252505|[本地地址](book/1521164661106_KaoYanluan_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164661106_KaoYanluan_1.zip)|KaoYanluan_1|考研、有道|
|4|![专四真题高频词](https://nos.netease.com/ydschool-online/1496632776935Level4luan_1.jpg)|专四真题高频词|595|269844|62169|[本地地址](book/1521164630387_Level4luan_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164630387_Level4luan_1.zip)|Level4luan_1|专四、有道|
|5|![专八真题高频词](https://nos.netease.com/ydschool-online/1491037703359Level8_1.jpg)|专八真题高频词|684|242255|30059|[本地地址](book/1521164635290_Level8_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164635290_Level8_1.zip)|Level8_1|专八、有道|
|6|![四级英语词汇](https://nos.netease.com/ydschool-online/youdao_CET4_2.jpg)|四级英语词汇|3739|2723074|215979|[本地地址](book/1524052539052_CET4luan_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1524052539052_CET4luan_2.zip)|CET4luan_2|四级、有道|
|7|![六级英语词汇](https://nos.netease.com/ydschool-online/youdao_CET6_2.jpg)|六级英语词汇|2078|1111633|64093|[本地地址](book/1524052554766_CET6_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1524052554766_CET6_2.zip)|CET6_2|六级、有道|
|8|![考研英语词汇](https://nos.netease.com/ydschool-online/youdao_KaoYan_2.jpg)|考研英语词汇|4533|2431155|147205|[本地地址](book/1521164654696_KaoYan_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164654696_KaoYan_2.zip)|KaoYan_2|考研、有道|
|9|![专四核心词汇](https://nos.netease.com/ydschool-online/youdao_Level4_2.jpg)|专四核心词汇|4025|1783295|18858|[本地地址](book/1521164625401_Level4luan_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164625401_Level4luan_2.zip)|Level4luan_2|专四、有道|
|10|![专八核心词汇](https://nos.netease.com/ydschool-online/youdao_Level8_2.jpg)|专八核心词汇|12197|5320395|23123|[本地地址](book/1521164650006_Level8luan_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164650006_Level8luan_2.zip)|Level8luan_2|专八、有道|
|11|![新东方四级词汇](https://nos.netease.com/ydschool-online/newOriental_CET4_3.jpg)|新东方四级词汇|2607|1719305|3063|[本地地址](book/1521164643060_CET4_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164643060_CET4_3.zip)|CET4_3|四级、新东方|
|12|![新东方六级词汇](https://nos.netease.com/ydschool-online/newOriental_CET6_3.jpg)|新东方六级词汇|2345|1452645|1193|[本地地址](book/1521164633851_CET6_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164633851_CET6_3.zip)|CET6_3|六级、新东方|
|13|![新东方考研词汇](https://nos.netease.com/ydschool-online/newOriental_KaoYan_3.jpg)|新东方考研词汇|3728|1838572|2644|[本地地址](book/1521164658897_KaoYan_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164658897_KaoYan_3.zip)|KaoYan_3|考研、新东方|
|14|![四级真题核心词（正序版）](https://nos.netease.com/ydschool-online/1491037568440CET4_1.jpg)|四级真题核心词（正序版）|1162|764018|6324|[本地地址](book/1521164649209_CET4_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164649209_CET4_1.zip)|CET4_1|有道|
|15|![六级真题核心词（正序版）](https://nos.netease.com/ydschool-online/1491037677590CET6_1.jpg)|六级真题核心词（正序版）|1228|753196|3888|[本地地址](book/1521164668667_CET6_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164668667_CET6_1.zip)|CET6_1|六级、有道|
|16|![考研必考词汇（正序版）](https://nos.netease.com/ydschool-online/1491037662208KaoYan_1.jpg)|考研必考词汇（正序版）|1341|685507|7621|[本地地址](book/1521164669833_KaoYan_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164669833_KaoYan_1.zip)|KaoYan_1|考研、有道|
|17|![专四真题高频词（正序版）](https://nos.netease.com/ydschool-online/1491037690141Level4_1.jpg)|专四真题高频词（正序版）|595|267335|2698|[本地地址](book/1521164647417_Level4_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164647417_Level4_1.zip)|Level4_1|专四、有道|
|18|![四级英语词汇（正序版）](https://nos.netease.com/ydschool-online/youdao_CET4_2.jpg)|四级英语词汇（正序版）|3739|2542778|11803|[本地地址](book/1521164635506_CET4_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164635506_CET4_2.zip)|CET4_2|四级、有道|
|19|![专四核心词汇（正序版）](https://nos.netease.com/ydschool-online/youdao_Level4_2.jpg)|专四核心词汇（正序版）|4025|1706442|4700|[本地地址](book/1521164653685_Level4_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164653685_Level4_2.zip)|Level4_2|专四、有道|
|20|![专八核心词汇（正序版）](https://nos.netease.com/ydschool-online/youdao_Level8_2.jpg)|专八核心词汇（正序版）|12197|4763514|8040|[本地地址](book/1521164663794_Level8_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164663794_Level8_2.zip)|Level8_2|专八、有道|
|21|![雅思词汇](https://nos.netease.com/ydschool-online/youdao_IELTS_2.jpg)|雅思词汇|3427|1597545|276495|[本地地址](book/1521164624473_IELTSluan_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164624473_IELTSluan_2.zip)|IELTSluan_2|IELTS、有道|
|22|![TOEFL词汇](https://nos.netease.com/ydschool-online/youdao_TOEFL_2.jpg)|TOEFL词汇|9213|4327321|118896|[本地地址](book/1521164640451_TOEFL_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164640451_TOEFL_2.zip)|TOEFL_2|TOEFL、有道|
|23|![GRE词汇](https://nos.netease.com/ydschool-online/youdao_GRE_2.jpg)|GRE词汇|7199|2470882|47072|[本地地址](book/1521164637271_GRE_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164637271_GRE_2.zip)|GRE_2|GRE、有道|
|24|![SAT词汇](https://nos.netease.com/ydschool-online/youdao_SAT_2.jpg)|SAT词汇|4423|1784650|13876|[本地地址](book/1521164670910_SAT_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164670910_SAT_2.zip)|SAT_2|SAT、有道|
|25|![GMAT词汇](https://nos.netease.com/ydschool-online/youdao_GMAT_2.jpg)|GMAT词汇|3254|1509190|14874|[本地地址](book/1521164629611_GMATluan_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164629611_GMATluan_2.zip)|GMATluan_2|GMAT、有道|
|26|![新东方雅思词汇](https://nos.netease.com/ydschool-online/newOriental_IELTS_3.jpg)|新东方雅思词汇|3575|1729987|1707|[本地地址](book/1521164666922_IELTS_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164666922_IELTS_3.zip)|IELTS_3|IELTS、新东方|
|27|![新东方TOEFL词汇](https://nos.netease.com/ydschool-online/newOriental_TOEFL_3.jpg)|新东方TOEFL词汇|4264|2015157|1294|[本地地址](book/1521164667985_TOEFL_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164667985_TOEFL_3.zip)|TOEFL_3|TOEFL、新东方|
|28|![新东方GRE词汇](https://nos.netease.com/ydschool-online/newOriental_GRE_3.jpg)|新东方GRE词汇|6515|2319121|673|[本地地址](book/1521164677706_GRE_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164677706_GRE_3.zip)|GRE_3|GRE、新东方|
|29|![新东方SAT词汇](https://nos.netease.com/ydschool-online/newOriental_SAT_3.jpg)|新东方SAT词汇|4464|1759354|292|[本地地址](book/1521164636496_SAT_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164636496_SAT_3.zip)|SAT_3|SAT、新东方|
|30|![新东方GMAT词汇](https://nos.netease.com/ydschool-online/newOriental_GMAT_3.jpg)|新东方GMAT词汇|3047|1365145|333|[本地地址](book/1521164672691_GMAT_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164672691_GMAT_3.zip)|GMAT_3|GMAT、新东方|
|31|![雅思词汇（正序版）](https://nos.netease.com/ydschool-online/youdao_IELTS_2.jpg)|雅思词汇（正序版）|3427|1525677|6286|[本地地址](book/1521164657744_IELTS_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164657744_IELTS_2.zip)|IELTS_2|IELTS、有道|
|32|![GMAT词汇（正序版）](https://nos.netease.com/ydschool-online/youdao_GMAT_2.jpg)|GMAT词汇（正序版）|3254|1422468|2064|[本地地址](book/1521164662073_GMAT_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164662073_GMAT_2.zip)|GMAT_2|GMAT、有道|
|33|![中考必备词汇](https://nos.netease.com/ydschool-online/youdao_ChuZhong_2.jpg)|中考必备词汇|1420|940509|273321|[本地地址](book/1521164669076_ChuZhongluan_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164669076_ChuZhongluan_2.zip)|ChuZhongluan_2|有道|
|34|![高考必备词汇（图片记忆）](https://nos.netease.com/ydschool-online/youdao_GaoZhong_2.jpg)|高考必备词汇（图片记忆）|3668|2120036|256873|[本地地址](book/1521164673602_GaoZhongluan_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164673602_GaoZhongluan_2.zip)|GaoZhongluan_2|有道|
|35|![新东方初中词汇](https://nos.netease.com/ydschool-online/newOriental_ChuZhong_3.jpg)|新东方初中词汇|1803|1149674|5117|[本地地址](book/1521164652700_ChuZhong_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164652700_ChuZhong_3.zip)|ChuZhong_3|新东方|
|36|![新东方高中词汇](https://nos.netease.com/ydschool-online/newOriental_GaoZhong_3.jpg)|新东方高中词汇|2340|1346745|2619|[本地地址](book/1521164679263_GaoZhong_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164679263_GaoZhong_3.zip)|GaoZhong_3|新东方|
|37|![人教版小学英语-三年级上册](https://nos.netease.com/ydschool-online/2_youdao_PEPXiaoXue3_1.jpg)|人教版小学英语-三年级上册|64|42478|378234|[本地地址](book/1521164661774_PEPXiaoXue3_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164661774_PEPXiaoXue3_1.zip)|PEPXiaoXue3_1|人教版|
|38|![人教版小学英语-三年级下册](https://nos.netease.com/ydschool-online/2_youdao_PEPXiaoXue3_2.jpg)|人教版小学英语-三年级下册|72|40675|103262|[本地地址](book/1521164656604_PEPXiaoXue3_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164656604_PEPXiaoXue3_2.zip)|PEPXiaoXue3_2|人教版|
|39|![人教版小学英语-四年级上册](https://nos.netease.com/ydschool-online/2_youdao_PEPXiaoXue4_1.jpg)|人教版小学英语-四年级上册|84|47587|89159|[本地地址](book/1521164677447_PEPXiaoXue4_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164677447_PEPXiaoXue4_1.zip)|PEPXiaoXue4_1|人教版|
|40|![人教版小学英语-四年级下册](https://nos.netease.com/ydschool-online/2_youdao_PEPXiaoXue4_2.jpg)|人教版小学英语-四年级下册|104|53505|50627|[本地地址](book/1521164663086_PEPXiaoXue4_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164663086_PEPXiaoXue4_2.zip)|PEPXiaoXue4_2|人教版|
|41|![人教版小学英语-五年级上册](https://nos.netease.com/ydschool-online/2_youdao_PEPXiaoXue5_1.jpg)|人教版小学英语-五年级上册|131|71424|65368|[本地地址](book/1530101080610_PEPXiaoXue5_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101080610_PEPXiaoXue5_1.zip)|PEPXiaoXue5_1|人教版|
|42|![人教版小学英语-五年级下册](https://nos.netease.com/ydschool-online/2_youdao_PEPXiaoXue5_2.jpg)|人教版小学英语-五年级下册|156|87211|37829|[本地地址](book/1530101073491_PEPXiaoXue5_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101073491_PEPXiaoXue5_2.zip)|PEPXiaoXue5_2|人教版|
|43|![人教版小学英语-六年级上册](https://nos.netease.com/ydschool-online/2_youdao_PEPXiaoXue6_1.jpg)|人教版小学英语-六年级上册|130|76633|69570|[本地地址](book/1530101075331_PEPXiaoXue6_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101075331_PEPXiaoXue6_1.zip)|PEPXiaoXue6_1|人教版|
|44|![人教版小学英语-六年级下册](https://nos.netease.com/ydschool-online/2_youdao_PEPXiaoXue6_2.jpg)|人教版小学英语-六年级下册|108|64879|38501|[本地地址](book/1521164632445_PEPXiaoXue6_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164632445_PEPXiaoXue6_2.zip)|PEPXiaoXue6_2|人教版|
|45|![人教版初中英语-七年级上册](https://nos.netease.com/ydschool-online/3_youdao_PEPChuZhong7_1.jpg)|人教版初中英语-七年级上册|392|203341|126509|[本地地址](book/1530101067588_PEPChuZhong7_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101067588_PEPChuZhong7_1.zip)|PEPChuZhong7_1|人教版|
|46|![人教版初中英语-七年级下册](https://nos.netease.com/ydschool-online/3_youdao_PEPChuZhong7_2.jpg)|人教版初中英语-七年级下册|492|266712|40795|[本地地址](book/1521164677043_PEPChuZhong7_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164677043_PEPChuZhong7_2.zip)|PEPChuZhong7_2|人教版|
|47|![人教版初中英语-八年级上册](https://nos.netease.com/ydschool-online/3_youdao_PEPChuZhong8_1.jpg)|人教版初中英语-八年级上册|419|222704|69006|[本地地址](book/1530101070747_PEPChuZhong8_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101070747_PEPChuZhong8_1.zip)|PEPChuZhong8_1|人教版|
|48|![人教版初中英语-八年级下册](https://nos.netease.com/ydschool-online/3_youdao_PEPChuZhong8_2.jpg)|人教版初中英语-八年级下册|466|244325|31355|[本地地址](book/1521164666522_PEPChuZhong8_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164666522_PEPChuZhong8_2.zip)|PEPChuZhong8_2|人教版|
|49|![人教版初中英语-九年级全册](https://nos.netease.com/ydschool-online/3_youdao_PEPChuZhong9_1.jpg)|人教版初中英语-九年级全册|551|278981|69649|[本地地址](book/1530101078234_PEPChuZhong9_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101078234_PEPChuZhong9_1.zip)|PEPChuZhong9_1|人教版|
|50|![外研社版初中英语-七年级上册](https://nos.netease.com/ydschool-online/reciteWord_1545032535025_WaiYanSheChuZhong_1.png)|外研社版初中英语-七年级上册|629|351737|1031|[本地地址](book/reciteWord_1545032533243_WaiYanSheChuZhong_1.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_1545032533243_WaiYanSheChuZhong_1.zip)|WaiYanSheChuZhong_1|外研社版|
|51|![外研社版初中英语-七年级下册](https://nos.netease.com/ydschool-online/reciteWord_1545032535434_WaiYanSheChuZhong_2.png)|外研社版初中英语-七年级下册|438|247606|693|[本地地址](book/reciteWord_1545032493536_WaiYanSheChuZhong_2.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_1545032493536_WaiYanSheChuZhong_2.zip)|WaiYanSheChuZhong_2|外研社版|
|52|![外研社版初中英语-八年级上册](https://nos.netease.com/ydschool-online/reciteWord_1545032535509_WaiYanSheChuZhong_3.png)|外研社版初中英语-八年级上册|320|184306|552|[本地地址](book/reciteWord_1545032532744_WaiYanSheChuZhong_3.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_1545032532744_WaiYanSheChuZhong_3.zip)|WaiYanSheChuZhong_3|外研社版|
|53|![外研社版初中英语-八年级下册](https://nos.netease.com/ydschool-online/reciteWord_1545032534561_WaiYanSheChuZhong_4.png)|外研社版初中英语-八年级下册|266|147166|629|[本地地址](book/reciteWord_1545032533455_WaiYanSheChuZhong_4.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_1545032533455_WaiYanSheChuZhong_4.zip)|WaiYanSheChuZhong_4|外研社版|
|54|![外研社版初中英语-九年级上册](https://nos.netease.com/ydschool-online/reciteWord_1545032534804_WaiYanSheChuZhong_5.png)|外研社版初中英语-九年级上册|381|196315|462|[本地地址](book/reciteWord_1545032533808_WaiYanSheChuZhong_5.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_1545032533808_WaiYanSheChuZhong_5.zip)|WaiYanSheChuZhong_5|外研社版|
